Name,S1,S2,S3
Normal stress,5132.169015747431,9889.981432907252,4158.385895132951
Coulomb shear stress,5483.329196467214,9793.910027056887,3804.377023086349
Dilation,5448.442757315893,7107.336356364215,7514.153559649388
Faulting,6687.651794814242,7110.930489255076,9239.65055186296
Fault dilation tendency,4012.368585770487,8320.250070094738,3735.902657471858
Fault slip tendency,2719.2743703776405,5763.847181233017,2839.2654746027756
Fault curvature,3526.7813868225567,7451.744755722282,3381.375994869022
Temperature,858.7815676498509,1827.1122781352517,964.6969784951282
Fault density,5010.581881618504,8739.327366247844,11458.659827844787
Fault intersection density,2959.0614190503234,9846.79423720816,7838.233410556244
Inverse distance from contacts,2678.378688712443,834.9572877576143,6783.022929683075
Inverse distance from faults,7251.112685295365,11998.525374280358,7487.186426400017
Unit thickness,6631.11940218648,12920.11987536258,9298.834479175415
Lithology,6610.173028152987,3985.4679218407123,3626.632268266147
