Name,S1,S2,Signal
Normal stress,0.5028093932990196,0.7345284438705721,A
Coulomb shear stress,0.48617998867584855,0.7428829558253612,A
Dilation,0.7367856083007475,0.6437222905038914,A
Faulting,0.8822301784218343,0.7250484431271866,A
Fault dilation tendency,0.45639439149051975,0.5835918847909524,A
Fault slip tendency,0.3374667340180472,0.40078184645255693,A
Fault curvature,0.40737628738588216,0.5211747145335393,A
Temperature,0.1137739631060862,0.12564583305085483,A
Fault density,1.0,0.7500271860080715,A
Fault intersection density,0.6813133587829358,0.6785422158650377,A
Inverse distance from contacts,0.6028406615769885,0.16473329118921348,B
Inverse distance from faults,0.8055453032980034,0.9573475257881497,A
Unit thickness,0.9028848149123223,1.0,A
Lithology,0.4878271581709692,0.509825988935431,A
