Name,S1,S2,S3,Signal
Normal stress,0.7077767562701143,0.7654713368230036,0.36290333752887793,A
Coulomb shear stress,0.756205210765368,0.7580355384885342,0.3320088980948393,A
Dilation,0.7513940265146986,0.5500983291894388,0.655761988970982,C
Faulting,0.9222931824485677,0.5503765102686805,0.8063465266165256,C
Fault dilation tendency,0.5533452257482119,0.6439762285766908,0.3260331237335046,A
Fault slip tendency,0.37501477199383426,0.44611406371113604,0.24778338106375233,A
Fault curvature,0.4863779587889411,0.5767550787150234,0.2950934965930489,A
Temperature,0.11843445343104188,0.14141604689128143,0.08418933740845452,A
Fault density,0.6910086905392512,0.6764122508578962,1.0,C
Fault intersection density,0.40808377244654415,0.7621287056310557,0.6840445155295709,A
Inverse distance from contacts,0.36937485389572905,0.0646245774661733,0.5919560429920596,B
Inverse distance from faults,1.0,0.9286698180843033,0.6534085607643221,A
Unit thickness,0.9144968075911746,1.0,0.8115115221920673,A
Lithology,0.9116080958937312,0.3084698872988489,0.3164970705783021,C
