Name,S1,S2,Signal
Normal stress,0.674431312797616,0.34828510204205115,A
Coulomb shear stress,0.672951079715093,0.35331796045648256,A
Dilation,0.7589660495218966,0.3557183748408961,A
Faulting,0.8641133801653266,0.41250500110950516,A
Fault dilation tendency,3.367768031046697e-16,1.0,B
Fault slip tendency,3.367768031046697e-16,0.7061461395777453,B
Fault curvature,3.367768031046697e-16,0.8906899843519817,B
Temperature,3.367768031046697e-16,0.2393060518282591,B
Fault density,0.8502511509435517,0.4794349634637233,A
Fault intersection density,0.6739123752810262,0.42467184690869153,A
Inverse distance from contacts,0.3886251679210022,0.19324180316299763,A
Inverse distance from faults,0.7927452156149547,0.6902841480087216,A
Unit thickness,1.0,0.5545661158374354,A
Lithology,0.5015789051591207,0.21727087397324427,A
