Name,X,Y,S1,S2,Signal
15-12,327137.93,4.40603467e6,0.5623501317981207,0.8103810204543405,B
17-31,328813.04,4.40882204e6,0.2794831568374705,0.3661190359956111,B
18-1,327026.54,4.40703217e6,0.7356825867347414,0.6194508099555646,A
18-31,328801.97,4.40871725e6,0.18382350641700085,0.26038456715456465,B
18A-1,327056.33,4.40703775e6,0.7841846076953587,0.5207613857198581,A
18B-31,328791.32,4.40871144e6,0.18557036581457337,0.34865773027168,B
18D-31,328751.91,4.40862911e6,0.19626741843505932,0.2987107168999503,B
22-13,327161.72,4.4051245e6,0.7348395045615739,0.29997836932565614,A
26-12,327300.66,4.40579963e6,0.47479900596196023,0.44001601201272145,A
27-1,327256.49,4.40720478e6,0.830320252128771,0.41742076981844073,A
46-1,327805.01,4.40748476e6,0.5973598784007138,0.498350428482478,A
46A-1,327774.78,4.40740108e6,0.6315401309732767,0.446101876240572,A
47A-1,327661.35,4.40729129e6,0.8610050756787462,0.516726089990555,A
47C-1,327746.25,4.4073085e6,0.7462439653124291,0.43445751290482515,A
48A-1,327704.9,4.40718065e6,0.5898732845524352,0.11844920458970878,A
55-1,328014.47,4.40772054e6,0.39327080630474504,0.9498669540608078,B
56-1,327963.43,4.40755491e6,0.6622738276382353,1.0,B
56A-1,327859.51,4.40755578e6,0.5731509216156704,0.7531215444110169,B
56B-1,327891.35,4.40745289e6,0.4976884550307574,0.26759460200178264,A
57-1,327931.46,4.40741438e6,0.8252771324456256,0.9480193395560285,B
64-1,328156.6,4.40795433e6,0.8656467149964215,0.5244814692771426,A
68A-1,328229.72,4.40707921e6,0.9189124624602436,0.6659304077833252,A
68B-1,328065.7,4.40706164e6,0.7123786676859222,0.7584885305656461,B
77-1,328214.13,4.40718169e6,0.8617065057621023,0.8151082060837963,A
81-1,328567.28,4.40851194e6,0.1993325821062563,0.23411994713090506,B
81-11,326859.34,4.4069495e6,0.41873589330391925,0.3484513928502518,A
81A-1,328598.76,4.40855648e6,0.19342944904100112,0.20705788905628753,B
81B-1,328528.63,4.40843124e6,0.1416286351218826,0.32024721364465963,B
82A-11,326907.12,4.40670723e6,0.8066790741875729,0.21565608013078041,A
88-11,326889.0,4.40544507e6,0.661314742167191,0.5443674221584384,A
B1,327745.53,4.40596877e6,0.5044444264756339,0.4800164216929898,A
B2,327721.65,4.40609786e6,0.12685471023847733,2.327614788569305e-16,A
B3,327738.97,4.40619405e6,0.24208326414636175,0.1338507739193376,A
B4,327778.14,4.40639034e6,0.23145349282259187,0.2867537177444407,B
B5,327713.81,4.40629808e6,0.6162427633263834,0.4395379950065365,A
B5A,327754.04,4.40637455e6,0.3292671345645684,0.4392747855317099,B
B6,327848.36,4.40636567e6,0.206915171231781,0.25723431169184213,B
B7,327784.51,4.40629935e6,0.049885235959515606,0.15678961051644225,B
B8,327603.56,4.40643766e6,1.0,0.4044345935843019,A
BCH-1,328398.2,4.40887416e6,0.4558281997078141,0.6088413068571683,B
BCH-2,327732.14,4.40800628e6,0.7208536631559684,0.6720422357293835,A
BCH-3,327126.74,4.40600409e6,0.534069252197574,0.8740960161288297,B
EE-1,327575.0,4.40640489e6,0.9984803080439134,0.38904135137739126,A
MG-1(SP-1),328194.09,4.4071925e6,0.9593539797866703,0.6433484520799514,A
MG-2(SP-2),328128.08,4.4076273e6,0.8562713281252404,0.6181513844383123,A
MGI-1,327853.91,4.40678619e6,0.2435051606184124,0.18072412921657527,A
MGI-2,327994.35,4.40709171e6,0.09636536994554691,0.2918503194027338,B
