Name,X,Y,S1,S2,S3,S4,Signal
15-12,327137.93,4.40603467e6,0.8043083161577372,0.5600007395367225,0.8226286718208579,0.1349357777671112,D
17-31,328813.04,4.40882204e6,0.23369982457228256,0.33081418838728394,0.3719138912479816,0.11889581889386963,B
18-1,327026.54,4.40703217e6,0.919777217179974,0.4998393758415866,0.6271837318147727,0.4968443436012873,D
18-31,328801.97,4.40871725e6,0.10266001596322406,0.2563285448247883,0.2613477188483744,0.07304105993367914,B
18A-1,327056.33,4.40703775e6,0.8691909487398175,0.534428060462377,0.5280925213019845,0.5045666997057392,D
18B-31,328791.32,4.40871144e6,0.13319151373381147,0.2811383913443543,0.35030189415599494,0.07862643071694428,B
18D-31,328751.91,4.40862911e6,0.19217192973600603,0.24368167898815057,0.30182599624284023,0.06441941451193356,B
22-13,327161.72,4.4051245e6,0.8654670026028537,0.5249133356948524,0.30593074995898084,0.04589715584038616,D
26-12,327300.66,4.40579963e6,0.46077063303471594,0.43172280832811377,0.4488145066685076,0.245435016951121,D
27-1,327256.49,4.40720478e6,0.5409250703798978,0.781705377615103,0.4219347802724924,0.2855960262340453,A
46-1,327805.01,4.40748476e6,0.2747703481835413,0.7106216412302883,0.49664239204958166,0.22177565717569864,B
46A-1,327774.78,4.40740108e6,0.25604135478230716,0.7363245954329709,0.4448398615991956,0.21937218333666497,A
47A-1,327661.35,4.40729129e6,0.35972429297440617,0.9601586892148601,0.5144951374882407,0.2874177633786299,A
47C-1,327746.25,4.4073085e6,0.2790787229239914,0.8389139726809312,0.43488391884235006,0.25727694039445864,A
48A-1,327704.9,4.40718065e6,0.1607698976676838,0.5983390488978924,0.11931629426380025,0.17696440725479048,A
55-1,328014.47,4.40772054e6,0.3628359755684629,0.5603884235988013,0.9570823890301264,0.4444801985091709,C
56-1,327963.43,4.40755491e6,0.4760911895415495,0.8797069349952693,1.0,0.3238975319641547,B
56A-1,327859.51,4.40755578e6,0.2864922225298504,0.7837471478609345,0.7516046988899173,0.2538038011687284,B
56B-1,327891.35,4.40745289e6,0.1317644478529001,0.5617296605612143,0.2678235223686731,0.22051272849001993,A
57-1,327931.46,4.40741438e6,0.529220641342618,1.0,0.9483478791607418,0.3771302683975105,B
64-1,328156.6,4.40795433e6,0.45702722543427854,0.7101731503756284,0.5308309285308512,0.923242685302532,A
68A-1,328229.72,4.40707921e6,0.9703951510784755,0.5431432839982882,0.6793083423047765,1.0,D
68B-1,328065.7,4.40706164e6,0.5335399025103305,0.5877289342047457,0.7723051715762822,0.9509238334269704,C
77-1,328214.13,4.40718169e6,0.9014886838461394,0.6139030111903985,0.8329004341504178,0.8902320512424915,D
81-1,328567.28,4.40851194e6,0.09234002067175037,0.2854999633487031,0.23312879839035194,0.0204569104168254,B
81-11,326859.34,4.4069495e6,0.27790579637384294,0.4297280852491995,0.3544039508650538,0.2170736716688741,B
81A-1,328598.76,4.40855648e6,0.07207010421345521,0.27546705498583784,0.20567119303953071,0.02484057884635568,B
81B-1,328528.63,4.40843124e6,0.1000586373687536,0.25387579142373745,0.3191142253897886,0.02224436031303903,B
82A-11,326907.12,4.40670723e6,0.9253287778546937,0.5134630654223881,0.2128801381713046,0.1393910194505926,D
88-11,326889.0,4.40544507e6,1.0,0.4577263375764391,0.5556473532665609,0.11493227840525676,D
B1,327745.53,4.40596877e6,0.6740106721128576,0.33855961723653905,0.4834351087823195,0.36683862023459973,D
B2,327721.65,4.40609786e6,0.0850840913992344,0.07159043008009677,2.0954828592355606e-16,0.09837052389195312,A
B3,327738.97,4.40619405e6,0.23352193380844014,0.1394617046970564,0.1358157852636475,0.25337051301945224,D
B4,327778.14,4.40639034e6,0.14685861425200178,0.22775407956657784,0.29028860814800145,0.29667585274761643,C
B5,327713.81,4.40629808e6,0.4832481325844021,0.4524386123879029,0.44640223634191106,0.6593457681439203,D
B5A,327754.04,4.40637455e6,0.2976583310351889,0.28564523669804454,0.4468500793145022,0.43912132172380897,C
B6,327848.36,4.40636567e6,0.23446027933040417,0.15784510057751264,0.26166691167577033,0.2405187037174514,D
B7,327784.51,4.40629935e6,0.03448932996493597,0.07854688226755079,0.15801834447565705,0.10345918146992018,C
B8,327603.56,4.40643766e6,0.3867241000865882,0.825039607964261,0.40968873382944554,0.9934203667419098,A
BCH-1,328398.2,4.40887416e6,0.24720579389667954,0.6706368777178247,0.604446281812539,0.04289471680180022,B
BCH-2,327732.14,4.40800628e6,0.4730697615460529,0.7294661758152914,0.6762218187301708,0.5295836865213596,B
BCH-3,327126.74,4.40600409e6,0.8243661369990143,0.545190154697182,0.8880086967213197,0.13523726716401316,D
EE-1,327575.0,4.40640489e6,0.39190856238930705,0.8193089946158604,0.3947892020208042,0.9743559960280349,A
MG-1(SP-1),328194.09,4.4071925e6,0.8574518706674076,0.6779192850312538,0.6594291656664326,0.8704677846030793,D
MG-2(SP-2),328128.08,4.4076273e6,0.6618813156631687,0.7479014726047872,0.6297006269467464,0.5664032593506202,A
MGI-1,327853.91,4.40678619e6,0.08471325794879206,0.23204307127208207,0.1817801257221929,0.27889417154086465,A
MGI-2,327994.35,4.40709171e6,0.04567183861008718,0.15865582681009296,0.2924651306510498,0.19936223549843787,C
