Name,S1,S2,S3,S4,S5
15-12,2.1048772983868754e-17,2.6280595990421436e-17,2.369831572466458e-17,0.0478701887160129,0.06313874631860313
17-31,0.028094106966346847,2.6280595990421436e-17,0.04412025458390134,2.433341160418765e-17,0.015764597565982242
18-1,2.1048772983868754e-17,0.021619285982340912,2.369831572466458e-17,0.09282514246929717,2.3461225939286118e-17
18-31,0.012992221925112082,2.6280595990421436e-17,0.052450378595426776,0.03307801476085685,0.0005694459618401975
18A-1,0.015937446265882352,0.018823500266694083,2.369831572466458e-17,0.067192770051284,2.3461225939286118e-17
18B-31,0.010234847493424537,2.6280595990421436e-17,0.0520612439830218,0.03593752652185946,0.0001912112952247025
18D-31,0.017024277010488767,0.005117548367111311,0.0354001919444153,0.04695580716217625,7.139345294881791e-6
22-13,0.012891017102338477,2.6280595990421436e-17,0.02508218746058876,0.026518943255195566,0.010166067603980259
26-12,0.00011358053117690279,0.012768484761404518,0.03380814576607896,2.433341160418765e-17,0.05719532397555202
27-1,0.022817663525820646,2.6280595990421436e-17,2.369831572466458e-17,0.040783000279902185,0.028569234201698736
46-1,0.026080016361042582,2.6280595990421436e-17,0.04122591597117369,2.433341160418765e-17,0.03676098582517531
46A-1,0.026857485236887475,2.6280595990421436e-17,0.03768197062760104,2.433341160418765e-17,0.0407628322850053
47A-1,0.043975570830869726,2.6280595990421436e-17,0.028011557493537953,2.433341160418765e-17,0.019718502662093417
47C-1,0.05002045524591679,2.6280595990421436e-17,4.186481191191384e-6,2.433341160418765e-17,0.050624527658740946
48A-1,0.06297678719506958,2.6280595990421436e-17,2.369831572466458e-17,2.433341160418765e-17,0.037079006861925896
55-1,0.042215052856953476,0.009375500930143815,0.03150017758612154,0.028691530314654056,4.829927125317063e-11
56-1,0.04582095964055118,2.6280595990421436e-17,0.05437515489629845,0.002614129272595594,2.3461225939286118e-17
56A-1,0.040625980730162256,2.6280595990421436e-17,2.369831572466458e-17,0.032525975377758934,0.04091441141638003
56B-1,0.07996083540164345,4.488780706533806e-15,0.012608710603381975,2.433341160418765e-17,0.00027655275168455434
57-1,0.04802599284235248,2.6280595990421436e-17,0.047726732073846,2.433341160418765e-17,0.013008753200912045
64-1,2.1048772983868754e-17,0.03572770185778799,0.0503635187325993,0.020650473272144653,2.3461225939286118e-17
68A-1,2.1048772983868754e-17,0.11686380752254881,1.931256247771315e-9,2.433341160418765e-17,0.0203216835338787
68B-1,2.1048772983868754e-17,0.06423292541898253,0.028940557399581658,0.008164405899464797,0.041638623821797824
77-1,0.022769364616687455,0.06017790103109478,0.00826877796858241,0.036660919365421506,2.3461225939286118e-17
81-1,0.00015786112287091502,2.6280595990421436e-17,0.06269394406613027,2.433341160418765e-17,0.039619656531033776
81-11,0.045931306927457484,2.6280595990421436e-17,2.369831572466458e-17,2.433341160418765e-17,0.0349587128788366
81A-1,0.00024700434994780646,2.6280595990421436e-17,0.06271538140549528,2.433341160418765e-17,0.03786520387659798
81B-1,0.0015947528154378538,3.7239834572945003e-11,0.04165117467836605,0.0488998694040685,0.015178627912670353
82A-11,1.2993188467165153e-12,1.0669651068107503e-10,2.369831572466458e-17,0.08790740718114898,2.3461225939286118e-17
88-11,0.017405199653958085,2.6280595990421436e-17,2.369831572466458e-17,0.05347189325844103,0.019823459762737528
B1,0.05687783871358704,5.59696372360722e-10,2.369831572466458e-17,2.433341160418765e-17,0.027770808007206892
B2,0.07616395885457859,2.6280595990421436e-17,7.810711421253138e-5,5.479033496564475e-17,0.012249172876420576
B3,0.03098202475721523,0.06776940494807362,2.369831572466458e-17,2.433341160418765e-17,0.009288791650807468
B4,3.82011628380144e-6,0.06539244936143675,0.030081251175458096,0.0001724930811695506,0.03655929124791763
B5,2.1048772983868754e-17,0.05193901816299854,0.018151742511240902,0.04254731374385853,2.3461225939286118e-17
B5A,1.6158580949325342e-8,0.057574385645126055,0.021883284949123727,0.016268345776220935,0.03164155887387659
B6,0.011924321320343748,0.06236756890198955,2.369831572466458e-17,0.03323992359590953,0.012691604365970274
B7,0.0014492817514158364,0.06815084314452946,0.008914956710946312,0.03968229594805359,0.006071410541556983
B8,0.06232121594675637,0.02386756698963498,2.369831572466458e-17,2.433341160418765e-17,2.3461225939286118e-17
BCH-1,2.1048772983868754e-17,2.6280595990421436e-17,0.028381092137778965,0.020637591070858826,0.053273235413358745
BCH-2,0.018497824355627693,0.017225816773939143,0.00950720252636575,2.433341160418765e-17,0.0571224147308631
BCH-3,2.1048772983868754e-17,2.6280595990421436e-17,2.369831572466458e-17,0.04385722981450602,0.06945896920552617
EE-1,0.06697223275576421,0.014933940376208897,2.369831572466458e-17,2.433341160418765e-17,2.3461225939286118e-17
MG-1(SP-1),2.1048772983868754e-17,0.0888431761856304,2.369831572466458e-17,0.03041748212062105,0.01865080311156068
MG-2(SP-2),2.1048772983868754e-17,0.027323192472735108,0.06527074462944561,0.01679521369767798,2.3461225939286118e-17
MGI-1,1.048448189927335e-5,0.04554314771686903,0.04993433314516994,2.433341160418765e-17,0.031687987481915814
MGI-2,2.719413824890719e-5,0.06436283247908203,0.01710712085166204,0.045634114588841555,0.009380645197073196
