Name,S1,S2,S3,S4,S5
Normal stress,5280.730134234449,2729.3547488197933,2123.911844005969,3456.0209765331606,4677.5793981856195
Coulomb shear stress,4732.035483957021,2589.5748472774026,2215.7518968241393,3824.441304867338,4714.149236464546
Dilation,6708.729860242227,3638.6431822589007,4156.440427394629,3599.8400923023582,1830.8456221319263
Faulting,7118.385034054291,3566.8578677547393,6256.038817722321,4649.530083678198,1710.8632104637036
Fault dilation tendency,3303.6136135279776,1900.1131068134725,3897.8591029663353,2711.203485569171,3806.388756068818
Fault slip tendency,2382.1545949768206,1408.3138008260316,2841.3610657630034,1851.8710063497365,2560.234398918812
Fault curvature,3050.2828128036526,1660.181329081947,3493.533794488182,2357.239120898253,3379.1048083800233
Temperature,828.4047429498412,456.61738597770534,956.7395515926777,540.810340695785,733.7686446539257
Fault density,7020.358694569876,4685.940578283164,7767.92342412622,3039.084535476868,2832.3730057761145
Fault intersection density,5778.557822215137,3422.2916556368937,4888.294360927728,1436.557352872249,4760.085975320363
Inverse distance from contacts,3263.099333500807,5291.331705125507,413.60176834662167,951.6414326712954,253.7125424926139
Inverse distance from faults,6788.274805151952,3563.8747500895442,5286.393814111482,5081.537795735246,5387.436555361521
Unit thickness,7972.687999464638,3456.683606911127,6602.241768022817,4752.884969682489,5701.089106176621
Lithology,2294.779929333835,2729.1700641931006,2228.2033124580526,4534.509672074696,2104.652190137973
