Name,S1,S2,S3,S4,S5,S6
Normal stress,3933.559334411701,3332.8980464134506,2238.4069246333397,2973.569617595825,5314.447968337282,1050.408867907133
Coulomb shear stress,3726.329676996287,3086.0664042717463,1982.7681943213956,3502.8146351299947,5008.094143452257,1374.5213814630763
Dilation,5273.722831600227,4080.7475605291643,2613.944685753132,3060.543575521109,1993.5952479790033,2836.713913949798
Faulting,5545.3768632004485,4756.554097891547,1928.466494060316,4344.30482886263,1633.508710308135,4768.399345035656
Fault dilation tendency,3196.9680218470457,1921.3828636685166,1430.3293169202311,1982.1842927221371,5005.618594447318,3154.869144693034
Fault slip tendency,2272.25137959779,1407.9233603334205,1025.2640147791176,1345.6267270190688,3362.618336608091,2340.380327970372
Fault curvature,2922.264728414655,1757.6720655699892,1215.3640046500109,1706.1754338806447,4487.830768769922,2832.6101820859913
Temperature,835.4340769622968,451.10499221994775,374.8804122052801,394.5890591932131,770.4358077582372,870.0767865256196
Fault density,6316.522100175943,4538.663013354718,2622.5695126883434,2687.2708528350945,2681.223225541116,6373.697655200682
Fault intersection density,4885.286276974599,4101.025210545929,1795.3726317040935,1270.095267840692,4960.574617626013,3408.444279033014
Inverse distance from contacts,1041.555021644226,3757.635561690513,3569.448906814509,777.3331244171271,389.8956956323134,428.483209645921
Inverse distance from faults,5389.694337991035,4605.024428431525,2308.2197773928106,4653.526810282223,5926.004857171476,3846.1080852199043
Unit thickness,5372.92756813539,5915.2482865246975,1548.1136151471383,4966.196360476643,5511.466843102931,4615.56632444351
Lithology,1741.3874452975974,1975.665057713145,2535.816548058698,4291.919512523822,2069.7184178236903,1704.243679673057
