Name,X,Y,A,B,Signal
15-12,327137.93,4.40603467e6,0.7192025485956856,0.0,A
17-31,328813.04,4.40882204e6,0.19341727439181092,0.5737604873498233,B
18-1,327026.54,4.40703217e6,0.3948626006058255,0.39571634458801175,B
18-31,328801.97,4.40871725e6,1.0,0.0005587799860374094,A
18A-1,327056.33,4.40703775e6,0.39294755930628017,0.37073253068036216,B
18B-31,328791.32,4.40871144e6,0.9608363024273926,0.04198646364084449,A
18D-31,328751.91,4.40862911e6,0.7263979628914171,0.27792109659953473,A
22-13,327161.72,4.4051245e6,0.33825129259971964,0.26922696254903583,B
26-12,327300.66,4.40579963e6,0.48235444175020786,0.2991166091449823,A
27-1,327256.49,4.40720478e6,0.6671399722441083,0.005311134911338008,A
46-1,327805.01,4.40748476e6,0.7655561210897014,0.0918630364722633,A
46A-1,327774.78,4.40740108e6,0.7638326250822601,0.0989368777857965,A
47A-1,327661.35,4.40729129e6,0.533140992960635,0.3009194109259625,A
47C-1,327746.25,4.4073085e6,0.826181078944056,1.4375792375997639e-6,A
48A-1,327704.9,4.40718065e6,0.8490509710588316,5.2834446880689845e-6,A
55-1,328014.47,4.40772054e6,0.5016648862881324,0.49120639143166583,B
56-1,327963.43,4.40755491e6,0.5188815587924285,0.4555235076593931,B
56A-1,327859.51,4.40755578e6,0.8781237775500131,4.2386579367005634e-8,A
56B-1,327891.35,4.40745289e6,0.49699371693821465,0.41344304294092543,B
57-1,327931.46,4.40741438e6,0.5743019237755991,0.43841963917827426,B
64-1,328156.6,4.40795433e6,1.07066770981647e-14,0.9063814126054763,B
68A-1,328229.72,4.40707921e6,0.18785076475607362,0.8001299722573644,B
68B-1,328065.7,4.40706164e6,0.36448624129342966,0.6965216872763418,B
77-1,328214.13,4.40718169e6,0.34928829188525634,0.6558784775758215,B
81-1,328567.28,4.40851194e6,0.8590005487729481,0.0014495491013764112,A
81-11,326859.34,4.4069495e6,0.6598726665261042,0.009696559121754348,A
81A-1,328598.76,4.40855648e6,0.8382977589333254,0.0002660044699190833,A
81B-1,328528.63,4.40843124e6,0.7968722095489916,0.1794869814602095,A
82A-11,326907.12,4.40670723e6,0.3544774889296994,0.24674123535551767,A
88-11,326889.0,4.40544507e6,0.6410107323055768,5.748665823772089e-8,A
B1,327745.53,4.40596877e6,0.5851804698615056,0.1751928936155993,A
B2,327721.65,4.40609786e6,0.8044529414303043,0.11422551614909197,A
B3,327738.97,4.40619405e6,0.00033321319556002847,0.820339559326746,B
B4,327778.14,4.40639034e6,0.030301166465731548,0.9025707627915763,B
B5,327713.81,4.40629808e6,2.803127230025653e-5,0.874384383417089,B
B5A,327754.04,4.40637455e6,0.12214501645798631,0.7886400836165406,B
B6,327848.36,4.40636567e6,0.021449815609581077,0.8971068650932313,B
B7,327784.51,4.40629935e6,0.04406700014672633,0.9718736015643858,B
B8,327603.56,4.40643766e6,0.325519156946229,0.5280889771616664,B
BCH-1,328398.2,4.40887416e6,0.6149099303033483,0.08930942663145848,A
BCH-2,327732.14,4.40800628e6,0.49426817027245173,0.2967700297183942,A
BCH-3,327126.74,4.40600409e6,0.7353822566365004,1.3232205097281005e-15,A
EE-1,327575.0,4.40640489e6,0.3504585341681783,0.48732371636559646,B
MG-1(SP-1),328194.09,4.4071925e6,0.17580890060296075,0.8284168676135217,B
MG-2(SP-2),328128.08,4.4076273e6,1.7281715615732334e-8,0.9571469932867414,B
MGI-1,327853.91,4.40678619e6,0.20918557459386158,0.7322166531512644,B
MGI-2,327994.35,4.40709171e6,0.12325031472071135,1.0,B
