Name,X,Y,A,B,C,Signal
15-12,327137.93,4.40603467e6,1.706583415991269e-15,0.7190994907986006,0.13190039979326776,B
17-31,328813.04,4.40882204e6,0.896532771693677,0.0022668059932128156,2.5664260332935493e-10,A
18-1,327026.54,4.40703217e6,3.1673569235252096e-15,0.13582068577002926,0.8205993273071257,C
18-31,328801.97,4.40871725e6,0.2576470026147841,0.979653863321502,3.9541411150196984e-5,B
18A-1,327056.33,4.40703775e6,0.16591644416007034,6.446625844213238e-8,0.7663221108856646,C
18B-31,328791.32,4.40871144e6,0.229445628245637,1.0,0.00016310149983422557,B
18D-31,328751.91,4.40862911e6,0.16025153501289321,0.6670303623673971,0.32668020850935914,B
22-13,327161.72,4.4051245e6,0.18123677722672932,0.12513695976711653,0.4137373359074492,C
26-12,327300.66,4.40579963e6,0.49853577497078916,0.39008069844127874,9.6818260439909e-7,B
27-1,327256.49,4.40720478e6,0.2581867938122885,0.3279775970100461,0.2419510301327235,B
46-1,327805.01,4.40748476e6,0.5045748539333288,0.48817334033937015,5.700340851295719e-7,B
46A-1,327774.78,4.40740108e6,0.5584209074521379,0.43908294810420084,1.7747999546459212e-9,B
47A-1,327661.35,4.40729129e6,0.7496105686517174,0.19836780184508995,3.7581664490691663e-13,A
47C-1,327746.25,4.4073085e6,0.5500163847416474,0.42797480992401293,9.464894060378835e-13,B
48A-1,327704.9,4.40718065e6,0.8702323438206122,0.015652591113064888,1.7544130754754899e-12,A
55-1,328014.47,4.40772054e6,0.6131231715940224,0.1562259096395124,0.36221487343583103,C
56-1,327963.43,4.40755491e6,0.7998237254435583,0.2717160612710833,0.01139331023292502,A
56A-1,327859.51,4.40755578e6,0.4554968338991229,0.5898918026117622,2.4084980254353067e-5,B
56B-1,327891.35,4.40745289e6,1.0,2.6945116406986085e-7,1.348323776111818e-14,A
57-1,327931.46,4.40741438e6,0.83303701749816,0.2968381195994317,0.00012094399870699834,A
64-1,328156.6,4.40795433e6,0.4159387764723791,0.0,0.5536577587808339,C
68A-1,328229.72,4.40707921e6,0.46208331758674065,0.11709670744681631,0.5014401777428613,C
68B-1,328065.7,4.40706164e6,0.1803854138971469,0.33311717373477695,0.6979933111810471,C
77-1,328214.13,4.40718169e6,0.3481688454321573,1.2321990811904066e-9,0.824096544570649,C
81-1,328567.28,4.40851194e6,0.22690943089288293,0.8235092324836915,2.0180087390432543e-9,B
81-11,326859.34,4.4069495e6,0.44643307488959444,0.3270528727903877,3.5524601343415777e-12,B
81A-1,328598.76,4.40855648e6,0.24549382330702993,0.7812594396930569,1.6300948625604948e-9,B
81B-1,328528.63,4.40843124e6,0.044319706800760125,0.872463428149385,0.23319453846602278,B
82A-11,326907.12,4.40670723e6,4.096505189482195e-13,0.00020761875386050737,0.7587143282244126,C
88-11,326889.0,4.40544507e6,0.1860652558183378,0.32194407237244976,0.2874295061269333,B
B1,327745.53,4.40596877e6,0.6267379537076098,0.24454265510174972,8.634351948127448e-11,A
B2,327721.65,4.40609786e6,0.9414160091743379,0.026241477602464126,4.639031479976706e-6,A
B3,327738.97,4.40619405e6,0.5129224140408667,2.4742212651290814e-9,0.42271789581240826,C
B4,327778.14,4.40639034e6,0.3685985264746773,0.013022304748768095,0.6430402261903108,C
B5,327713.81,4.40629808e6,2.439668959161982e-10,9.732878665713367e-13,1.0,C
B5A,327754.04,4.40637455e6,0.3141703191318103,0.0033451361085843723,0.7294143631967571,C
B6,327848.36,4.40636567e6,0.20649448071431006,0.00015311485393804862,0.7521682989584701,C
B7,327784.51,4.40629935e6,0.1135058218275971,0.04608790990808901,0.8906886807644648,C
B8,327603.56,4.40643766e6,0.9337213138311922,0.0,2.0760247521279055e-6,A
BCH-1,328398.2,4.40887416e6,0.16922064303094003,0.6514293009579936,0.005835849431808598,B
BCH-2,327732.14,4.40800628e6,0.5253791304695505,0.35911504290128393,2.084049892525963e-13,B
BCH-3,327126.74,4.40600409e6,1.0796699968737267e-15,0.7292371534816641,0.1419871919638381,B
EE-1,327575.0,4.40640489e6,0.9231979190077955,0.0,2.038291626974639e-6,A
MG-1(SP-1),328194.09,4.4071925e6,0.2812735519029662,0.14186429471615203,0.6878105666923244,C
MG-2(SP-2),328128.08,4.4076273e6,0.488483750033166,6.372801877740928e-13,0.5301083218332104,C
MGI-1,327853.91,4.40678619e6,0.5130354602030045,0.11357823107943844,0.4405298816725843,C
MGI-2,327994.35,4.40709171e6,0.09235752505253689,0.09385321336981832,0.9457962869323262,C
