Name,X,Y,S1,S2,S3,S4,S5,Signal
15-12,327137.93,4.40603467e6,2.632385326909195e-16,2.2488225009569884e-16,3.630771467248368e-16,0.5157028305326484,0.9090078220391988,D
17-31,328813.04,4.40882204e6,0.35134834228819756,2.2488225009569884e-16,0.6759575799905515,2.621424643892808e-16,0.2269627342055057,A
18-1,327026.54,4.40703217e6,2.632385326909195e-16,0.18499556398733186,3.630771467248368e-16,1.0,3.3777100650407487e-16,D
18-31,328801.97,4.40871725e6,0.16248231849820133,2.2488225009569884e-16,0.8035817408426627,0.35634757869397005,0.008198307120787104,A
18A-1,327056.33,4.40703775e6,0.1993156547931062,0.16107211176618647,3.630771467248368e-16,0.7238639043673827,3.3777100650407487e-16,D
18B-31,328791.32,4.40871144e6,0.1279982561714729,2.2488225009569884e-16,0.7976198874179137,0.3871529368645586,0.0027528668710719894,A
18D-31,328751.91,4.40862911e6,0.2129076931847421,0.043790703688341516,0.5423592475524662,0.5058522498654644,0.00010278507407382864,A
22-13,327161.72,4.4051245e6,0.16121663859046584,2.2488225009569884e-16,0.3842791683009761,0.28568707302514473,0.14636076118404942,A
26-12,327300.66,4.40579963e6,0.0014204520326280678,0.10925953066299714,0.5179678270565812,2.621424643892808e-16,0.8234404372790712,E
27-1,327256.49,4.40720478e6,0.2853604944371513,2.2488225009569884e-16,3.630771467248368e-16,0.4393529510971832,0.4113109441224728,D
46-1,327805.01,4.40748476e6,0.32615987852106104,2.2488225009569884e-16,0.6316139980510569,2.621424643892808e-16,0.5292475002961978,E
46A-1,327774.78,4.40740108e6,0.335882999495719,2.2488225009569884e-16,0.5773179215516651,2.621424643892808e-16,0.5868620388590823,E
47A-1,327661.35,4.40729129e6,0.5499638743139731,2.2488225009569884e-16,0.4291594596103488,2.621424643892808e-16,0.2838870614930549,C
47C-1,327746.25,4.4073085e6,0.6255619391001099,2.2488225009569884e-16,6.414023947419065e-5,2.621424643892808e-16,0.7288407564607688,C
48A-1,327704.9,4.40718065e6,0.78759541316367,2.2488225009569884e-16,3.630771467248368e-16,2.621424643892808e-16,0.5338260455926243,C
55-1,328014.47,4.40772054e6,0.5279466209289482,0.08022587256824416,0.48260790902500067,0.309092230309736,6.953640660899403e-10,A
56-1,327963.43,4.40755491e6,0.5730425327648517,2.2488225009569884e-16,0.8330708528759172,0.02816186652727458,3.3777100650407487e-16,A
56A-1,327859.51,4.40755578e6,0.5080734903043205,2.2488225009569884e-16,3.630771467248368e-16,0.3504004897004841,0.589044321912063,D
56B-1,327891.35,4.40745289e6,1.0,3.841035819124495e-14,0.19317552871449553,2.621424643892808e-16,0.003981526861797306,C
57-1,327931.46,4.40741438e6,0.6006189480277165,2.2488225009569884e-16,0.7312116989747812,2.621424643892808e-16,0.1872868738149524,A
64-1,328156.6,4.40795433e6,2.632385326909195e-16,0.3057208439053669,0.7716093790337851,0.22246637842732103,3.3777100650407487e-16,A
68A-1,328229.72,4.40707921e6,2.632385326909195e-16,1.0,2.958839000130032e-8,2.621424643892808e-16,0.29257104973365916,B
68B-1,328065.7,4.40706164e6,2.632385326909195e-16,0.5496391635758472,0.443392481024733,0.0879546821289852,0.5994707997838391,B
77-1,328214.13,4.40718169e6,0.2847564623645674,0.5149404448377526,0.12668429042024615,0.3949460069780929,3.3777100650407487e-16,B
81-1,328567.28,4.40851194e6,0.0019742305352111224,2.2488225009569884e-16,0.960521354889632,2.621424643892808e-16,0.5704037503608911,E
81-11,326859.34,4.4069495e6,0.5744225494486699,2.2488225009569884e-16,3.630771467248368e-16,2.621424643892808e-16,0.5033001969176253,C
81A-1,328598.76,4.40855648e6,0.003089066650030644,2.2488225009569884e-16,0.9608497920705882,2.621424643892808e-16,0.5451449151880794,E
81B-1,328528.63,4.40843124e6,0.0199441740125326,3.1866011695502557e-10,0.6381293014937651,0.5267955222394903,0.21852653568407313,A
82A-11,326907.12,4.40670723e6,1.6249440619148535e-11,9.129987542164241e-10,3.630771467248368e-16,0.9470215163981592,3.3777100650407487e-16,D
88-11,326889.0,4.40544507e6,0.21767155841396266,2.2488225009569884e-16,3.630771467248368e-16,0.5760496761545761,0.28539812769292244,D
B1,327745.53,4.40596877e6,0.7113212165416923,4.789304612146313e-9,3.630771467248368e-16,2.621424643892808e-16,0.39981601116242077,C
B2,327721.65,4.40609786e6,0.952515796914913,2.2488225009569884e-16,0.0011966634463259193,5.902531739584154e-16,0.1763512044092648,C
B3,327738.97,4.40619405e6,0.3874649958519374,0.5799007099353455,3.630771467248368e-16,2.621424643892808e-16,0.13373062913332795,B
B4,327778.14,4.40639034e6,4.777484207878754e-5,0.5595611742225608,0.46086882180117694,0.0018582581893327487,0.5263437057313681,B
B5,327713.81,4.40629808e6,2.632385326909195e-16,0.44444057800339026,0.27809920990317766,0.4583598000717475,3.3777100650407487e-16,B
B5A,327754.04,4.40637455e6,2.0208119222567843e-7,0.49266224390316143,0.3352694238951813,0.1752579672215623,0.45554316794207733,B
B6,327848.36,4.40636567e6,0.14912702275367504,0.5336773653379021,3.630771467248368e-16,0.35809181339962887,0.18272088559817737,B
