Name,S1,S2
15-12,2763.595749899091,2091.2166153225166
17-31,1252.4118086515355,1036.475599047013
18-1,2116.904388343592,2743.587248779933
18-31,889.7913316397496,681.8946132317091
18A-1,1779.627001629873,2929.3508958302587
18B-31,1191.5007956173836,685.3353863895939
18D-31,1020.7339548085822,727.3630580294551
22-13,1025.4025423961461,2751.3033313715055
26-12,1503.7368954882486,1769.237446581889
27-1,1426.4049159229585,3106.432110283995
46-1,1703.013901162282,2227.9441552421804
46A-1,1524.4460192495537,2358.253775905864
47A-1,1765.7033049446277,3218.368871499799
47C-1,1484.636265284068,2789.8116196295136
48A-1,404.761862911677,2213.038968896298
55-1,3246.209660648751,1444.8991074442893
56-1,3417.2910949038182,2454.4896358043848
56A-1,2573.7236387365483,2128.005036404651
56B-1,914.434078568416,1861.3582649666437
57-1,3239.4732993908087,3069.160158675252
64-1,1792.2296230400898,3235.521601307796
68A-1,2275.668939929241,3430.742906992136
68B-1,2591.9092232858484,2651.2860806260287
77-1,2785.484714774816,3210.502687688627
81-1,800.0530440203318,741.0863905020644
81-11,1191.2268397708951,1561.3063963059155
81A-1,707.5645586605194,719.8493516357383
81B-1,1094.295001199066,521.279510638061
82A-11,737.4259558336935,3024.0814895949543
88-11,1857.7298189061646,2469.2668871733713
B1,1640.2050379890957,1879.498557839947
B2,8.190343957601002e-13,476.8064725069614
B3,457.3727530685378,905.2919820721584
B4,979.8542039941563,860.0514608608737
B5,1501.9588518059168,2301.0406520484785
B5A,1501.080005645607,1222.3791591435522
B6,879.0172083932075,768.8072009842919
B7,535.7530780034,182.09116614734643
B8,1381.9810354784092,3744.7023504476274
BCH-1,2081.0666573775743,1691.6547392884247
BCH-2,2296.5933501081713,2686.05180477284
BCH-3,2982.0026079963136,1982.0271770128104
EE-1,1329.3953228408423,3739.50831773144
MG-1(SP-1),2198.5690213148832,3583.4660539968995
MG-2(SP-2),2112.4733181431006,3196.8776969885203
MGI-1,617.5309468885982,909.0275676025199
MGI-2,997.2987950045192,352.0928970150582
