Name,S1,S2,S3
15-12,1792.7055518350785,1488.7717991454695,1573.3350142410598
17-31,520.5430634559511,670.9051264861405,1097.439217756457
18-1,1975.0408494635842,1124.4616439971314,1760.9891436628106
18-31,224.814141685312,472.0315047928453,874.8402983933015
18A-1,1880.6501809614035,947.2748712647872,1881.0528452339418
18B-31,292.8174497833657,632.5478557096204,951.4708765139915
18D-31,429.29651380748703,544.8989661147504,773.9015329158001
22-13,2016.3266033748282,554.9431851800275,1205.436085212796
26-12,1006.0642671118428,806.805445427391,1460.1046295309038
27-1,1193.7613969367055,761.6542801342696,2577.421349135979
46-1,605.6459328923456,895.5238335797978,2429.7882899323195
46A-1,566.1737390456942,802.0404428871414,2514.4856132225823
47A-1,799.9435888856931,927.2402434985249,3256.8883440602085
47C-1,618.628460935485,783.347234751071,2872.472189227026
48A-1,363.1180472897131,214.6714705481365,2040.011313970125
55-1,761.6891597823743,1714.8375003550682,2214.5821079555985
56-1,1046.5485960502886,1801.9348130688775,3023.297321589037
56A-1,622.6386291371323,1355.6769312965862,2723.4131147074813
56B-1,288.24325207182636,482.10296747924525,2005.4461239839884
57-1,1162.2583216747814,1707.6408051554624,3438.734331235817
64-1,965.5287077901131,942.7209829281113,3119.501533629661
68A-1,1988.3327040550016,1203.270602234394,2514.808540631982
68B-1,1064.6546489106547,1367.8899941032876,2810.6506608979353
77-1,1889.2377348305051,1478.7275450612565,2628.0221225716814
81-1,211.48931964871798,423.2614357784349,906.3886790952436
81-11,609.8792514992817,636.6526824567829,1506.0013021207462
81A-1,161.84934498353294,373.5486879554089,892.015877357316
81B-1,223.94463905805037,578.5299281323232,813.0999446467536
82A-11,2007.99973133821,384.8245222652765,1368.6831918251605
88-11,2263.9663113108613,1007.5327801046392,1055.4976146640367
B1,1476.6047667188304,871.4268220498166,1171.6720070603963
B2,181.80307673428666,4.231009919217952e-13,295.00339577267493
B3,481.8723352240525,241.1316119524254,639.6607879642183
B4,300.76113305366016,515.3654889222092,1023.7790428791607
B5,996.0705764762638,791.369983938732,2015.5589434393999
B5A,595.3306252911947,793.1096229993195,1335.0189164986455
B6,483.0282342029072,465.5398435216247,699.2563316529674
B7,67.8533653810999,280.91261974052645,369.0782590291194
B8,803.2029259929535,727.2281182562558,3596.2523416768267
BCH-1,558.3711381552257,1097.8556406354123,2116.4946178753607
BCH-2,1012.7774132041036,1213.133768325603,2756.733973351305
BCH-3,1824.02284237059,1605.4512773505612,1534.555665287973
EE-1,814.530951781526,700.5028792117321,3553.8698095790246
MG-1(SP-1),1828.0253799529294,1172.3393296810405,2781.670365677813
MG-2(SP-2),1443.7253916809177,1125.243343040513,2740.3822804101906
MGI-1,173.75785225835403,323.47819796979377,1029.3224642629702
MGI-2,86.03296936257004,520.8601438443504,742.4985788126576
