Name,X,Y,S1,S2,S3,Signal
15-12,327137.93,4.40603467e6,0.7918428568829199,0.8262073568632265,0.4374929411954056,C
17-31,328813.04,4.40882204e6,0.2299252691417263,0.3723248597120565,0.30516190564223683,B
18-1,327026.54,4.40703217e6,0.8723808475400917,0.6240301457309987,0.4896734089693253,C
18-31,328801.97,4.40871725e6,0.09930101016173785,0.2619581470813186,0.24326443621733984,B
18A-1,327056.33,4.40703775e6,0.8306882357593415,0.5256987458117212,0.5230591923248806,C
18B-31,328791.32,4.40871144e6,0.12933825398392135,0.3510381458429827,0.2645728903635134,B
18D-31,328751.91,4.40862911e6,0.18962142310276678,0.302396602897489,0.21519667125331715,B
22-13,327161.72,4.4051245e6,0.890616875923102,0.30797073298944877,0.3351922976157831,C
26-12,327300.66,4.40579963e6,0.44438128875218136,0.44774396919127146,0.40600727946974374,C
27-1,327256.49,4.40720478e6,0.5272876150906612,0.4226869221962004,0.7166964673936655,A
46-1,327805.01,4.40748476e6,0.2675154351310422,0.4969790400212259,0.675644548568964,A
46A-1,327774.78,4.40740108e6,0.2500804610992084,0.445099587992967,0.699196100363233,A
47A-1,327661.35,4.40729129e6,0.3533372316050573,0.514580348175493,0.9056339863352351,A
47C-1,327746.25,4.4073085e6,0.2732498526346412,0.43472562329652276,0.7987404431936154,A
48A-1,327704.9,4.40718065e6,0.1603902167075374,0.11913387154251671,0.5672603366367021,A
55-1,328014.47,4.40772054e6,0.33644014753088264,0.9516645596266194,0.615802757301231,B
56-1,327963.43,4.40755491e6,0.4622633255723339,1.0,0.8406799730241851,B
56A-1,327859.51,4.40755578e6,0.27502115469934607,0.7523451578071968,0.7572919962111541,B
56B-1,327891.35,4.40745289e6,0.1273178185698931,0.26754739626689106,0.5576488893014965,A
57-1,327931.46,4.40741438e6,0.5133726221402213,0.947670688623401,0.9561993999654753,B
64-1,328156.6,4.40795433e6,0.42647662333414377,0.5231715243475218,0.867431213732663,A
68A-1,328229.72,4.40707921e6,0.8782518954108178,0.6677658889253059,0.6992858959000081,C
68B-1,328065.7,4.40706164e6,0.47026081774786127,0.7591229073229527,0.7815499008024035,B
77-1,328214.13,4.40718169e6,0.8344813813667641,0.820633207337192,0.7307668853254919,C
81-1,328567.28,4.40851194e6,0.0934154004819371,0.23489275677935195,0.25203700769023935,B
81-11,326859.34,4.4069495e6,0.26938530332907423,0.3533161565220547,0.4187696410142738,B
81A-1,328598.76,4.40855648e6,0.07148929035512917,0.20730421835805352,0.24804040223200666,A
81B-1,328528.63,4.40843124e6,0.09891694851606868,0.3210604090316831,0.22609646581908904,B
82A-11,326907.12,4.40670723e6,0.8869388741811958,0.2135618444542294,0.380585971669325,C
88-11,326889.0,4.40544507e6,1.0,0.5591394165856138,0.29349931939756185,C
B1,327745.53,4.40596877e6,0.6522202911508255,0.4836061858229424,0.3258036132453598,C
B2,327721.65,4.40609786e6,0.08030290725881901,2.3480371701194414e-16,0.08203078308879835,A
B3,327738.97,4.40619405e6,0.21284430462441076,0.13381816600887678,0.17786871642771412,C
B4,327778.14,4.40639034e6,0.13284700021861906,0.2860067329763665,0.284679423358207,B
B5,327713.81,4.40629808e6,0.4399670487585692,0.43917792042152115,0.5604609332001447,B
B5A,327754.04,4.40637455e6,0.26295913605997595,0.4401433488310121,0.3712250391962666,B
B6,327848.36,4.40636567e6,0.21335486830774816,0.2583555410246851,0.1944402853907979,C
B7,327784.51,4.40629935e6,0.02997101372140651,0.15589499559204575,0.10262857663014523,B
B8,327603.56,4.40643766e6,0.3547768895588779,0.4035818127170276,1.0,A
BCH-1,328398.2,4.40887416e6,0.24663403133058226,0.6092649038539041,0.5885278386467456,B
BCH-2,327732.14,4.40800628e6,0.44734650341050985,0.6732395420339947,0.7665574357515527,B
BCH-3,327126.74,4.40600409e6,0.8056757882207447,0.89095968716888,0.42670967426397416,C
EE-1,327575.0,4.40640489e6,0.3597805089731674,0.38875039992079663,0.9882148058392253,A
MG-1(SP-1),328194.09,4.4071925e6,0.8074437198204079,0.6506002998434931,0.773491429797944,C
MG-2(SP-2),328128.08,4.4076273e6,0.6376973828930276,0.6244639566756078,0.7620105654578263,B
MGI-1,327853.91,4.40678619e6,0.0767493100008835,0.17951714769241714,0.28622086729960317,A
MGI-2,327994.35,4.40709171e6,0.03800099362466044,0.2890560413543889,0.20646453815486493,B
