Name,X,Y,A,B,C,D,Signal
15-12,327137.93,4.40603467e6,0.11456637092529044,0.8237000903205787,0.8281340910562975,0.7674065801220358,C
17-31,328813.04,4.40882204e6,0.18363418763559025,0.372255229973688,0.3180268421439155,0.22751420860671054,C
18-1,327026.54,4.40703217e6,0.3728311747850578,0.6190503234153406,0.6123869479285776,0.8489170538337547,D
18-31,328801.97,4.40871725e6,0.11901654375715372,0.2620295276650621,0.26149207173347017,0.10030154010553283,C
18A-1,327056.33,4.40703775e6,0.39311183102056296,0.5212953528375545,0.6380357354622794,0.8062018191685735,D
18B-31,328791.32,4.40871144e6,0.13333856606313607,0.35124462529665523,0.2791535458710055,0.1300085892087129,C
18D-31,328751.91,4.40862911e6,0.0743365584097001,0.3020363933427318,0.3076496340766867,0.18899854971248967,C
22-13,327161.72,4.4051245e6,0.3546485894316023,0.30829033156632235,0.4314872130096928,0.8365852895875049,D
26-12,327300.66,4.40579963e6,0.2905261871247531,0.44719173750575525,0.4195096841230336,0.4396270138942521,C
27-1,327256.49,4.40720478e6,0.29454069601858296,0.42024463031036163,1.0,0.5132318177364781,C
46-1,327805.01,4.40748476e6,0.42831034864216844,0.4971456370647472,0.6167487467534113,0.26577299992916303,A
46A-1,327774.78,4.40740108e6,0.4661530780113839,0.4453081010394232,0.6051534232705634,0.24657630115279894,A
47A-1,327661.35,4.40729129e6,0.6365354885528018,0.5147425493934547,0.7559911602927457,0.3500298550234825,A
47C-1,327746.25,4.4073085e6,0.5496193377006262,0.43472116155308105,0.6724086014007371,0.2682370656179246,A
48A-1,327704.9,4.40718065e6,0.40057400249999653,0.11915738864550451,0.4760377415405516,0.15325718810289704,A
55-1,328014.47,4.40772054e6,0.5371523556081322,0.9514324446451004,0.3284381014008979,0.33546350964867006,B
56-1,327963.43,4.40755491e6,0.6453687257791133,1.0,0.6135095028848819,0.45737011974104314,B
56A-1,327859.51,4.40755578e6,0.521095955839493,0.7521352571011126,0.5984244040567621,0.27461478640685816,B
56B-1,327891.35,4.40745289e6,0.3619098373369596,0.2675647096936842,0.48085105038154796,0.12249284387078233,A
57-1,327931.46,4.40741438e6,0.6925885020046971,0.9481301691346118,0.7730473819575885,0.5103471822546549,B
64-1,328156.6,4.40795433e6,1.0,0.5242969181628636,0.2308335914842057,0.38200383077181377,B
68A-1,328229.72,4.40707921e6,0.750156260468886,0.6688245286495782,0.40424467332550773,0.8984660316892136,B
68B-1,328065.7,4.40706164e6,0.7357792645810515,0.7605620918669039,0.40205489775421976,0.48256378531885025,B
77-1,328214.13,4.40718169e6,0.7148437744441798,0.8220041231469237,0.47965532031143177,0.8446811110881535,B
81-1,328567.28,4.40851194e6,0.12133925779826134,0.23578554785763445,0.2717236844323596,0.09730544566851371,C
81-11,326859.34,4.4069495e6,0.15958996518753565,0.35091515022462155,0.5790152168453288,0.2548275032282736,C
81A-1,328598.76,4.40855648e6,0.12067540629995722,0.20789115246066983,0.26100710070356764,0.07515520723074456,C
81B-1,328528.63,4.40843124e6,0.08809758412877908,0.322156530705865,0.2627217944304997,0.10558321828989446,C
82A-11,326907.12,4.40670723e6,0.1822766432852201,0.21229253722059127,0.7194356449141138,0.8995006797075137,D
88-11,326889.0,4.40544507e6,0.1734201630423546,0.5567948386399756,0.5911137997956145,1.0,D
B1,327745.53,4.40596877e6,0.443243225148284,0.4837495999664495,0.17319305948429733,0.6001761868025512,B
B2,327721.65,4.40609786e6,0.0811817803721192,2.258493090120511e-16,0.06179210842714619,0.07740169247052607,A
B3,327738.97,4.40619405e6,0.1902592062136906,0.13393885130714425,0.10812673121557424,0.21230816971944536,B
B4,327778.14,4.40639034e6,0.23411258393787482,0.2864299674123905,0.18162241074615967,0.1325581799124821,B
B5,327713.81,4.40629808e6,0.5255128491035488,0.4398411980527195,0.3544449250243799,0.4355462935896262,B
B5A,327754.04,4.40637455e6,0.32873207375564334,0.44058539272864905,0.2275763319216893,0.2667823646399794,B
B6,327848.36,4.40636567e6,0.1821045478467496,0.2584104870429182,0.13225085641873113,0.21429233928355543,B
B7,327784.51,4.40629935e6,0.07669220722385178,0.15601190932415454,0.06191549175576515,0.031119633088899153,B
B8,327603.56,4.40643766e6,0.8401162577234371,0.40409066570773255,0.652617950195266,0.3431009983956217,A
BCH-1,328398.2,4.40887416e6,0.31885640178841645,0.611003608155221,0.5862117103537826,0.2584925927724757,C
BCH-2,327732.14,4.40800628e6,0.5781117160609204,0.6731925895141471,0.6074846128339342,0.4521515233758376,B
BCH-3,327126.74,4.40600409e6,0.11100859925759736,0.8890361853269707,0.809230640695678,0.7838905368348492,C
EE-1,327575.0,4.40640489e6,0.8016436557551756,0.38906217654253195,0.6903592145471154,0.3482949041048598,A
MG-1(SP-1),328194.09,4.4071925e6,0.7464751688427707,0.6513176198619682,0.5291985380169293,0.8056758423376484,B
MG-2(SP-2),328128.08,4.4076273e6,0.7995636491643402,0.6249555487109298,0.38880931263586466,0.6107754072352932,B
MGI-1,327853.91,4.40678619e6,0.24234556730947543,0.17957125392267576,0.1645098558577543,0.07623382177617931,A
MGI-2,327994.35,4.40709171e6,0.15245837505128043,0.28914846060727034,0.1212106307642417,0.04089258087359978,B
