,pin,size,ResDepth,ResGradient,ResRho,ResKt,ResSv,AmbTempC,AmbPres,ResE,Resv,ResG,Ks3,Ks2,s3Azn,s3AznVar,s3Dip,s3DipVar,fNum0,fDia_min0,fDia_max0,fStr_nom0,fStr_var0,fDip_nom0,fDip_var0,fNum1,fDia_min1,fDia_max1,fStr_nom1,fStr_var1,fDip_nom1,fDip_var1,fNum2,fDia_min2,fDia_max2,fStr_nom2,fStr_var2,fDip_nom2,fDip_var2,alpha0,alpha1,alpha2,gamma0,gamma1,gamma2,n10,n11,n12,a0,a1,a2,b0,b1,b2,N0,N1,N2,bh0,bh1,bh2,bh_min,bh_max,bh_bound,f_roughness,w_count,w_spacing,w_length,w_azimuth,w_dip,w_proportion,w_phase,w_toe,w_skew,w_intervals,ra,rb,rc,rgh,CemKt,CemSv,GenEfficiency,LifeSpan,TimeSteps,p_whp,Tinj,H_ConvCoef,dT0,dE0,PoreRho,Poremu,Porek,Frack,BH_T,BH_P,s1,s2,s3,perf,r_perf,sand,leakoff,dPp,dPi,stim_limit,Qinj,Vinj,Qstim,Vstim,bval,phi0,phi1,phi2,mcc0,mcc1,mcc2,hfmcc,hfphi
0,133855153,1600.0,2348.11,87.3596,2765.25,3.04971,2660.44,0.0,0.101,57012300000.0,0.350039,21115100000.0,0.354259,0.577713,5.86835,0.0174533,0.314518,0.0174533,25.0,150.0,1500.0,1.67552,0.139626,1.39626,0.10472,39.0,150.0,1500.0,3.22886,0.139626,0.837758,0.10472,8.0,150.0,1500.0,0.610865,0.139626,1.11701,0.10472,2e-09,2.9e-08,1e-07,0.001,0.01,0.0630957,1.0,1.0,1.0,0.0,0.2,0.8,0.999,1.0,1.001,0.0,0.6,2.0,1e-08,5e-05,0.0001,5e-08,1.0,0.000240285,0.174533,1.0,278.364,1113.9,1.833,0.438,0.562445,4.71239,0.0,0.0,4.0,0.0889,0.1016,0.1143,80.0,2.0,2000.0,1.0,946709000.0,40.0,1000000.0,34.7455,3.0,1.0,50.0,924.292,0.0002,9.86923e-11,9.86923e-08,478.28,21291000.0,63697300.0,45789700.0,36313800.0,1.0,55.6728,0.3,0.0,-9749450.0,100000.0,5.0,0.00501032,4743320.0,0.01,400.0,1.0,0.349066,0.610865,0.785398,1000000.0,3000000.0,6000000.0,106014.0,0.393841
1,996963775,1600.0,2348.11,87.3596,2765.25,3.04971,2660.44,0.0,0.101,57012300000.0,0.350039,21115100000.0,0.354259,0.577713,5.86835,0.0174533,0.314518,0.0174533,25.0,150.0,1500.0,1.67552,0.139626,1.39626,0.10472,39.0,150.0,1500.0,3.22886,0.139626,0.837758,0.10472,8.0,150.0,1500.0,0.610865,0.139626,1.11701,0.10472,2e-09,2.9e-08,1e-07,0.001,0.01,0.0630957,1.0,1.0,1.0,0.0,0.2,0.8,0.999,1.0,1.001,0.0,0.6,2.0,1e-08,5e-05,0.0001,5e-08,1.0,0.000240285,0.174533,1.0,278.364,1113.9,1.833,0.438,0.562445,4.71239,0.0,0.0,4.0,0.0889,0.1016,0.1143,80.0,2.0,2000.0,1.0,946709000.0,40.0,1000000.0,34.7455,3.0,1.0,50.0,924.292,0.0002,9.86923e-11,9.86923e-08,478.28,21291000.0,63697300.0,45789700.0,36313800.0,1.0,55.6728,0.3,0.0,-9749450.0,100000.0,5.0,0.0259873,24602400.0,0.01,400.0,1.0,0.349066,0.610865,0.785398,1000000.0,3000000.0,6000000.0,106014.0,0.393841
2,591332922,1600.0,2348.11,87.3596,2765.25,3.04971,2660.44,0.0,0.101,57012300000.0,0.350039,21115100000.0,0.354259,0.577713,5.86835,0.0174533,0.314518,0.0174533,25.0,150.0,1500.0,1.67552,0.139626,1.39626,0.10472,39.0,150.0,1500.0,3.22886,0.139626,0.837758,0.10472,8.0,150.0,1500.0,0.610865,0.139626,1.11701,0.10472,2e-09,2.9e-08,1e-07,0.001,0.01,0.0630957,1.0,1.0,1.0,0.0,0.2,0.8,0.999,1.0,1.001,0.0,0.6,2.0,1e-08,5e-05,0.0001,5e-08,1.0,0.000240285,0.174533,1.0,278.364,1113.9,1.833,0.438,0.562445,4.71239,0.0,0.0,4.0,0.0889,0.1016,0.1143,80.0,2.0,2000.0,1.0,946709000.0,40.0,1000000.0,34.7455,3.0,1.0,50.0,924.292,0.0002,9.86923e-11,9.86923e-08,478.28,21291000.0,63697300.0,45789700.0,36313800.0,1.0,55.6728,0.3,0.0,-9749450.0,100000.0,5.0,0.0169871,16081800.0,0.01,400.0,1.0,0.349066,0.610865,0.785398,1000000.0,3000000.0,6000000.0,106014.0,0.393841
3,458913825,1600.0,2348.11,87.3596,2765.25,3.04971,2660.44,0.0,0.101,57012300000.0,0.350039,21115100000.0,0.354259,0.577713,5.86835,0.0174533,0.314518,0.0174533,25.0,150.0,1500.0,1.67552,0.139626,1.39626,0.10472,39.0,150.0,1500.0,3.22886,0.139626,0.837758,0.10472,8.0,150.0,1500.0,0.610865,0.139626,1.11701,0.10472,2e-09,2.9e-08,1e-07,0.001,0.01,0.0630957,1.0,1.0,1.0,0.0,0.2,0.8,0.999,1.0,1.001,0.0,0.6,2.0,1e-08,5e-05,0.0001,5e-08,1.0,0.000240285,0.174533,1.0,278.364,1113.9,1.833,0.438,0.562445,4.71239,0.0,0.0,4.0,0.0889,0.1016,0.1143,80.0,2.0,2000.0,1.0,946709000.0,40.0,1000000.0,34.7455,3.0,1.0,50.0,924.292,0.0002,9.86923e-11,9.86923e-08,478.28,21291000.0,63697300.0,45789700.0,36313800.0,1.0,55.6728,0.3,0.0,-9749450.0,100000.0,5.0,0.00283699,2685800.0,0.01,400.0,1.0,0.349066,0.610865,0.785398,1000000.0,3000000.0,6000000.0,106014.0,0.393841
4,550816165,1600.0,2348.11,87.3596,2765.25,3.04971,2660.44,0.0,0.101,57012300000.0,0.350039,21115100000.0,0.354259,0.577713,5.86835,0.0174533,0.314518,0.0174533,25.0,150.0,1500.0,1.67552,0.139626,1.39626,0.10472,39.0,150.0,1500.0,3.22886,0.139626,0.837758,0.10472,8.0,150.0,1500.0,0.610865,0.139626,1.11701,0.10472,2e-09,2.9e-08,1e-07,0.001,0.01,0.0630957,1.0,1.0,1.0,0.0,0.2,0.8,0.999,1.0,1.001,0.0,0.6,2.0,1e-08,5e-05,0.0001,5e-08,1.0,0.000240285,0.174533,1.0,278.364,1113.9,1.833,0.438,0.562445,4.71239,0.0,0.0,4.0,0.0889,0.1016,0.1143,80.0,2.0,2000.0,1.0,946709000.0,40.0,1000000.0,34.7455,3.0,1.0,50.0,924.292,0.0002,9.86923e-11,9.86923e-08,478.28,21291000.0,63697300.0,45789700.0,36313800.0,1.0,55.6728,0.3,0.0,-9749450.0,100000.0,5.0,0.00182718,1729810.0,0.01,400.0,1.0,0.349066,0.610865,0.785398,1000000.0,3000000.0,6000000.0,106014.0,0.393841
5,371735130,1600.0,2348.11,87.3596,2765.25,3.04971,2660.44,0.0,0.101,57012300000.0,0.350039,21115100000.0,0.354259,0.577713,5.86835,0.0174533,0.314518,0.0174533,25.0,150.0,1500.0,1.67552,0.139626,1.39626,0.10472,39.0,150.0,1500.0,3.22886,0.139626,0.837758,0.10472,8.0,150.0,1500.0,0.610865,0.139626,1.11701,0.10472,2e-09,2.9e-08,1e-07,0.001,0.01,0.0630957,1.0,1.0,1.0,0.0,0.2,0.8,0.999,1.0,1.001,0.0,0.6,2.0,1e-08,5e-05,0.0001,5e-08,1.0,0.000240285,0.174533,1.0,197.313,1113.9,1.833,0.438,0.562445,4.71239,0.0,0.0,4.0,0.0889,0.1016,0.1143,80.0,2.0,2000.0,1.0,946709000.0,40.0,1000000.0,34.7455,3.0,1.0,50.0,924.292,0.0002,9.86923e-11,9.86923e-08,478.28,21291000.0,63697300.0,45789700.0,36313800.0,1.0,39.4626,0.3,0.0,-9749450.0,100000.0,5.0,0.000725972,687284.0,0.01,400.0,1.0,0.349066,0.610865,0.785398,1000000.0,3000000.0,6000000.0,106014.0,0.393841
6,412175207,1600.0,2348.11,87.3596,2765.25,3.04971,2660.44,0.0,0.101,57012300000.0,0.350039,21115100000.0,0.354259,0.577713,5.86835,0.0174533,0.314518,0.0174533,25.0,150.0,1500.0,1.67552,0.139626,1.39626,0.10472,39.0,150.0,1500.0,3.22886,0.139626,0.837758,0.10472,8.0,150.0,1500.0,0.610865,0.139626,1.11701,0.10472,2e-09,2.9e-08,1e-07,0.001,0.01,0.0630957,1.0,1.0,1.0,0.0,0.2,0.8,0.999,1.0,1.001,0.0,0.6,2.0,1e-08,5e-05,0.0001,5e-08,1.0,0.000240285,0.174533,1.0,197.313,1113.9,1.833,0.438,0.562445,4.71239,0.0,0.0,4.0,0.0889,0.1016,0.1143,80.0,2.0,2000.0,1.0,946709000.0,40.0,1000000.0,34.7455,3.0,1.0,50.0,924.292,0.0002,9.86923e-11,9.86923e-08,478.28,21291000.0,63697300.0,45789700.0,36313800.0,1.0,39.4626,0.3,0.0,-9749450.0,100000.0,5.0,0.00175095,1657640.0,0.01,400.0,1.0,0.349066,0.610865,0.785398,1000000.0,3000000.0,6000000.0,106014.0,0.393841
7,469627584,1600.0,2348.11,87.3596,2765.25,3.04971,2660.44,0.0,0.101,57012300000.0,0.350039,21115100000.0,0.354259,0.577713,5.86835,0.0174533,0.314518,0.0174533,25.0,150.0,1500.0,1.67552,0.139626,1.39626,0.10472,39.0,150.0,1500.0,3.22886,0.139626,0.837758,0.10472,8.0,150.0,1500.0,0.610865,0.139626,1.11701,0.10472,2e-09,2.9e-08,1e-07,0.001,0.01,0.0630957,1.0,1.0,1.0,0.0,0.2,0.8,0.999,1.0,1.001,0.0,0.6,2.0,1e-08,5e-05,0.0001,5e-08,1.0,0.000240285,0.174533,1.0,197.313,1113.9,1.833,0.438,0.562445,4.71239,0.0,0.0,4.0,0.0889,0.1016,0.1143,80.0,2.0,2000.0,1.0,946709000.0,40.0,1000000.0,34.7455,3.0,1.0,50.0,924.292,0.0002,9.86923e-11,9.86923e-08,478.28,21291000.0,63697300.0,45789700.0,36313800.0,1.0,39.4626,0.3,0.0,-9749450.0,100000.0,5.0,0.000728608,689779.0,0.01,400.0,1.0,0.349066,0.610865,0.785398,1000000.0,3000000.0,6000000.0,106014.0,0.393841
8,942822811,1600.0,2348.11,87.3596,2765.25,3.04971,2660.44,0.0,0.101,57012300000.0,0.350039,21115100000.0,0.354259,0.577713,5.86835,0.0174533,0.314518,0.0174533,25.0,150.0,1500.0,1.67552,0.139626,1.39626,0.10472,39.0,150.0,1500.0,3.22886,0.139626,0.837758,0.10472,8.0,150.0,1500.0,0.610865,0.139626,1.11701,0.10472,2e-09,2.9e-08,1e-07,0.001,0.01,0.0630957,1.0,1.0,1.0,0.0,0.2,0.8,0.999,1.0,1.001,0.0,0.6,2.0,1e-08,5e-05,0.0001,5e-08,1.0,0.000240285,0.174533,1.0,197.313,1113.9,1.833,0.438,0.562445,4.71239,0.0,0.0,4.0,0.0889,0.1016,0.1143,80.0,2.0,2000.0,1.0,946709000.0,40.0,1000000.0,34.7455,3.0,1.0,50.0,924.292,0.0002,9.86923e-11,9.86923e-08,478.28,21291000.0,63697300.0,45789700.0,36313800.0,1.0,39.4626,0.3,0.0,-9749450.0,100000.0,5.0,0.00598829,5669160.0,0.01,400.0,1.0,0.349066,0.610865,0.785398,1000000.0,3000000.0,6000000.0,106014.0,0.393841
9,844191638,1600.0,2348.11,87.3596,2765.25,3.04971,2660.44,0.0,0.101,57012300000.0,0.350039,21115100000.0,0.354259,0.577713,5.86835,0.0174533,0.314518,0.0174533,25.0,150.0,1500.0,1.67552,0.139626,1.39626,0.10472,39.0,150.0,1500.0,3.22886,0.139626,0.837758,0.10472,8.0,150.0,1500.0,0.610865,0.139626,1.11701,0.10472,2e-09,2.9e-08,1e-07,0.001,0.01,0.0630957,1.0,1.0,1.0,0.0,0.2,0.8,0.999,1.0,1.001,0.0,0.6,2.0,1e-08,5e-05,0.0001,5e-08,1.0,0.000240285,0.174533,1.0,197.313,1113.9,1.833,0.438,0.562445,4.71239,0.0,0.0,4.0,0.0889,0.1016,0.1143,80.0,2.0,2000.0,1.0,946709000.0,40.0,1000000.0,34.7455,3.0,1.0,50.0,924.292,0.0002,9.86923e-11,9.86923e-08,478.28,21291000.0,63697300.0,45789700.0,36313800.0,1.0,39.4626,0.3,0.0,-9749450.0,100000.0,5.0,0.00772402,7312400.0,0.01,400.0,1.0,0.349066,0.610865,0.785398,1000000.0,3000000.0,6000000.0,106014.0,0.393841
