,hpro:0.000,hpro:0.750,hpro:1.500,hpro:2.250,hpro:3.000,hpro:3.750,hpro:4.500,hpro:5.250,hpro:6.000,hpro:6.750,hpro:7.500,hpro:8.250,hpro:9.000,hpro:9.750,hpro:10.500,hpro:11.250,hpro:12.000,hpro:12.750,hpro:13.500,hpro:14.250,hpro:15.000,hpro:15.750,hpro:16.500,hpro:17.250,hpro:18.000,hpro:18.750,hpro:19.500,hpro:20.250,hpro:21.000,hpro:21.750,hpro:22.500,hpro:23.250,hpro:24.000,hpro:24.750,hpro:25.500,hpro:26.250,hpro:27.000,hpro:27.750,hpro:28.500,hpro:29.250
0,883.339,883.339,883.339,883.339,883.445,862.213,854.259,846.489,841.869,837.051,832.896,829.289,826.088,823.204,820.583,818.19,815.991,811.6,805.857,799.58,793.25,792.151,789.154,785.359,781.536,777.702,767.173,758.058,754.594,749.339,746.335,741.487,737.814,735.333,730.629,728.266,725.399,722.438,719.433,716.485
1,747.751,747.392,626.734,579.652,551.457,532.292,517.477,505.672,496.033,487.957,480.438,474.521,469.106,464.5,460.378,456.648,453.251,450.139,447.275,444.627,442.169,439.879,437.738,435.731,433.845,432.067,430.388,428.799,427.291,425.859,424.496,423.196,421.955,420.769,419.633,418.544,417.5,416.496,415.599,414.667
2,821.086,821.008,759.588,688.556,651.981,626.056,606.2,590.467,573.465,554.994,541.141,529.156,518.403,508.65,501.629,493.178,485.417,478.227,471.538,465.294,459.444,452.58,447.424,442.613,436.996,433.503,429.547,425.641,421.916,418.353,414.943,411.673,408.534,405.518,402.616,399.822,397.128,394.53,392.02,389.595
3,883.364,883.364,883.364,883.364,883.364,883.364,883.364,883.364,883.363,883.303,882.49,877.367,861.547,859.793,855.76,849.398,847.232,845.685,842.849,839.986,836.22,833.929,832.928,829.666,826.86,825.155,823.422,821.768,820.188,818.815,817.053,815.937,814.353,813.289,811.949,810.727,809.568,808.455,807.381,806.342
4,883.366,883.366,883.366,883.366,883.366,883.366,883.366,883.366,883.366,883.365,883.365,883.365,883.365,883.365,883.365,883.365,883.365,883.365,883.365,883.365,883.365,882.959,883.309,883.103,882.69,882.064,881.235,873.232,864.226,864.456,860.424,860.866,856.916,856.065,854.7,853.194,851.772,851.834,848.965,849.018
5,883.353,883.353,883.353,883.353,883.353,883.353,883.352,883.352,883.352,883.351,883.351,883.351,883.351,883.351,883.35,883.35,883.35,883.35,883.35,883.35,883.35,883.35,883.35,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349
6,883.34,883.34,883.34,883.34,883.34,883.34,883.34,883.34,883.34,883.34,883.339,883.339,883.339,883.339,883.339,883.339,883.339,883.339,883.339,883.339,883.339,883.339,883.339,883.339,883.339,883.339,883.339,883.339,882.013,879.902,877.239,873.443,866.051,859.214,853.026,851.767,849.487,840.154,830.299,825.275
7,883.352,883.352,883.352,883.352,883.352,883.352,883.352,883.352,883.351,883.351,883.351,883.351,883.35,883.35,883.35,883.35,883.35,883.35,883.35,883.35,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.349,883.348,883.348,883.348,883.348,883.348
8,883.334,883.334,883.334,839.205,771.561,724.782,688.102,658.447,634.672,616.249,598.177,582.453,569.209,556.542,545.162,534.808,525.334,516.617,506.816,499.356,492.52,486.129,480.127,474.155,468.418,463.292,458.55,454.055,449.777,445.697,441.799,438.071,434.5,431.075,427.787,424.627,421.586,418.657,415.833,413.108
9,883.333,883.333,845.276,729.337,672.77,630.844,599.34,576.205,555.063,537.597,522.414,508.761,496.728,485.971,474.525,465.822,457.949,450.709,443.579,437.031,431.213,425.864,420.851,416.134,411.684,407.477,403.491,399.706,396.107,392.679,389.408,386.283,383.292,380.427,377.679,375.04,372.503,370.061,367.709,365.441
