,Pout:0.000,Pout:0.750,Pout:1.500,Pout:2.250,Pout:3.000,Pout:3.750,Pout:4.500,Pout:5.250,Pout:6.000,Pout:6.750,Pout:7.500,Pout:8.250,Pout:9.000,Pout:9.750,Pout:10.500,Pout:11.250,Pout:12.000,Pout:12.750,Pout:13.500,Pout:14.250,Pout:15.000,Pout:15.750,Pout:16.500,Pout:17.250,Pout:18.000,Pout:18.750,Pout:19.500,Pout:20.250,Pout:21.000,Pout:21.750,Pout:22.500,Pout:23.250,Pout:24.000,Pout:24.750,Pout:25.500,Pout:26.250,Pout:27.000,Pout:27.750,Pout:28.500,Pout:29.250
0,2307.36,2307.36,2307.36,2307.36,2307.94,2191.59,2148.01,2105.43,2080.12,2053.72,2030.95,2011.18,1993.64,1977.84,1963.48,1950.36,1938.31,1914.25,1882.79,1848.39,1813.7,1807.68,1791.26,1770.46,1749.52,1728.51,1670.81,1618.35,1597.61,1566.36,1548.6,1520.12,1498.69,1484.28,1457.11,1443.54,1427.14,1410.28,1393.26,1376.64
1,5455.23,5445.83,2587.22,1635.91,1111.2,773.918,523.993,331.599,178.976,54.1799,-59.4571,-147.18,-226.113,-292.254,-350.667,-402.882,-449.913,-492.548,-531.423,-567.048,-599.845,-630.163,-658.294,-684.484,-708.943,-731.85,-753.36,-773.607,-792.708,-810.765,-827.868,-844.098,-859.524,-874.21,-888.212,-901.581,-914.362,-926.597,-937.485,-948.777
2,5364.89,5363.64,4378.89,3199.48,2645.19,2274.46,2003.06,1795.79,1579.56,1353.82,1190.82,1054.17,935.009,829.773,755.69,668.374,589.973,518.878,454.071,394.715,340.123,277.318,231.034,188.533,139.753,109.872,76.4564,43.9083,13.2716,-15.6483,-42.9956,-68.899,-93.473,-116.82,-139.033,-160.194,-180.379,-199.655,-218.084,-235.722
3,1113.01,1113.01,1113.01,1113.01,1113.01,1113.01,1113.01,1113.01,1113.01,1112.85,1110.69,1097.07,1055.01,1050.35,1039.63,1022.72,1016.96,1012.85,1005.3,997.694,987.683,981.592,978.93,970.259,962.799,958.266,953.658,949.263,945.062,941.412,936.728,933.761,929.549,926.72,923.158,919.909,916.829,913.869,911.013,908.252
4,717.332,717.332,717.332,717.332,717.332,717.332,717.332,717.331,717.331,717.331,717.331,717.331,717.331,717.331,717.331,717.33,717.33,717.33,717.33,717.33,717.33,716.634,717.234,716.882,716.175,715.102,713.684,699.98,684.561,684.954,678.051,678.808,672.045,670.587,668.25,665.672,663.237,663.344,658.431,658.523
5,285.254,285.254,285.254,285.254,285.254,285.253,285.253,285.253,285.253,285.253,285.252,285.252,285.252,285.252,285.252,285.252,285.252,285.252,285.252,285.252,285.252,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251,285.251
6,687.269,687.269,687.269,687.269,687.269,687.269,687.268,687.268,687.268,687.268,687.267,687.267,687.267,687.267,687.267,687.267,687.267,687.267,687.267,687.266,687.266,687.266,687.266,687.266,687.266,687.266,687.266,687.266,685.091,681.627,677.258,671.03,658.901,647.683,637.53,635.465,631.723,616.41,600.241,591.998
7,286.289,286.289,286.289,286.289,286.289,286.289,286.289,286.288,286.288,286.288,286.288,286.288,286.288,286.288,286.287,286.287,286.287,286.287,286.287,286.287,286.287,286.287,286.287,286.287,286.287,286.287,286.287,286.287,286.287,286.287,286.286,286.286,286.286,286.286,286.286,286.286,286.286,286.286,286.286,286.286
8,2334.35,2334.35,2334.35,2086.65,1706.96,1428.68,1220.43,1061.42,940.044,849.76,764.403,692.741,634.268,579.96,532.523,490.481,452.943,419.196,382.156,354.608,329.856,307.135,286.172,265.671,246.319,229.304,213.8,199.315,185.716,172.919,160.852,149.453,138.667,128.444,118.74,109.516,100.737,92.3688,84.384,76.7557
9,2990.63,2990.63,2715.02,1856.62,1445.99,1167.09,971.989,836.697,719.001,626.079,548.475,481.224,423.945,374.326,323.171,285.411,252.104,222.186,193.388,167.525,145.017,124.71,106.021,88.7346,72.6941,57.7661,43.8362,30.8053,18.5871,7.10603,-3.70413,-13.9019,-23.5392,-32.6619,-41.3114,-49.5242,-57.3335,-64.769,-71.8576,-78.6236
10,813.173,813.173,813.173,813.173,813.173,813.173,813.173,813.172,813.172,813.172,813.172,813.172,813.172,813.172,813.172,813.172,813.172,813.171,813.171,813.171,813.171,813.171,813.171,813.171,813.171,813.171,813.171,813.171,813.171,813.171,813.171,813.171,813.171,813.171,813.07,812.79,812.295,811.532,810.448,809.009
11,256.224,256.224,256.224,256.224,256.224,256.224,256.224,256.224,256.224,256.223,256.223,256.223,256.223,256.223,256.223,256.223,256.223,256.223,256.223,256.223,256.223,256.223,256.223,256.222,256.222,256.222,256.222,256.222,256.222,256.222,256.222,256.222,256.222,256.222,256.222,256.222,256.222,256.222,256.222,256.222
12,843.969,838.856,-2990.3,-4529.74,-5495.92,-6147.8,-6623.3,-6998.56,-7300.43,-7549.83,-7760.21,-7940.67,-8097.59,-8235.62,-8358.22,-8526.74,-8655.52,-8766.62,-8856.08,-8950.85,-9024.69,-9099.55,-9176.71,-9234.47,-9294.96,-9348.06,-9455.35,-9561.67,-9659.0,-9749.39,-9860.16,-9938.77,-10011.7,-10080.9,-10146.8,-10209.7,-10271.7,-10332.5,-10387.6,-10440.1
13,4464.92,4465.31,-13.1977,-1344.22,-2101.2,-2602.55,-3017.69,-3272.23,-3474.27,-3640.42,-3779.98,-3899.73,-4003.02,-4093.54,-4173.7,-4245.3,-4309.72,-4368.06,-4421.22,-4469.89,-4514.66,-4556.03,-4591.15,-4627.12,-4660.67,-4692.07,-4721.52,-4749.22,-4775.34,-4800.01,-4823.36,-4845.5,-4866.54,-4886.56,-4905.63,-4923.83,-4941.23,-4957.87,-4973.82,-4989.11
14,5922.14,5921.1,5337.74,5151.77,5026.21,4944.38,4884.15,4837.33,4799.52,4768.11,4741.51,4718.71,4698.78,4681.0,4641.89,4586.5,4528.03,4510.86,4485.25,4455.44,4427.59,4401.59,4377.64,4354.43,4331.8,4312.11,4293.31,4273.03,4256.4,4241.6,4224.97,4209.18,4194.03,4180.17,4166.96,4154.26,4142.05,4130.27,4118.92,4110.12
15,1463.31,1463.31,1463.31,1463.31,1463.31,1463.31,1463.31,1463.31,1463.31,1463.31,1463.31,1463.31,1463.31,1463.05,1462.91,1461.06,1457.27,1428.1,1388.52,1388.8,1379.07,1358.65,1353.09,1346.63,1339.0,1331.87,1325.06,1318.54,1309.36,1304.05,1299.7,1294.94,1288.49,1281.27,1278.63,1272.17,1269.25,1264.3,1259.82,1255.62
16,5794.83,5795.23,5170.42,4898.8,4727.3,4605.36,4512.36,4438.11,4285.12,4044.98,3967.63,3848.1,3734.49,3619.87,3474.49,3337.02,3186.64,3070.36,2940.24,2841.23,2774.29,2682.38,2596.5,2539.9,2461.21,2385.85,2314.1,2245.72,2164.45,2120.03,2043.88,1987.85,1933.49,1881.25,1831.08,1782.87,1736.48,1685.35,1642.29,1601.11
17,235.15,235.15,235.15,235.15,235.15,235.15,235.15,235.15,235.15,235.15,235.15,235.15,235.15,235.15,235.15,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149,235.149
18,7275.44,7275.36,6500.67,6191.22,6004.04,5873.88,5775.1,5697.75,5638.23,5584.2,5524.32,5482.29,5445.25,5412.32,5382.79,5356.11,5331.85,5312.73,5291.45,5272.41,5254.76,5238.35,5223.04,5208.72,5195.27,5182.62,5163.69,5133.33,5098.03,5060.05,5020.97,4981.88,4943.49,4952.71,4939.66,4918.19,4897.78,4877.82,4862.46,4843.67
19,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.419,102.418,102.418,102.418,102.418,102.418,102.418,102.418,102.418,102.418,102.418,102.418,102.418,102.418,102.418,102.418
20,196.534,196.534,196.534,196.534,196.534,196.534,196.533,196.533,196.533,196.533,196.533,196.533,196.532,196.532,196.532,196.532,196.532,196.532,196.532,196.532,196.532,196.532,196.532,196.532,196.532,196.532,196.531,196.531,196.531,196.531,196.531,196.531,196.531,196.531,196.531,196.531,196.531,196.531,196.531,196.531
