Name,S1,S2
1,6.8036137,1.8517
2,6.302846,1.5996836
3,6.2399716,2.7613287
4,6.749448,2.2275517
5,6.141805,2.377129
6,6.1305823,1.707799
7,6.3194423,1.8038352
8,5.8432903,2.1423047
9,7.4126096,0.22090875
10,3.704358,4.2484674
11,6.965268,2.2938883
12,6.7403927,1.1427424
13,6.8151693,0.94606686
14,6.1618814,2.0605917
15,1.4775385,7.0170426
16,1.8637667,4.9827204
17,8.751113,0.10775024
18,6.868933,2.3417532
19,6.671568,2.2670205
20,6.959997,2.2498455
21,6.695113,2.355184
22,6.747437,2.1039553
23,7.10165,2.118254
24,7.1345496,2.0795753
25,6.867182,2.0429046
26,6.9453,2.0633261
27,6.8537188,2.1146538
28,6.8321786,2.0340934
29,6.377106,1.7895668
30,6.786689,2.3006868
31,6.369436,1.6898159
32,6.5182104,1.5483259
33,6.6426945,2.4189036
34,6.280519,2.715497
35,7.097814,1.4369535
36,6.6274385,1.9802622
37,6.198316,1.6458659
38,7.063401,1.5534953
39,6.737291,1.9267255
40,7.1671143,0.4637213
41,6.5917234,1.671789
42,6.379025,1.3342539
43,6.8259425,1.6268319
44,6.80781,1.7265337
45,6.3043714,1.6902796
46,7.110157,1.2300289
47,6.146242,1.9224561
48,6.005505,2.2086484
49,6.791463,1.7878506
50,6.9625835,2.0075116
51,6.508693,2.8349237
52,6.5991297,2.3767598
53,6.5934453,2.0942845
54,6.7309732,1.9735553
55,6.742175,1.9624903
56,6.636867,1.6236228
57,6.827419,1.8964521
58,6.802627,1.8906866
59,6.753481,1.9776669
60,6.3274283,1.6809689
61,6.6351986,1.566289
62,6.297097,1.7365943
63,5.836723,2.9688342
64,6.3170238,1.8010111
65,6.393992,2.3276322
66,0.50283134,6.0318594
67,7.0453396,0.9445242
68,6.792623,2.3709102
69,6.786558,2.0265088
70,6.480432,1.7611792
71,0.29186454,7.5152755
72,6.3678412,1.565295
73,5.6363187,2.7751746
74,6.1208205,1.8489406
75,7.617438,2.2146933
76,6.3327866,1.7627515
77,6.2962236,1.586408
78,6.7467933,2.110031
79,2.2533917,5.370186
80,6.9301424,0.92866445
81,6.2981324,1.5392623
82,6.296623,1.8876587
83,1.5057255,5.6497993
84,6.776931,0.9934195
85,6.4917197,1.834343
86,5.996137,2.1800995
87,6.233039,1.8047916
88,6.5892653,1.8665733
89,6.339068,3.405583
90,6.841137,2.2173748
91,6.4062977,1.7174474
92,6.237595,1.9165193
93,6.4043436,1.5982871
94,3.0267494,4.023872
95,6.643293,1.6607122
96,6.417648,1.7557681
97,6.141949,1.5172105
98,6.816809,2.2957692
99,6.904064,2.1113575
100,6.4297,2.3395715
101,6.959988,2.185618
102,7.2895856,2.2539105
103,6.808185,1.9695678
104,6.3521824,1.1919851
105,8.019851,0.013245678
106,6.717972,2.5010161
107,7.781906,0.40908304
108,5.637121,2.066228
109,6.4915767,1.7849199
110,6.158222,2.1415417
111,6.8038273,2.0133188
112,6.1578727,1.8922824
113,8.906673,0.22404912
114,6.8434305,2.1581895
115,6.328105,1.7532269
116,6.9878335,1.991504
117,6.9252315,2.1188595
118,6.5651126,1.72251
119,6.6731925,2.0176485
120,6.4031587,1.5780371
121,6.4672723,1.4357183
122,6.3413663,1.7265728
123,6.2402105,2.0928068
124,7.764794,0.14937082
125,6.3263583,1.7934754
126,6.7673388,2.2005835
127,6.466585,1.6104279
128,6.451826,1.8724848
129,6.45705,1.7608275
130,6.4978414,1.7269418
131,8.1049,0.08152295
132,6.626126,2.8153133
133,6.2226763,1.8981693
134,6.197101,2.393964
135,6.6451464,2.8310583
136,6.364088,1.7311113
137,6.452117,1.9327519
138,6.5927935,2.011226
139,6.4252844,2.1709976
140,6.483925,1.6404299
141,6.2116203,1.454777
142,6.2815127,1.7480787
143,6.013976,2.9687881
144,6.2388425,2.1053376
145,5.986423,2.2814107
146,6.4183583,1.9385285
147,6.475439,1.9715433
148,7.8173437,0.0029191575
149,6.9340854,2.7014
