Name,X,Y,A,B,Signal
1,-110.87099,39.80579,0.47881776,0.14688258,A
2,-111.00711,39.47886,0.44357523,0.12689187,A
3,-111.03461,39.41025,0.43915033,0.21903715,A
4,-111.03961,39.44302,0.47500575,0.1766963,A
5,-110.89655,39.88135,0.43224168,0.18856125,A
6,-111.05961,39.43413,0.43145186,0.1354679,A
7,-111.066,39.4233,0.44474325,0.1430858,A
8,-111.05322,39.4658,0.4112331,0.16993424,A
9,-111.06961,39.42858,0.5216771,0.017523166,A
10,-111.11211,39.32108,0.26070154,0.3370016,A
11,-110.9735,39.71691,0.49019453,0.18195833,A
12,-111.056,39.49469,0.47436845,0.090645865,A
13,-111.05628,39.49469,0.479631,0.07504495,A
14,-111.05656,39.49469,0.43365458,0.16345252,A
15,-111.11628,39.32802,0.10398469,0.55661356,B
16,-111.11267,39.34552,0.13116626,0.3952448,B
17,-111.12184,39.32024,0.61587685,0.008547083,A
18,-111.12239,39.31941,0.48341477,0.18575512,A
19,-111.12378,39.32163,0.46952477,0.1798271,A
20,-111.12378,39.32191,0.48982355,0.17846471,A
21,-111.12383,39.32187,0.47118184,0.18682049,A
22,-111.11989,39.33497,0.4748642,0.16689225,A
23,-111.12795,39.31969,0.49979267,0.16802646,A
24,-111.12795,39.31997,0.50210804,0.16495836,A
25,-111.12573,39.32802,0.4832915,0.16204952,A
26,-111.12795,39.3233,0.48878923,0.16366942,A
27,-111.13017,39.31941,0.482344,0.1677409,A
28,-111.12739,39.32858,0.48082808,0.1613506,A
29,-111.101,39.40386,0.44880146,0.14195397,A
30,-111.10489,39.3933,0.47762665,0.1824976,A
31,-111.09017,39.43636,0.44826165,0.13404143,A
32,-111.09684,39.42302,0.45873195,0.12281801,A
33,-111.13184,39.3258,0.46749276,0.19187492,A
34,-110.85849,40.08996,0.44200394,0.21540163,A
35,-111.06295,39.52219,0.4995227,0.11398361,A
36,-111.13461,39.32358,0.4664191,0.15708053,A
37,-111.08517,39.46386,0.43621874,0.13055518,A
38,-111.06545,39.52385,0.49710083,0.12322806,A
39,-111.06628,39.52191,0.47415015,0.15283383,A
40,-111.08906,39.45802,0.50439984,0.03678381,A
41,-111.13795,39.32024,0.46390557,0.13261148,A
42,-111.09239,39.45163,0.4489365,0.10583715,A
43,-111.06684,39.52358,0.4803892,0.12904535,A
44,-111.06711,39.52302,0.47911307,0.136954,A
45,-111.06378,39.53247,0.4436826,0.13407822,A
46,-111.07406,39.50608,0.50039136,0.097569704,A
47,-111.06684,39.52719,0.43255395,0.15249518,A
48,-111.20461,39.13803,0.4226493,0.17519684,A
49,-111.12878,39.35469,0.47796264,0.14181785,A
50,-111.13573,39.33552,0.49000558,0.15924203,A
51,-111.14017,39.32636,0.45806214,0.22487493,A
52,-111.14267,39.31941,0.4644268,0.18853195,A
53,-111.11211,39.4058,0.46402675,0.16612513,A
54,-111.11406,39.40136,0.47370556,0.15654853,A
55,-111.14406,39.31941,0.4744939,0.1556708,A
56,-111.07572,39.51247,0.46708265,0.1287908,A
57,-111.13406,39.3483,0.4804931,0.15043245,A
58,-111.07572,39.5133,0.47874832,0.14997512,A
59,-111.13156,39.35747,0.47528958,0.15687466,A
60,-111.13878,39.33774,0.4453053,0.13333966,A
61,-111.07128,39.52858,0.46696523,0.124242894,A
62,-111.071,39.5308,0.44317067,0.13775204,A
63,-111.11684,39.4033,0.41077092,0.23549712,A
64,-111.07128,39.53163,0.44457304,0.14286178,A
65,-111.14295,39.3308,0.44998983,0.184635,A
66,-111.146,39.32302,0.03538775,0.47846577,B
67,-111.14989,39.31274,0.4958297,0.07492259,A
68,-111.14295,39.33469,0.47804427,0.18806794,A
69,-111.14267,39.33663,0.47761744,0.16074896,A
70,-111.13934,39.34636,0.45607322,0.13970219,A
71,-111.11878,39.40469,0.020540545,0.59613496,B
72,-111.07572,39.52802,0.4481494,0.124164045,A
73,-111.10545,39.44552,0.39666706,0.22013545,A
74,-111.07545,39.53024,0.43076485,0.1466637,A
75,-111.18378,39.23108,0.5360922,0.17567633,A
76,-111.09378,39.48691,0.44568238,0.13982691,A
77,-111.0785,39.52997,0.44310918,0.1258388,A
78,-111.15128,39.32691,0.47481892,0.1673742,A
79,-111.1485,39.33497,0.1585869,0.4259798,B
80,-111.09739,39.48413,0.4877225,0.07366454,A
81,-111.08322,39.5258,0.44324353,0.12209906,A
82,-111.14573,39.35024,0.44313732,0.14973494,A
83,-111.14878,39.34219,0.10596841,0.44815958,B
84,-111.09906,39.48441,0.47693992,0.07880112,A
85,-111.0835,39.52913,0.4568676,0.14550577,A
86,-111.09934,39.48524,0.42199,0.17293225,A
87,-111.11323,39.45163,0.43866244,0.14316165,A
88,-111.07906,39.55024,0.46373257,0.14806238,A
89,-110.84127,40.21218,0.44612443,0.2701414,A
90,-111.16073,39.32302,0.48145854,0.17588905,A
91,-111.15823,39.33052,0.45085585,0.13623326,A
92,-111.10906,39.47608,0.43898308,0.15202425,A
93,-111.09961,39.50441,0.45071834,0.12678109,A
94,-111.15878,39.34274,0.21301347,0.31918597,B
