X,Y,Value
-119.413321947,40.613157895,1
-119.075149445,40.460526316,2
-119.047822374,39.955263158,3
-118.487617421,39.781578947,4
-118.269000854,40.331578947,5.1
-117.910333049,40.644736842,6.1
-117.650725875,40.613157895,7
-117.691716482,40.144736842,8
-118.183603757,38.805263158,9
-119.293766012,38.631578947,10
-117.401366354,40.334210526,11
-116.906063194,40.423684211,12
-116.841161401,40.178947368,13
-116.421007686,40.381578947,14
-117.596071734,39.355263158,15
-117.175918019,38.923684211,16
-116.643040137,39.502631579,17
-116.318531170,38.534210526,18
-115.631938514,40.639473684,19
-115.245943638,40.547368421,20
-115.932536294,39.605263158,21
-115.157130658,39.660526316,22
-114.839453459,39.615789474,23
-115.215200683,38.926315789,24
-117.992314261,39.757894737,25
