Name,S1,S2,S3,S4
Temperature [C],0.17301722,0.11432765,0.101851925,0.09476491
GTM Quartz [C],0.11658963,0.039604228,0.08255009,0.07116189
GTM Chalcedony [C],0.10743395,0.034358557,0.07752934,0.06618144
Heat flow [W/m²],0.001052371,5.7164463e-5,0.39175332,0.109692074
Two m temperature [C],0.21727555,0.044704787,0.05646761,0.06495471
Depth to the basement [m],0.00021250453,0.3107806,0.16098994,0.022168718
Gravity anomaly [mGal],0.26391917,0.044704787,0.0068494445,2.1863659e-13
Magnetic anomaly [nT],0.11856177,0.049212497,0.06190452,0.03903156
Strain rate [nS⁻¹],0.0017683664,0.23384735,0.04646641,0.23204854
Dilation rate [nS⁻¹],0.00016948182,0.12840238,0.013637414,0.06567067
Shear rate [nS⁻¹],8.3804546e-17,7.6434546e-17,9.3433776e-17,0.23432547
