Name,A,B,C,D,Signal
Temperature [C],0.65556896,0.3678725,0.25998995,0.40441576,A
GTM Quartz [C],0.44176263,0.12743469,0.21071959,0.30368823,A
GTM Chalcedony [C],0.4070714,0.11055566,0.19790347,0.28243384,A
Heat flow [W/m²],0.0039874744,0.00018393832,1.0,0.46811846,C
Two m temperature [C],0.8232655,0.14384677,0.14414074,0.2771987,A
Depth to the basement [m],0.0008051879,1.0,0.41094723,0.094606526,B
Gravity anomaly [mGal],1.0,0.14384677,0.017484074,0.0,A
Magnetic anomaly [nT],0.44923514,0.15835124,0.15801914,0.16656986,A
Strain rate [nS⁻¹],0.006700409,0.75245154,0.1186114,0.9902831,B
Dilation rate [nS⁻¹],0.0006421732,0.41316086,0.03481123,0.2802541,B
Shear rate [nS⁻¹],0.0,0.0,0.0,1.0,D
