Name,A,B,C,D,E,F,Signal
Temperature [C],0.24595675,0.5046248,0.31926978,0.025143184,0.09819201,0.9864373,F
GTM Quartz [C],0.019148624,0.26234463,0.09403355,2.5186426e-5,0.05037936,1.0,F
GTM Chalcedony [C],0.0067155864,0.23561792,0.0795767,0.0,0.04334815,0.94987345,F
Heat flow [W/m²],0.0,1.0052953e-5,0.0074803936,1.0,0.034937453,0.1394852,D
Two m temperature [C],0.54719347,0.6733102,0.0,0.03716559,0.22873488,0.20332837,A
Depth to the basement [m],2.7763147e-7,1.0,0.75085145,0.011215651,0.0,0.0,B
Gravity anomaly [mGal],1.0,0.53158194,0.0,0.028648302,0.0,2.0658722e-6,A
Magnetic anomaly [nT],0.33194733,0.30609792,0.09700796,0.09236285,0.04638029,0.27852738,A
Strain rate [nS⁻¹],0.33666575,0.0,1.0,0.10060054,0.70172644,0.12472964,C
Dilation rate [nS⁻¹],0.1152624,0.0009469557,0.62012714,0.045713466,0.062352058,0.0950016,C
Shear rate [nS⁻¹],0.0,0.0,0.0,0.0,1.0,0.0,E
