Name,X,Y,A,B,Signal
1,-110.87099,39.80579,0.21606977,0.11122134,A
2,-111.00711,39.47886,0.18041079,0.06816318,A
3,-111.03461,39.41025,0.28619808,0.006900881,A
4,-111.03961,39.44302,0.2545196,0.02101472,A
5,-110.89655,39.88135,0.20068738,0.19385329,A
6,-111.05961,39.43413,0.18937443,0.06981898,A
7,-111.066,39.4233,0.20402332,0.05191352,A
8,-111.05322,39.4658,0.16761862,0.10553161,A
9,-111.06961,39.42858,0.23717016,0.017105177,A
10,-111.11211,39.32108,0.2612064,0.0056309407,A
11,-110.9735,39.71691,0.28079447,0.016979838,A
12,-111.056,39.49469,0.2023502,0.08343543,A
13,-111.05628,39.49469,0.2138214,0.06517178,A
14,-111.05656,39.49469,0.18189539,0.10961453,A
15,-111.11628,39.32802,0.28954375,0.0032761781,A
16,-111.11267,39.34552,0.24245185,0.016703706,A
17,-111.12184,39.32024,0.2616996,0.0049341684,A
18,-111.12239,39.31941,0.27042356,0.0026955812,A
19,-111.12378,39.32163,0.24393712,0.022528023,A
20,-111.12378,39.32191,0.25588444,0.01572983,A
21,-111.12383,39.32187,0.28483826,0.011109861,A
22,-111.11989,39.33497,0.2589916,0.016942572,A
23,-111.12795,39.31969,0.28080353,0.00019466283,A
24,-111.12795,39.31997,0.28048873,0.00013655775,A
25,-111.12573,39.32802,0.2617278,0.005611934,A
26,-111.12795,39.3233,0.26733407,0.0022343788,A
27,-111.13017,39.31941,0.25568262,0.015072651,A
28,-111.12739,39.32858,0.26362142,0.009443445,A
29,-111.101,39.40386,0.20563261,0.0745411,A
30,-111.10489,39.3933,0.2699217,0.009956587,A
31,-111.09017,39.43636,0.1821683,0.08281139,A
32,-111.09684,39.42302,0.2033666,0.077420294,A
33,-111.13184,39.3258,0.25674143,0.028470213,A
34,-110.85849,40.08996,0.25611553,0.11031754,A
35,-111.06295,39.52219,0.24681975,0.0026435654,A
36,-111.13461,39.32358,0.23180035,0.021392358,A
37,-111.08517,39.46386,0.17409652,0.09860214,A
38,-111.06545,39.52385,0.24682923,0.0075589293,A
39,-111.06628,39.52191,0.25185442,0.018181968,A
40,-111.08906,39.45802,0.23854981,0.016618805,A
41,-111.13795,39.32024,0.19546591,0.043802466,A
42,-111.09239,39.45163,0.18124875,0.094342574,A
43,-111.06684,39.52358,0.24149066,0.023570172,A
44,-111.06711,39.52302,0.24721518,0.014952844,A
45,-111.06378,39.53247,0.18981336,0.11334857,A
46,-111.07406,39.50608,0.24615993,0.0023194537,A
47,-111.06684,39.52719,0.18302333,0.13381961,A
48,-111.20461,39.13803,0.15292302,0.23213544,B
49,-111.12878,39.35469,0.23934938,0.026647348,A
50,-111.13573,39.33552,0.26739293,0.0071536545,A
51,-111.14017,39.32636,0.29112774,0.018533707,A
52,-111.14267,39.31941,0.24872935,0.03834111,A
53,-111.11211,39.4058,0.23735471,0.03676951,A
54,-111.11406,39.40136,0.25113192,0.017413868,A
55,-111.14406,39.31941,0.25340647,0.026152303,A
56,-111.07572,39.51247,0.18998554,0.09942787,A
57,-111.13406,39.3483,0.24948205,0.016424699,A
58,-111.07572,39.5133,0.23755154,0.03394581,A
59,-111.13156,39.35747,0.2407483,0.025855416,A
60,-111.13878,39.33774,0.2040973,0.06620634,A
61,-111.07128,39.52858,0.22520472,0.037553303,A
62,-111.071,39.5308,0.18941171,0.11128677,A
63,-111.11684,39.4033,0.28415775,0.008555915,A
64,-111.07128,39.53163,0.19877656,0.11860288,A
65,-111.14295,39.3308,0.23264112,0.025362508,A
66,-111.146,39.32302,0.24094792,0.015869027,A
67,-111.14989,39.31274,0.25020164,0.0116174035,A
68,-111.14295,39.33469,0.2608553,0.020554619,A
69,-111.14267,39.33663,0.26044336,0.012668005,A
70,-111.13934,39.34636,0.2292815,0.03267624,A
71,-111.11878,39.40469,0.28334686,0.0086431885,A
72,-111.07572,39.52802,0.17860815,0.09881212,A
73,-111.10545,39.44552,0.2725831,0.010448255,A
74,-111.07545,39.53024,0.13204047,0.20431748,B
75,-111.18378,39.23108,0.3403535,0.0025260497,A
76,-111.09378,39.48691,0.19263655,0.073909625,A
77,-111.0785,39.52997,0.16665725,0.12500158,A
78,-111.15128,39.32691,0.25568855,0.025713187,A
79,-111.1485,39.33497,0.26616505,0.011664895,A
80,-111.09739,39.48413,0.24739864,0.014839217,A
81,-111.08322,39.5258,0.18241729,0.09966025,A
