Name,X,Y,A,B,C,Signal
1,-110.87099,39.80579,0.21394758,0.19389565,0.10276055,A
2,-111.00711,39.47886,0.14771537,0.17838165,0.06312706,B
3,-111.03461,39.41025,0.19567947,0.2822068,0.0063966596,B
4,-111.03961,39.44302,0.18993822,0.24308136,0.01945535,B
5,-110.89655,39.88135,0.17911217,0.22260816,0.18010502,B
6,-111.05961,39.43413,0.15064721,0.19016062,0.06466343,B
7,-111.066,39.4233,0.1632812,0.19699854,0.04803114,B
8,-111.05322,39.4658,0.12171781,0.19043903,0.09826001,B
9,-111.06961,39.42858,0.18562672,0.21900994,0.015815295,B
10,-111.11211,39.32108,0.17221196,0.26234907,0.0052229743,B
11,-110.9735,39.71691,0.27506527,0.2150986,0.015593835,A
12,-111.056,39.49469,0.14140265,0.22095543,0.07763088,B
13,-111.05628,39.49469,0.15359358,0.22330506,0.060545925,B
14,-111.05656,39.49469,0.1209268,0.21377017,0.10225307,B
15,-111.11628,39.32802,0.17810008,0.29991314,0.003042272,B
16,-111.11267,39.34552,0.1870346,0.22577608,0.015448979,B
17,-111.12184,39.32024,0.17274584,0.26246527,0.0045765257,B
18,-111.12239,39.31941,0.17520027,0.27306503,0.0025019138,B
19,-111.12378,39.32163,0.1613572,0.2498527,0.02090885,B
20,-111.12378,39.32191,0.16764829,0.26094192,0.01459853,B
21,-111.12383,39.32187,0.1675207,0.30342272,0.010361736,B
22,-111.11989,39.33497,0.19006735,0.24848674,0.015705623,B
23,-111.12795,39.31969,0.16765867,0.29391396,0.00018166292,B
24,-111.12795,39.31997,0.16668095,0.2941849,0.00012750593,B
25,-111.12573,39.32802,0.18719067,0.25140867,0.005211496,B
26,-111.12795,39.3233,0.18930344,0.25721312,0.0020744926,B
27,-111.13017,39.31941,0.18392885,0.24770081,0.0139844585,B
28,-111.12739,39.32858,0.1929708,0.25092587,0.0087603405,B
29,-111.101,39.40386,0.14733373,0.21862973,0.06929216,B
30,-111.10489,39.3933,0.1987036,0.25614718,0.00921669,B
31,-111.09017,39.43636,0.13906576,0.19214308,0.07691238,B
32,-111.09684,39.42302,0.14345436,0.21906221,0.07203697,B
33,-111.13184,39.3258,0.18434946,0.25307068,0.026403194,B
34,-110.85849,40.08996,0.24597356,0.22935924,0.10166154,A
35,-111.06295,39.52219,0.18580197,0.22902526,0.002455708,B
36,-111.13461,39.32358,0.18272547,0.2144643,0.019787116,B
37,-111.08517,39.46386,0.12845878,0.19294405,0.09170427,B
38,-111.06545,39.52385,0.18468459,0.23140973,0.007021955,B
39,-111.06628,39.52191,0.1884802,0.23931418,0.016840577,B
40,-111.08906,39.45802,0.18622255,0.22048213,0.015366185,B
41,-111.13795,39.32024,0.15834403,0.1854266,0.040515658,B
42,-111.09239,39.45163,0.13706355,0.1959006,0.08751945,B
43,-111.06684,39.52358,0.18514967,0.2278759,0.021841764,B
44,-111.06711,39.52302,0.18535776,0.23373137,0.0138707645,B
45,-111.06378,39.53247,0.11928379,0.22802491,0.105939105,B
46,-111.07406,39.50608,0.18731607,0.22674401,0.0021535058,B
47,-111.06684,39.52719,0.10640301,0.23381905,0.12529363,B
48,-111.20461,39.13803,0.094764024,0.22675933,0.21737729,B
49,-111.12878,39.35469,0.17909297,0.23029752,0.024718307,B
50,-111.13573,39.33552,0.19420463,0.25496858,0.0066385553,B
51,-111.14017,39.32636,0.20691963,0.28447607,0.017114962,B
52,-111.14267,39.31941,0.17724037,0.2495105,0.035571683,B
53,-111.11211,39.4058,0.17662647,0.23231633,0.03408194,B
54,-111.11406,39.40136,0.18854493,0.23793113,0.016134229,B
55,-111.14406,39.31941,0.18416943,0.24745314,0.024257176,B
56,-111.07572,39.51247,0.13102446,0.21513185,0.0926231,B
57,-111.13406,39.3483,0.18687874,0.23642719,0.01522853,B
58,-111.07572,39.5133,0.17777242,0.23084815,0.031473357,B
59,-111.13156,39.35747,0.18272978,0.22935376,0.023946568,B
60,-111.13878,39.33774,0.1514158,0.21063788,0.0614602,B
61,-111.07128,39.52858,0.16720417,0.22146839,0.034907117,B
62,-111.071,39.5308,0.1203933,0.22594349,0.10399215,B
63,-111.11684,39.4033,0.20043164,0.27590954,0.0079261735,B
64,-111.07128,39.53163,0.11652677,0.2451849,0.11105332,B
65,-111.14295,39.3308,0.18034707,0.21880586,0.023475522,B
66,-111.146,39.32302,0.18719961,0.22311626,0.014674054,B
67,-111.14989,39.31274,0.18592511,0.23680717,0.010751735,B
68,-111.14295,39.33469,0.18918969,0.2530965,0.01905703,B
69,-111.14267,39.33663,0.19148389,0.24826533,0.011748508,B
70,-111.13934,39.34636,0.17561302,0.21966101,0.03025462,B
71,-111.11878,39.40469,0.20022619,0.27486983,0.008006746,B
72,-111.07572,39.52802,0.123828396,0.20324507,0.09220601,B
73,-111.10545,39.44552,0.19705203,0.26161638,0.009674866,B
74,-111.07545,39.53024,0.058993973,0.21406615,0.19240047,B
75,-111.18378,39.23108,0.32057294,0.26513413,0.002324372,A
76,-111.09378,39.48691,0.1459258,0.19993497,0.06860964,B
77,-111.0785,39.52997,0.104272395,0.20802572,0.117108375,B
