Name,X,Y,A,B,C,D,Signal
1,-110.87099,39.80579,0.2404833,0.2533399,0.2372266,0.111828536,B
2,-111.00711,39.47886,0.21181346,0.20623723,0.14423653,0.07399295,B
3,-111.03461,39.41025,0.328486,0.30230206,0.16658266,0.007971603,A
4,-111.03961,39.44302,0.29162836,0.26770046,0.16678558,0.02384738,A
5,-110.89655,39.88135,0.2507635,0.27383903,0.20994705,0.20134655,B
6,-111.05961,39.43413,0.22412644,0.21656379,0.14460428,0.07649093,B
7,-111.066,39.4233,0.23687369,0.22411644,0.152524,0.057229597,B
8,-111.05322,39.4658,0.20680769,0.21471041,0.12622207,0.1146188,B
9,-111.06961,39.42858,0.26640722,0.24763732,0.16691759,0.019067531,A
10,-111.11211,39.32108,0.30158004,0.27763164,0.14505057,0.0065494133,B
11,-110.9735,39.71691,0.29213333,0.2754758,0.2705479,0.017406989,A
12,-111.056,39.49469,0.24352556,0.24343628,0.13642207,0.092319086,B
13,-111.05628,39.49469,0.25198638,0.24724413,0.14467269,0.07227155,B
14,-111.05656,39.49469,0.22535916,0.2355184,0.12381173,0.12024931,B
15,-111.11628,39.32802,0.33769658,0.31039616,0.14679855,0.0038611307,B
16,-111.11267,39.34552,0.27306452,0.25374913,0.16729973,0.018689277,A
17,-111.12184,39.32024,0.3020396,0.2777798,0.14540198,0.0057409625,B
18,-111.12239,39.31941,0.31273776,0.28706998,0.14647949,0.0031507644,B
19,-111.12378,39.32163,0.2858877,0.26391912,0.1374043,0.026101684,B
20,-111.12378,39.32191,0.29950756,0.27406183,0.14091757,0.018346898,B
21,-111.12383,39.32187,0.33232158,0.31285933,0.14062832,0.013023635,B
22,-111.11989,39.33497,0.29504916,0.2732079,0.16727248,0.019212198,A
23,-111.12795,39.31969,0.31973857,0.308685,0.1434647,0.0002251876,B
24,-111.12795,39.31997,0.31879225,0.30923963,0.14306138,0.00015773087,B
25,-111.12573,39.32802,0.29537722,0.27515236,0.16393298,0.0063809757,A
26,-111.12795,39.3233,0.30072927,0.28126383,0.16540636,0.002541045,A
27,-111.13017,39.31941,0.29190752,0.27038124,0.16099341,0.017163385,A
28,-111.12739,39.32858,0.29793373,0.27625316,0.16966113,0.010707372,A
29,-111.101,39.40386,0.24500401,0.24198048,0.14055216,0.08251459,B
30,-111.10489,39.3933,0.30772722,0.28052056,0.17203322,0.01137679,A
31,-111.09017,39.43636,0.2185394,0.21743181,0.13712892,0.09047367,B
32,-111.09684,39.42302,0.24234198,0.24255896,0.13841721,0.08546405,B
33,-111.13184,39.3258,0.29620507,0.2760512,0.16261075,0.032323837,B
34,-110.85849,40.08996,0.2957861,0.28345296,0.24983789,0.11619053,B
35,-111.06295,39.52219,0.26827797,0.26096556,0.17050043,0.0028995522,A
36,-111.13461,39.32358,0.2614933,0.24269687,0.16496433,0.023830805,A
37,-111.08517,39.46386,0.21323636,0.21715131,0.13006653,0.10752277,B
38,-111.06545,39.52385,0.27056476,0.2623707,0.16920134,0.008323211,A
39,-111.06628,39.52191,0.2833279,0.26755488,0.16933988,0.02031774,A
40,-111.08906,39.45802,0.26803523,0.24899584,0.16719106,0.018543009,A
41,-111.13795,39.32024,0.224355,0.21260782,0.14832467,0.04808502,B
42,-111.09239,39.45163,0.22207351,0.21974757,0.13452543,0.10353341,B
43,-111.06684,39.52358,0.27341682,0.2555183,0.16703719,0.026341807,A
44,-111.06711,39.52302,0.27516517,0.2631259,0.16847004,0.016589908,A
45,-111.06378,39.53247,0.23368359,0.2505516,0.12423767,0.12404153,B
46,-111.07406,39.50608,0.2692117,0.2575652,0.17044552,0.0025606228,A
47,-111.06684,39.52719,0.23154023,0.25422546,0.11510683,0.1466188,B
