Name,A,B,C,Signal
GTM Quartz [C],0.46813408,0.43735206,0.17309418,B
GTM Chalcedony [C],0.42665964,0.4072706,0.1669215,B
Al [ppm],0.0,0.0007179667,0.06248864,C
B [ppm],0.0,0.015212281,0.19346116,C
Ba [ppm],0.007742015,0.0004126485,0.028768921,C
Be [ppm],0.0005509395,0.00033088718,0.029602928,C
Br [ppm],0.0,0.0,0.27244478,C
Ca [ppm],0.4236257,0.05002035,0.46822894,C
Cl [ppm],0.09241247,0.027362458,1.0,C
HCO3 [ppm],0.4951852,0.24368246,0.14742827,A
K [ppm],0.023338022,0.024228126,0.5423833,C
Li [ppm],0.0,0.0,0.150166,C
Mg [ppm],0.18443254,0.0,0.4035571,C
Na [ppm],0.10912901,0.13403909,0.91255903,C
Heat flow [W/m²],0.45170552,0.7322789,0.15860449,B
Two m temperature [C],1.0,0.2961884,0.0,A
Depth to the basement [m],0.83759093,0.40213436,0.13781253,A
Gravity anomaly [mGal],0.8233258,0.18138142,0.12718554,A
Magnetic anomaly [nT],0.49790666,0.29582158,0.086586535,A
Strain rate [nS⁻¹],0.5865637,1.0,0.06859174,B
Dilation rate [nS⁻¹],0.28509694,0.3442315,0.03753905,B
Shear rate [nS⁻¹],0.0,0.8741707,0.0,B
