Name,A,B,C,D,E,Signal
GTM Quartz [C],0.17773731,0.0,0.7316214,0.28037173,0.26445895,C
GTM Chalcedony [C],0.15875942,0.0,0.6786702,0.2594845,0.25060734,C
Al [ppm],0.0,0.0,0.0,0.00041946958,0.07129361,E
B [ppm],0.0,0.0,0.0,0.0031273863,0.24483924,E
Ba [ppm],0.0012956113,0.013767858,0.005125826,0.0,0.027244797,E
Be [ppm],0.00013296334,0.0012506159,0.00014274861,0.0004520854,0.032296073,E
Br [ppm],0.0,0.0,0.0,0.000109230445,0.31142327,E
Ca [ppm],0.04734545,1.0,0.14061376,0.0731347,0.0,B
Cl [ppm],0.0,0.20683487,0.129689,0.0,0.94930273,E
HCO3 [ppm],0.21210898,0.29453593,0.46744555,0.13601814,0.08198836,A
K [ppm],0.0,0.03278289,0.052568056,0.014970801,0.5752588,E
Li [ppm],0.0,7.397517e-5,0.0,3.3612178e-5,0.16461727,E
Mg [ppm],0.0,0.6673439,0.0,0.0,0.009509603,B
Na [ppm],0.039686486,3.1439702e-6,0.25939918,0.03380551,1.0,E
Heat flow [W/m²],0.0,0.2521318,1.0,0.62724173,0.0,C
Two m temperature [C],1.0,0.73323095,0.0,0.0,0.0053655165,A
Depth to the basement [m],0.528272,0.0,0.707715,0.20827396,0.33976278,C
Gravity anomaly [mGal],0.3544357,0.5724178,0.6842377,0.0014876748,0.0,A
Magnetic anomaly [nT],0.21721114,0.18459353,0.5372982,0.18149988,0.073909946,C
Strain rate [nS⁻¹],0.41576105,0.0501536,0.4646215,1.0,0.0,D
Dilation rate [nS⁻¹],0.2173489,0.023534443,0.21952738,0.31161574,3.4078323e-6,D
Shear rate [nS⁻¹],0.0,0.0,0.0,0.96482354,0.0,D
