Name,X,Y,A,B,Signal
1,-110.87099,39.80579,0.13356231,0.028490886,A
2,-111.00711,39.47886,0.11201653,0.016869491,A
3,-111.03461,39.41025,0.0030126988,0.06659791,B
4,-111.03961,39.44302,0.16172005,0.00028034498,A
5,-110.89655,39.88135,0.11122057,0.07024291,A
6,-111.05961,39.43413,0.11754332,0.017380252,A
7,-111.066,39.4233,0.1302415,0.008482135,A
8,-111.05322,39.4658,0.09632901,0.03047319,A
9,-111.06961,39.42858,0.0016783936,0.070235565,B
10,-111.11211,39.32108,0.00543417,0.056109775,B
11,-110.9735,39.71691,0.19855937,0.0002686731,A
12,-111.056,39.49469,0.120364465,0.015466518,A
13,-111.05628,39.49469,0.13350652,0.009189029,A
14,-111.05656,39.49469,0.10500027,0.026766667,A
15,-111.11628,39.32802,0.0009186747,0.058806513,B
16,-111.11267,39.34552,0.0023266862,0.069848366,B
17,-111.12184,39.32024,0.012246422,0.05204225,B
18,-111.12239,39.31941,0.17623572,5.252428e-7,A
19,-111.12378,39.32163,0.15053296,0.00019012422,A
20,-111.12378,39.32191,0.15759008,3.3905922e-5,A
21,-111.12383,39.32187,0.17793348,5.160707e-6,A
22,-111.11989,39.33497,0.16338249,6.942302e-5,A
23,-111.12795,39.31969,0.19131139,0.0,A
24,-111.12795,39.31997,0.19171107,0.0,A
25,-111.12573,39.32802,0.1650916,8.7348275e-7,A
26,-111.12795,39.3233,0.17522797,2.207247e-7,A
27,-111.13017,39.31941,0.1585404,2.542521e-5,A
28,-111.12739,39.32858,0.16580814,4.0902946e-6,A
29,-111.101,39.40386,0.123966105,0.011890693,A
30,-111.10489,39.3933,0.174103,1.591248e-5,A
31,-111.09017,39.43636,0.1080273,0.017375795,A
32,-111.09684,39.42302,0.123395674,0.011799782,A
33,-111.13184,39.3258,0.16078922,0.0003865074,A
34,-110.85849,40.08996,0.16968976,0.042037368,A
35,-111.06295,39.52219,0.17079529,3.5848947e-7,A
36,-111.13461,39.32358,0.15193963,0.00041479035,A
37,-111.08517,39.46386,0.10087377,0.026806938,A
38,-111.06545,39.52385,0.16817036,1.8746516e-5,A
39,-111.06628,39.52191,0.17316018,0.000580842,A
40,-111.08906,39.45802,0.027580485,0.05477059,B
41,-111.13795,39.32024,0.12728696,0.006613738,A
42,-111.09239,39.45163,0.108541295,0.030512089,A
43,-111.06684,39.52358,0.15122367,0.0001797739,A
44,-111.06711,39.52302,0.1674359,0.0001888071,A
45,-111.06378,39.53247,0.112527266,0.035703626,A
46,-111.07406,39.50608,0.16206619,0.0,A
47,-111.06684,39.52719,0.10590973,0.044736836,A
48,-111.20461,39.13803,0.07244724,0.08329381,B
49,-111.12878,39.35469,0.14835799,0.000256702,A
50,-111.13573,39.33552,0.16881469,2.9801602e-6,A
51,-111.14017,39.32636,0.19125602,0.00023166426,A
52,-111.14267,39.31941,0.15583697,0.0010579461,A
53,-111.11211,39.4058,0.14741653,0.0010223348,A
54,-111.11406,39.40136,0.15797389,7.549219e-5,A
55,-111.14406,39.31941,0.15683521,0.00022988374,A
56,-111.07572,39.51247,0.11194633,0.02269051,A
57,-111.13406,39.3483,0.15620764,5.708009e-5,A
58,-111.07572,39.5133,0.15109412,0.0008816402,A
59,-111.13156,39.35747,0.15223898,0.00035116932,A
60,-111.13878,39.33774,0.1293385,0.01062375,A
61,-111.07128,39.52858,0.14671455,0.0028292253,A
62,-111.071,39.5308,0.1125858,0.034038268,A
63,-111.11684,39.4033,0.010449424,0.06499778,B
64,-111.07128,39.53163,0.116930135,0.030473445,A
65,-111.14295,39.3308,0.15205847,0.0005455424,A
66,-111.146,39.32302,0.01580306,0.061801363,B
67,-111.14989,39.31274,0.0018781117,0.06727555,B
68,-111.14295,39.33469,0.16389108,0.00013296232,A
69,-111.14267,39.33663,0.16281277,1.9741143e-5,A
70,-111.13934,39.34636,0.15170293,0.0014443604,A
71,-111.11878,39.40469,0.009383603,0.065634176,B
72,-111.07572,39.52802,0.10803807,0.033591915,A
73,-111.10545,39.44552,0.026144281,0.0556279,B
74,-111.07545,39.53024,0.059276313,0.06469587,B
75,-111.18378,39.23108,0.24939832,3.4372176e-6,A
76,-111.09378,39.48691,0.117062315,0.015347788,A
77,-111.0785,39.52997,0.09611901,0.042476367,A
78,-111.15128,39.32691,0.15859696,0.00021489228,A
79,-111.1485,39.33497,0.008452751,0.06619,B
80,-111.09739,39.48413,0.0018617818,0.070126034,B
81,-111.08322,39.5258,0.110061236,0.033242714,A
82,-111.14573,39.35024,0.13017787,0.008669449,A
83,-111.14878,39.34219,0.005801134,0.067773394,B
84,-111.09906,39.48441,0.0026732662,0.06964137,B
85,-111.0835,39.52913,0.12375803,0.032223746,A
86,-111.09934,39.48524,0.10626516,0.024909241,A
87,-111.11323,39.45163,0.12166187,0.013719659,A
88,-111.07906,39.55024,0.13686559,0.02847843,A
89,-110.84127,40.21218,0.20290269,0.03671428,A
90,-111.16073,39.32302,0.17281537,6.203371e-6,A
91,-111.15823,39.33052,0.124576226,0.0077664945,A
92,-111.10906,39.47608,0.11242167,0.020764131,A
93,-111.09961,39.50441,0.1173552,0.014219706,A
94,-111.15878,39.34274,0.011057273,0.064634845,B
95,-111.14795,39.37608,0.14569199,0.0010030827,A
96,-111.11406,39.47163,0.13029885,0.0067704683,A
97,-111.09684,39.52108,0.083074674,0.037181836,A
98,-111.16739,39.32441,0.16952637,1.5316358e-5,A
99,-111.13239,39.42358,0.17366007,1.2503621e-7,A
100,-111.16934,39.32135,0.15087195,0.0039200666,A
101,-111.20156,39.23163,0.17392863,0.0012205775,A
102,-111.20267,39.23052,0.22942735,0.0003275582,A
103,-111.15545,39.36441,0.1618344,0.00018035802,A
104,-111.101,39.5183,0.09400905,0.024443952,A
105,-111.101,39.51913,0.07828852,0.02612666,A
106,-111.17017,39.32469,0.16653636,4.7943933e-5,A
107,-111.10934,39.50108,0.0036269745,0.070085034,B
108,-111.161,39.35608,0.0060269865,0.06763852,B
109,-111.0935,39.54774,0.14225632,0.029174896,A
110,-111.02378,39.74524,0.09659985,0.07140557,A
111,-111.09545,39.54802,0.18172915,0.0049308105,A
112,-111.101,39.53441,0.09048433,0.03805411,A
113,-111.15573,39.3808,0.0025229168,0.06973117,B
114,-111.12489,39.46858,0.0045997053,0.06849086,B
115,-111.15628,39.38135,0.12327182,0.0074660275,A
116,-111.17156,39.33858,0.03321967,0.05140456,B
117,-111.17184,39.33885,0.045892436,0.043841004,B
118,-111.10017,39.54358,0.1319583,0.035964314,A
119,-111.15156,39.40024,0.1571389,0.00016520433,A
120,-111.10461,39.53302,0.109572716,0.02611214,A
121,-111.16295,39.36941,0.12475874,0.00790168,A
122,-111.12073,39.49219,0.11607783,0.015856061,A
123,-111.11823,39.5008,0.1265636,0.007080336,A
124,-111.116,39.50969,0.03689631,0.050223265,B
125,-111.11545,39.51135,0.1142701,0.017189723,A
126,-111.17878,39.3333,0.1645244,2.838616e-5,A
127,-111.1085,39.53247,0.12279983,0.016004262,A
128,-111.17795,39.33691,0.0053700097,0.06803085,B
129,-111.12739,39.48024,0.11643277,0.017997993,A
130,-111.11573,39.51385,0.118983,0.032491796,A
131,-111.1235,39.49358,0.005422888,0.06901252,B
132,-111.19184,39.30135,0.12901244,0.017151263,A
133,-111.03656,39.73802,0.09875162,0.05919474,A
134,-111.211,39.24774,0.14339563,0.0021610728,A
135,-111.19184,39.30219,0.13294718,0.012340194,A
136,-111.10684,39.54302,0.11906758,0.044687822,A
137,-111.111,39.53191,0.14320748,0.016173895,A
138,-111.14962,39.42385,0.14648165,0.0013742715,A
139,-111.21489,39.24024,0.1278327,0.046205107,A
140,-111.10823,39.5433,0.11505511,0.043820266,A
141,-111.17295,39.36108,0.116734415,0.014651125,A
142,-111.11823,39.51663,0.11710224,0.016638162,A
143,-111.19212,39.30941,0.10620958,0.04030796,A
144,-111.04267,39.73107,0.10166208,0.060487535,A
145,-111.04378,39.7283,0.09352865,0.08003822,A
146,-111.16017,39.40302,0.14079596,0.0038622436,A
147,-111.17934,39.35024,0.14133145,0.0010646457,A
148,-111.12239,39.51135,0.00761173,0.068308495,B
149,-111.19239,39.31747,0.2037309,0.0,A
150,-111.19267,39.31747,0.16474418,8.1681785e-5,A
151,-111.03878,39.75052,0.103531435,0.05276628,A
152,-110.90183,40.13246,0.021689424,0.10372016,B
153,-111.1485,39.44441,0.13042215,0.0039701546,A
154,-111.1135,39.54469,0.12096849,0.04348292,A
155,-111.10767,39.56108,0.15857388,0.017758762,A
156,-111.12184,39.52247,0.09096472,0.028661767,A
157,-111.12295,39.51969,0.013398678,0.064853154,B
158,-111.18017,39.35969,0.0017714568,0.070179984,B
159,-111.21045,39.27524,0.14245532,0.0053876606,A
160,-111.18156,39.35858,0.006628705,0.0672792,B
161,-111.2635,39.12691,0.20472182,8.651609e-7,A
162,-111.18128,39.36135,0.09242171,0.035549402,A
163,-111.15934,39.42385,0.12516859,0.007779945,A
164,-111.116,39.54635,0.13057318,0.042757742,A
165,-111.12017,39.5358,0.13613576,0.033603646,A
