Name,X,Y,A,B,C,Signal
1,-110.87099,39.80579,0.41212285,0.0,0.0060816994,A
2,-111.00711,39.47886,0.36017105,0.0,0.00013351747,A
3,-111.03461,39.41025,0.00020479308,0.07019933,0.011897147,B
4,-111.03961,39.44302,0.45602062,0.0,0.0034366203,A
5,-110.89655,39.88135,0.4263604,9.960009e-5,0.0,A
6,-111.05961,39.43413,0.37758264,0.0,9.281177e-5,A
7,-111.066,39.4233,0.39487675,0.0,0.0002392611,A
8,-111.05322,39.4658,0.34463137,0.0,0.0010545132,A
9,-111.06961,39.42858,6.880208e-5,0.06190832,0.041320436,C
10,-111.11211,39.32108,0.00012994393,0.05262441,0.031690635,B
11,-110.9735,39.71691,0.4684061,0.0,0.017082565,A
12,-111.056,39.49469,0.39193723,0.0,0.00010909372,A
13,-111.05628,39.49469,0.41325516,0.0,0.0,A
14,-111.05656,39.49469,0.36028826,0.0,0.00073143304,A
15,-111.11628,39.32802,0.00015331642,0.060944553,0.0102776885,B
16,-111.11267,39.34552,7.005505e-5,0.07749155,0.0012494791,B
17,-111.12184,39.32024,5.904082e-5,0.04427625,0.053205445,C
18,-111.12239,39.31941,0.4359586,0.0,0.012196135,A
19,-111.12378,39.32163,0.41747406,0.0,0.004675513,A
20,-111.12378,39.32191,0.407284,0.0,0.008451588,A
21,-111.12383,39.32187,0.45028195,0.0,0.006731967,A
22,-111.11989,39.33497,0.42918158,0.0,0.0068502394,A
23,-111.12795,39.31969,0.4452217,0.0,0.016515482,A
24,-111.12795,39.31997,0.4478762,0.0,0.016293751,A
25,-111.12573,39.32802,0.42720136,0.0,0.007862265,A
26,-111.12795,39.3233,0.43986022,0.0,0.010361504,A
27,-111.13017,39.31941,0.4100146,0.0,0.00759257,A
28,-111.12739,39.32858,0.42790964,0.0,0.008067638,A
29,-111.101,39.40386,0.39013964,0.0,0.0001826643,A
30,-111.10489,39.3933,0.4320072,0.0,0.011047058,A
31,-111.09017,39.43636,0.34891865,0.0,0.00023922393,A
32,-111.09684,39.42302,0.37819457,0.0,0.0,A
33,-111.13184,39.3258,0.4414762,0.0,0.0056650266,A
34,-110.85849,40.08996,0.5501445,0.0,0.0036156792,A
35,-111.06295,39.52219,0.42590526,0.0,0.008024761,A
36,-111.13461,39.32358,0.41689906,0.0,0.0047577843,A
37,-111.08517,39.46386,0.3537824,0.0,8.7622844e-5,A
38,-111.06545,39.52385,0.41828513,0.0,0.008096443,A
39,-111.06628,39.52191,0.4579185,0.0,0.003738962,A
40,-111.08906,39.45802,4.294082e-5,0.070668384,0.018815622,B
41,-111.13795,39.32024,0.3862299,0.0,0.0005653294,A
42,-111.09239,39.45163,0.38757017,0.0,0.00017748852,A
43,-111.06684,39.52358,0.41250727,0.0,0.0033685828,A
44,-111.06711,39.52302,0.43688127,0.0,0.004527132,A
45,-111.06378,39.53247,0.3841275,0.0,4.089726e-5,A
46,-111.07406,39.50608,0.4531043,0.0,0.0018286774,A
47,-111.06684,39.52719,0.3823364,0.0,0.00023497747,A
48,-111.20461,39.13803,0.37947077,0.0,0.0,A
49,-111.12878,39.35469,0.40095466,0.0,0.0046093785,A
50,-111.13573,39.33552,0.42578083,0.0,0.009682987,A
51,-111.14017,39.32636,0.4979219,0.0,0.008730724,A
52,-111.14267,39.31941,0.43581322,0.0,0.0045840093,A
53,-111.11211,39.4058,0.411717,0.0,0.002839573,A
54,-111.11406,39.40136,0.4150088,0.0,0.0066208383,A
55,-111.14406,39.31941,0.4187349,0.0,0.005622403,A
56,-111.07572,39.51247,0.37380862,0.0,6.0052505e-5,A
57,-111.13406,39.3483,0.4110213,0.0,0.0064444705,A
58,-111.07572,39.5133,0.39953876,0.0,0.0065962304,A
59,-111.13156,39.35747,0.3990616,0.0,0.006597019,A
60,-111.13878,39.33774,0.38659286,0.0,0.0009707927,A
61,-111.07128,39.52858,0.41435057,0.0,7.9959114e-5,A
62,-111.071,39.5308,0.38095218,0.0,4.941843e-5,A
63,-111.11684,39.4033,0.00012999511,0.07346188,0.011563917,B
64,-111.07128,39.53163,0.3859147,0.0,6.8958376e-5,A
65,-111.14295,39.3308,0.42203516,0.0,0.004779022,A
66,-111.146,39.32302,1.3632692e-5,0.04374232,0.0880475,C
67,-111.14989,39.31274,0.0001302684,0.068024404,0.017548356,B
68,-111.14295,39.33469,0.45108572,0.0,0.005547137,A
69,-111.14267,39.33663,0.41985267,0.0,0.007975201,A
70,-111.13934,39.34636,0.40383956,0.0,0.005340186,A
71,-111.11878,39.40469,4.9766917e-5,0.07006105,0.020372123,B
72,-111.07572,39.52802,0.36742342,0.0,4.334049e-5,A
73,-111.10545,39.44552,2.434878e-5,0.06971098,0.021292185,B
74,-111.07545,39.53024,0.30991423,0.0,0.00012088266,A
75,-111.18378,39.23108,0.3522514,0.0,0.05286824,A
76,-111.09378,39.48691,0.37125388,0.0,0.00019271151,A
77,-111.0785,39.52997,0.3516889,0.0,4.7800393e-5,A
78,-111.15128,39.32691,0.41567725,0.0,0.00683355,A
79,-111.1485,39.33497,4.5039542e-5,0.06729562,0.027487103,B
80,-111.09739,39.48413,2.309131e-5,0.06555918,0.031969216,B
81,-111.08322,39.5258,0.37243783,0.0,3.3375753e-5,A
82,-111.14573,39.35024,0.3911386,0.0,0.0008256229,A
83,-111.14878,39.34219,2.991955e-6,0.07347683,0.0116244815,B
84,-111.09906,39.48441,2.5112744e-5,0.07405945,0.010108972,B
85,-111.0835,39.52913,0.40845343,0.0,6.26704e-5,A
86,-111.09934,39.48524,0.36443672,0.0,0.0008156528,A
87,-111.11323,39.45163,0.38090947,0.0,0.00023804004,A
88,-111.07906,39.55024,0.46192643,0.0,0.00034242112,A
89,-110.84127,40.21218,0.54570186,0.0,0.017465385,A
90,-111.16073,39.32302,0.4374149,0.0,0.009684018,A
91,-111.15823,39.33052,0.37506595,0.0,0.0005126724,A
92,-111.10906,39.47608,0.3726003,0.0,0.00046912595,A
93,-111.09961,39.50441,0.3703688,0.0,9.971863e-5,A
94,-111.15878,39.34274,4.8600108e-5,0.0686342,0.024042252,B
95,-111.14795,39.37608,0.39376622,0.0,0.004080172,A
96,-111.11406,39.47163,0.39171794,0.0,0.00020055167,A
97,-111.09684,39.52108,0.3189954,0.0,6.8624184e-5,A
98,-111.16739,39.32441,0.41694462,0.0,0.011307405,A
99,-111.13239,39.42358,0.4015748,0.0,0.015373341,A
100,-111.16934,39.32135,0.3624313,0.0,0.01255613,A
101,-111.20156,39.23163,0.2888045,0.013559477,0.029328767,A
102,-111.20267,39.23052,0.51658267,0.0,0.023840476,A
103,-111.15545,39.36441,0.41060558,0.0,0.008416853,A
104,-111.101,39.5183,0.31999892,0.0,0.0,A
105,-111.101,39.51913,5.566913e-5,0.070497915,0.023794979,B
106,-111.17017,39.32469,0.3841351,0.0,0.014900877,A
107,-111.10934,39.50108,5.8355814e-5,0.066634275,0.032029994,B
108,-111.161,39.35608,3.0484423e-5,0.07768234,0.00079009007,B
109,-111.0935,39.54774,0.45730236,0.0,0.0016889508,A
110,-111.02378,39.74524,0.43226737,0.0,0.00041541207,A
111,-111.09545,39.54802,0.44928807,0.0,0.0128085995,A
112,-111.101,39.53441,0.3414574,0.0,0.00020379097,A
113,-111.15573,39.3808,0.00015761465,0.06823097,0.024994154,B
114,-111.12489,39.46858,6.2398736e-5,0.07068557,0.01875627,B
115,-111.15628,39.38135,0.36699176,0.0,0.0010552015,A
116,-111.17156,39.33858,6.386002e-5,0.0692986,0.022321815,B
117,-111.17184,39.33885,3.464467e-5,0.0770398,0.0024381455,B
118,-111.10017,39.54358,0.45258608,0.0,0.0,A
119,-111.15156,39.40024,0.42218205,0.0,0.005221512,A
120,-111.10461,39.53302,0.36806664,0.0,0.0,A
121,-111.16295,39.36941,0.3740675,0.0,0.0,A
122,-111.12073,39.49219,0.36936286,0.0,0.0002066367,A
123,-111.11823,39.5008,0.35794154,0.0,0.0037023327,A
124,-111.116,39.50969,3.1107975e-5,0.07108565,0.020604774,B
125,-111.11545,39.51135,0.35702568,0.0,0.001673914,A
126,-111.17878,39.3333,0.39020556,0.0,0.0131233,A
127,-111.1085,39.53247,0.38515633,0.0,0.0,A
128,-111.17795,39.33691,6.667048e-5,0.062150184,0.040700275,C
129,-111.12739,39.48024,0.38076246,0.0,0.00016862439,A
130,-111.11573,39.51385,0.3956947,0.0,5.753449e-5,A
131,-111.1235,39.49358,3.3046716e-5,0.077021375,0.0053390427,B
132,-111.19184,39.30135,0.3278079,0.0,0.012707498,A
133,-111.03656,39.73802,0.4146641,0.0,0.00018548817,A
134,-111.211,39.24774,0.09748867,0.06670664,0.032051545,B
135,-111.19184,39.30219,0.32075566,0.0,0.013917198,A
136,-111.10684,39.54302,0.43360043,0.0,0.0,A
137,-111.111,39.53191,0.430636,0.0,0.00012519883,A
138,-111.14962,39.42385,0.41124943,0.0,0.0035411564,A
139,-111.21489,39.24024,0.11194712,0.11222134,0.02738765,B
140,-111.10823,39.5433,0.42030537,0.0,0.0,A
141,-111.17295,39.36108,0.3649735,0.0,0.0,A
142,-111.11823,39.51663,0.37396544,0.0,0.00020890115,A
143,-111.19212,39.30941,0.21537834,0.04260082,0.015629344,A
144,-111.04267,39.73107,0.4190375,0.0,0.0011793172,A
145,-111.04378,39.7283,0.4378041,0.0,0.00026887225,A
146,-111.16017,39.40302,0.41468138,0.0,0.0013855702,A
147,-111.17934,39.35024,0.34470233,0.0,0.010181822,A
148,-111.12239,39.51135,0.000217044,0.058062796,0.055640295,C
149,-111.19239,39.31747,0.47315824,0.0,0.019037226,A
150,-111.19267,39.31747,0.43126488,0.0,0.008646405,A
151,-111.03878,39.75052,0.4130267,0.0,0.0005157505,A
152,-110.90183,40.13246,0.00015272213,0.12152493,0.015873149,B
153,-111.1485,39.44441,0.38811594,0.0,0.00083009206,A
154,-111.1135,39.54469,0.43656802,0.0,0.0,A
155,-111.10767,39.56108,0.45496103,0.0,0.0056851166,A
156,-111.12184,39.52247,0.32842752,0.0,7.972227e-5,A
157,-111.12295,39.51969,1.0917847e-5,0.0738204,0.015285789,B
158,-111.18017,39.35969,3.945372e-5,0.07495015,0.007807278,B
159,-111.21045,39.27524,0.39236975,0.0,0.0057400204,A
160,-111.18156,39.35858,5.8544265e-5,0.077411234,0.0014648561,B
161,-111.2635,39.12691,0.36960036,0.0,0.033965502,A
162,-111.18128,39.36135,0.3383384,0.0,0.0,A
163,-111.15934,39.42385,0.377987,0.0,0.0003384295,A
164,-111.116,39.54635,0.4626172,0.0,0.0,A
165,-111.12017,39.5358,0.44881663,0.0,0.0016988255,A
166,-111.18406,39.35774,3.5233403e-5,0.077273384,0.0018372713,B
167,-111.23739,39.20969,0.37504032,0.0,0.024150873,A
168,-111.18628,39.3583,5.261353e-5,0.071883276,0.015683858,B
169,-111.16962,39.40858,0.45646352,0.0,0.0077565107,A
170,-111.12239,39.54635,0.467791,0.0,0.0005658763,A
171,-111.18434,39.37191,2.599422e-5,0.072792195,0.013367177,B
172,-111.23573,39.2358,0.37905228,0.0,0.009708019,A
173,-111.23628,39.23524,0.36044043,0.0,0.006991742,A
174,-111.33268,38.96108,0.41753232,0.0,0.011378214,A
175,-111.33153,38.96777,0.36895436,0.0,0.003726502,A
176,-111.33156,38.96775,0.35760173,3.6842394e-7,0.0046709143,A
177,-111.20267,39.33635,0.396815,0.0,0.0023336252,A
178,-111.26795,39.1533,0.11974138,0.097159654,0.0147889005,B
179,-111.21795,39.29747,0.35244367,0.0,0.012902473,A
180,-111.32712,38.98719,0.16860612,0.061284907,0.0,A
181,-111.32156,39.00497,0.39873314,0.0,0.0019032103,A
182,-111.22184,39.28913,0.37233883,0.0,0.02100852,A
183,-111.241,39.23524,0.37624907,0.0,0.018572263,A
184,-111.21823,39.3008,0.33354917,0.0,0.02010417,A
185,-111.12461,39.56885,0.41431347,0.0,0.0,A
186,-111.14406,39.5158,6.5388626e-6,0.07262957,0.01835158,B
187,-111.24378,39.23497,0.36559495,0.0,0.028519984,A
188,-111.23989,39.24858,0.32237995,0.0,0.02923508,A
189,-111.29712,39.08691,0.23527873,0.029476402,0.025287403,A
