Name,X,Y,A,B,C,D,E,Signal
1,-110.87099,39.80579,0.040467687,0.20592593,0.24487332,0.0,0.004246294,B
2,-111.00711,39.47886,0.13707416,0.18141143,0.0,0.036378898,0.0,A
3,-111.03461,39.41025,0.018358191,0.04314049,0.15484546,0.0008971089,0.0021564658,C
4,-111.03961,39.44302,0.18636763,0.27051026,0.0,0.02669372,0.0053999606,A
5,-110.89655,39.88135,0.15308264,0.13973817,0.0,0.07986366,0.0,A
6,-111.05961,39.43413,0.1565616,0.18602178,0.0,0.03446636,0.0,A
7,-111.066,39.4233,0.16307564,0.2032368,0.0,0.032632645,0.0,A
8,-111.05322,39.4658,0.13435344,0.16858843,0.0,0.036729384,0.002326709,A
9,-111.06961,39.42858,0.05946663,0.08306465,0.14252897,0.0022620764,0.0015612133,B
10,-111.11211,39.32108,0.004079803,0.13204229,0.09679796,0.0013396137,0.0011133456,C
11,-110.9735,39.71691,0.0885827,0.3004636,0.19796388,0.0,0.025582362,B
12,-111.056,39.49469,0.1503716,0.20816255,0.0,0.033804927,0.0,A
13,-111.05628,39.49469,0.15580878,0.2294951,0.0,0.031669304,0.0,A
14,-111.05656,39.49469,0.13916336,0.18055426,0.0,0.03657137,0.0015466773,A
15,-111.11628,39.32802,0.012169417,0.024810195,0.13836,0.0010187944,0.00094352564,C
16,-111.11267,39.34552,0.0023211425,0.1760033,0.09073368,0.0073646023,0.0023710497,C
17,-111.12184,39.32024,0.0023919079,0.00041319238,0.14644004,0.001366628,0.0010396435,C
18,-111.12239,39.31941,0.19885425,0.28775993,0.04642949,0.0,0.018403798,A
19,-111.12378,39.32163,0.1844128,0.23858614,0.0611462,0.0,0.0064172596,A
20,-111.12378,39.32191,0.18596022,0.23921005,0.062419865,0.0,0.012469624,A
21,-111.12383,39.32187,0.20151258,0.24787356,0.049124144,0.0011992167,0.011124857,A
22,-111.11989,39.33497,0.16825832,0.25240982,0.08601231,2.0533753e-5,0.008480336,A
23,-111.12795,39.31969,0.192266,0.34473577,0.022350019,0.0,0.02335288,A
24,-111.12795,39.31997,0.19011249,0.35370994,0.018893987,0.0,0.022062715,A
25,-111.12573,39.32802,0.16194002,0.27743432,0.068780825,1.6017418e-6,0.009294041,A
26,-111.12795,39.3233,0.1695419,0.30109483,0.060849097,3.0602652e-5,0.013116143,A
27,-111.13017,39.31941,0.16138457,0.24517526,0.08141892,6.284636e-7,0.009833202,A
28,-111.12739,39.32858,0.16207032,0.26744163,0.081044495,0.0,0.009652603,A
