Name,S1,S2,S3
Temperature [C],0.109663814,0.022382226,0.09915568
GTM Quartz [C],0.063283026,0.025217684,0.07139139
GTM Chalcedony [C],0.057704765,0.024662867,0.066435196
Al [ppm],3.3105717e-17,0.0126202535,0.0001006983
B [ppm],3.3105717e-17,0.039130807,0.0022995593
Ba [ppm],0.0010520063,0.0055522956,7.789403e-5
Be [ppm],7.6557735e-5,0.0059196767,4.8262005e-5
Br [ppm],3.3105717e-17,0.05441114,6.639554e-17
Ca [ppm],0.056413956,0.090713285,0.00916931
Cl [ppm],0.01207116,0.20098504,0.0043129944
HCO3 [ppm],0.06554279,0.023309462,0.041051697
K [ppm],0.0031708074,0.1081386,0.0038034269
Li [ppm],3.3105717e-17,0.030287309,6.639554e-17
Mg [ppm],0.024500158,0.08065903,6.639554e-17
Na [ppm],0.014699583,0.18044426,0.022074152
Heat flow [W/m²],0.060152322,0.024873545,0.118223034
Two m temperature [C],0.12874095,6.582604e-15,0.055472255
Depth to the basement [m],0.111551866,0.02146916,0.06627603
Gravity anomaly [mGal],0.10999092,0.01913262,0.03094151
Magnetic anomaly [nT],0.06652318,0.013107811,0.048676156
Strain rate [nS⁻¹],0.07715078,0.011102278,0.16344462
Dilation rate [nS⁻¹],0.037711363,0.005880641,0.056424215
Shear rate [nS⁻¹],3.3105717e-17,3.6098228e-17,0.14062193
