Name,S1,S2
1,3.236031,1.383395
2,3.3982317,1.970986e-8
3,4.8993087,3.3495565e-12
4,4.4214673,1.6264084e-15
5,2.7256432,2.260966
6,3.5504122,3.8428247e-9
7,3.7063558,4.630916e-13
8,2.1801639,1.5472889
9,4.19144,3.7723926e-9
10,4.4638376,7.828389e-14
11,5.0264773,1.1665107e-15
12,3.7972665,1.759233e-8
13,3.9464812,3.072114e-12
14,2.4760466,1.489065
15,4.913048,1.2400671e-14
16,4.2760143,8.493566e-10
17,4.4638376,4.8864653e-14
18,4.7110853,1.1665107e-15
19,4.223832,2.3534203e-15
20,4.4050107,1.1665107e-15
21,4.9646034,1.1665107e-15
22,4.500945,1.1693847e-15
23,5.046446,1.1665107e-15
24,5.054424,1.1665107e-15
25,4.544657,1.1665107e-15
26,4.689246,1.1665107e-15
27,4.4243813,1.1665107e-15
28,4.569153,1.1665107e-15
29,3.8144357,1.4838976e-9
30,4.67609,1.1665107e-15
31,3.4650269,0.00038738715
32,3.826339,5.123634e-11
33,4.482167,3.0154047e-15
34,4.7473106,0.33794662
35,4.4650254,1.1665107e-15
36,4.077105,1.4004596e-15
37,3.4183202,0.007297476
38,4.446384,1.1665107e-15
39,4.5221624,1.1665107e-15
40,4.209083,1.438729e-8
41,3.543663,7.045663e-14
42,3.524312,0.011496564
43,4.2287197,1.2330438e-15
44,4.4336395,1.1665107e-15
45,3.8512597,0.001644707
46,4.3671265,1.1665107e-15
47,2.3126647,2.010475
48,1.6060859,2.876264
49,4.185847,2.619422e-15
50,4.638916,1.1665107e-15
51,5.037115,1.1665107e-15
52,4.3829207,6.155722e-14
53,4.170084,8.489891e-15
54,4.35852,1.1682153e-15
55,4.412413,2.1546146e-15
56,3.7085392,7.5986363e-6
57,4.3350406,1.1695896e-15
58,4.215005,3.2716912e-15
59,4.2080765,1.9997705e-15
60,3.8139913,9.266065e-9
61,4.0804744,5.169757e-14
62,3.8284805,0.0012221823
63,4.8842177,4.931203e-12
64,3.990832,0.0057010627
65,4.1049943,2.1938712e-15
66,4.2408533,1.6381414e-8
67,4.347882,9.5467294e-11
68,4.531729,1.4955592e-15
69,4.5095816,1.1665107e-15
70,4.1099806,1.8435365e-15
71,4.8715763,1.6617131e-12
72,3.617237,4.8513302e-5
73,4.7113447,1.2003552e-10
74,1.1386309,2.8035817
75,6.2648377,1.1665107e-15
76,3.6164935,1.5646228e-7
77,2.243383,1.7022972
78,4.4510365,1.918478e-15
79,4.617382,3.7296496e-11
80,4.337792,1.9064834e-9
81,3.6916006,1.0794187e-5
82,3.7068214,2.5797184e-10
83,4.4551344,2.9973164e-12
84,4.307497,1.4249688e-9
85,4.0687566,1.1167408e-5
86,2.6847093,1.0697765
87,3.689139,5.5853704e-8
88,4.264218,0.00025022423
89,5.069592,0.99508387
90,4.7318983,1.1665107e-15
91,3.7206345,3.7869294e-9
92,3.57357,0.0008050937
93,3.5589507,1.5665184e-9
94,4.2760143,2.919861e-9
95,4.0545588,2.7765757e-15
96,3.869781,1.8121876e-12
97,1.8487368,1.7022225
98,4.666374,1.1665107e-15
99,4.664652,1.1665107e-15
100,4.1720963,1.0017232e-7
101,4.320984,0.8023128
102,5.9906006,4.2594157e-15
103,4.5287633,1.189844e-15
104,3.3441308,0.018919041
105,4.252116,2.2346485e-9
106,4.612559,1.1665107e-15
107,4.438521,1.4897749e-9
108,4.37056,4.3828544e-10
109,4.2746034,0.011459857
110,2.2201183,2.2608054
111,4.8118863,8.487124e-12
112,2.0389543,1.8548234
113,4.780606,2.6179864e-11
114,4.8941894,1.6622677e-11
115,3.6005008,6.3383837e-10
116,4.8715763,9.533057e-12
117,4.908919,3.6751704e-12
118,3.7098234,0.6466426
119,4.389383,1.6469124e-15
120,3.63315,0.002704859
121,3.58969,3.185126e-13
122,3.581644,2.3792113e-7
123,3.582316,1.4440014e-6
124,4.292169,2.1131197e-9
125,3.54005,3.4291847e-5
126,4.6132784,1.1665107e-15
127,3.7314196,8.5275405e-9
128,4.6014857,6.0225235e-11
129,3.7126687,1.3739082e-6
130,3.915758,7.712615e-6
131,4.3686757,1.3008856e-9
132,3.1754482,1.1012481
133,2.2582064,2.066406
134,3.8675764,0.25197384
135,3.2776473,0.9823809
136,2.8720315,1.6007158
137,4.1733174,2.8393488e-12
138,4.015398,4.905136e-15
139,3.1651309,1.5283269
140,2.7747612,1.7864712
141,3.565969,8.60957e-9
142,3.567107,1.1549482e-7
143,2.6042323,1.674177
144,2.3436835,2.0881665
