Name,A,B,Signal
Temperature [C],0.99495476,0.6687594,B
GTM Quartz [C],0.6166561,0.42709538,B
GTM Chalcedony [C],0.5663633,0.39308435,B
Al [ppm],0.003749197,0.013833791,B
B [ppm],0.06811809,0.013910441,A
Ba [ppm],0.018026263,0.0019946853,A
Be [ppm],0.00997019,0.00040714958,A
Br [ppm],0.1180078,0.0,A
Ca [ppm],0.6521497,0.15934151,A
Cl [ppm],0.44872898,0.033640224,A
HCO3 [ppm],0.6204364,0.28855062,B
K [ppm],0.21319567,0.016054276,A
Li [ppm],0.06594497,2.3327552e-6,A
Mg [ppm],0.3714432,0.028431615,A
Na [ppm],0.4435045,0.10515402,A
Heat flow [W/m²],0.6124735,0.6609097,B
Two m temperature [C],0.88824826,0.53105026,B
Depth to the basement [m],1.0,0.5265879,B
Gravity anomaly [mGal],0.99030375,0.32684413,A
Magnetic anomaly [nT],0.59757465,0.35356313,B
Strain rate [nS⁻¹],0.6068707,1.0,B
Dilation rate [nS⁻¹],0.31240323,0.36001906,B
Shear rate [nS⁻¹],0.0,0.6724785,B
