Name,A,B,C,D,E,Signal
Temperature [C],0.32484865,0.20136346,0.8772231,0.43720463,0.30208942,C
GTM Quartz [C],0.16132407,0.0,0.6907321,0.31955126,0.29140365,C
GTM Chalcedony [C],0.14376837,0.0,0.6414547,0.29582956,0.27571273,C
Al [ppm],0.0,0.0,0.0,0.00022080266,0.07080368,E
B [ppm],0.0,0.0,0.0,0.0022652561,0.24310015,E
Ba [ppm],0.0013934826,0.01283556,0.005439104,0.0,0.02670845,E
Be [ppm],0.00025902176,0.0011240926,0.0,0.00033525645,0.032031476,E
Br [ppm],0.0,0.0,0.0,0.0,0.30914965,E
Ca [ppm],0.049346473,1.0,0.14126661,0.07384492,0.0,B
Cl [ppm],0.0,0.21903017,0.120587155,0.0,0.9390031,E
HCO3 [ppm],0.19320454,0.29579118,0.4437362,0.15523091,0.102329284,A
K [ppm],0.0,0.03615413,0.047058355,0.018323887,0.5695801,E
Li [ppm],0.0,0.00011187524,0.0,0.0,0.16243894,E
Mg [ppm],1.8185641e-5,0.6819361,0.0,0.0023656674,0.0,B
Na [ppm],0.030456835,0.016701555,0.2359929,0.054972004,1.0,E
Heat flow [W/m²],0.0,0.25208634,1.0,0.6337573,0.0,C
Two m temperature [C],1.0,0.73504025,0.0,0.0,1.2687668e-6,A
Depth to the basement [m],0.45065024,0.06941462,0.73117936,0.19075853,0.367583,C
Gravity anomaly [mGal],0.322338,0.5768322,0.70130837,0.0,0.0,A
Magnetic anomaly [nT],0.1946701,0.18291488,0.5366195,0.18690397,0.09883091,C
Strain rate [nS⁻¹],0.3860998,0.0,0.462425,1.0,0.102948025,D
Dilation rate [nS⁻¹],0.19669312,0.0,0.21741761,0.31060722,0.05976208,D
Shear rate [nS⁻¹],0.0,0.0,0.0,0.99070483,0.0,D
