Name,A,B,C,D,E,F,Signal
Temperature [C],0.31016532,0.7158245,0.30193815,0.31100717,0.23146223,0.15934135,B
GTM Quartz [C],0.14400737,0.5938934,0.22721243,0.28313097,0.12919421,0.0,B
GTM Chalcedony [C],0.12885717,0.5537147,0.21119648,0.26854402,0.11631827,0.0,B
Al [ppm],0.0,0.0,0.00020548223,0.07233787,0.0,0.0,D
B [ppm],0.0,0.0,0.004508182,0.24285537,0.0,0.0,D
Ba [ppm],0.0,0.006872204,0.0,0.02579548,0.0009367519,0.011978664,D
Be [ppm],0.0,0.00029565932,0.000248933,0.0322325,0.00029272932,0.000752156,D
Br [ppm],0.0,0.0,0.0,0.31332666,0.0,0.0,D
Ca [ppm],0.025208887,0.08834457,0.08853164,0.0,0.045115795,1.0,F
Cl [ppm],0.07861516,0.015995122,0.0,0.97224337,0.0,0.18466417,D
HCO3 [ppm],0.17116083,0.3640284,0.076755136,0.08473897,0.12514731,0.32299143,B
K [ppm],0.00033004445,0.054003067,0.0019262861,0.5772481,0.0010094648,0.040507197,D
Li [ppm],0.0,0.0,0.0,0.1631122,0.0,0.00014943026,D
Mg [ppm],0.0,0.0,0.0,0.010453936,0.0,0.6793873,F
Na [ppm],0.12574592,0.12103024,0.035273265,1.0,0.010077714,0.0,D
Heat flow [W/m²],0.0,1.0,0.5888345,0.0,0.0,0.30591008,B
Two m temperature [C],8.964378e-6,0.0,0.14023092,0.0034997447,1.0,0.2803115,E
Depth to the basement [m],1.0,0.28555858,0.0,0.33744374,0.0,0.2673639,A
Gravity anomaly [mGal],0.0,0.5877775,0.0,0.0,0.3302247,0.56227785,E
Magnetic anomaly [nT],0.07519305,0.49463904,0.13670853,0.12273791,0.19959618,0.06705346,B
Strain rate [nS⁻¹],0.70404524,0.086774975,0.895394,0.0,0.082968645,0.1801579,A
Dilation rate [nS⁻¹],0.43165493,0.0,0.21542029,0.0,0.02084642,0.10783798,A
Shear rate [nS⁻¹],0.0,0.0,1.0,0.0,0.0,0.0,C
