Name,X,Y,A,B,Signal
1,-110.87099,39.80579,0.16507146,0.13438573,A
2,-111.00711,39.47886,0.1733454,0.0,A
3,-111.03461,39.41025,0.24991603,0.0,A
4,-111.03961,39.44302,0.22554111,0.0,A
5,-110.89655,39.88135,0.13903634,0.21963474,B
6,-111.05961,39.43413,0.18110819,0.0,A
7,-111.066,39.4233,0.18906295,0.0,A
8,-111.05322,39.4658,0.11121118,0.15030672,A
9,-111.06961,39.42858,0.21380733,0.0,A
10,-111.11211,39.32108,0.22770245,0.0,A
11,-110.9735,39.71691,0.25640297,0.0,A
12,-111.056,39.49469,0.19370034,0.0,A
13,-111.05628,39.49469,0.20131186,0.0,A
14,-111.05656,39.49469,0.1263043,0.14465074,A
15,-111.11628,39.32802,0.25061688,0.0,A
16,-111.11267,39.34552,0.2181215,0.0,A
17,-111.12184,39.32024,0.22770245,0.0,A
18,-111.12239,39.31941,0.24031468,0.0,A
19,-111.12378,39.32163,0.21545966,0.0,A
20,-111.12378,39.32191,0.22470166,0.0,A
21,-111.12383,39.32187,0.25324675,0.0,A
22,-111.11989,39.33497,0.22959532,0.0,A
23,-111.12795,39.31969,0.25742158,0.0,A
24,-111.12795,39.31997,0.25782853,0.0,A
25,-111.12573,39.32802,0.2318251,0.0,A
26,-111.12795,39.3233,0.23920065,0.0,A
27,-111.13017,39.31941,0.22568977,0.0,A
28,-111.12739,39.32858,0.23307464,0.0,A
29,-111.101,39.40386,0.19457616,0.0,A
30,-111.10489,39.3933,0.23852953,0.0,A
31,-111.09017,39.43636,0.17675264,3.763156e-5,A
32,-111.09684,39.42302,0.19518335,0.0,A
33,-111.13184,39.3258,0.22863743,0.0,A
34,-110.85849,40.08996,0.24216254,0.032828808,A
35,-111.06295,39.52219,0.22776304,0.0,A
36,-111.13461,39.32358,0.20797504,0.0,A
37,-111.08517,39.46386,0.17437011,0.0007088913,A
38,-111.06545,39.52385,0.22681214,0.0,A
39,-111.06628,39.52191,0.23067763,0.0,A
40,-111.08906,39.45802,0.2147073,0.0,A
41,-111.13795,39.32024,0.18076392,0.0,A
42,-111.09239,39.45163,0.1797768,0.0011167992,A
43,-111.06684,39.52358,0.21570897,0.0,A
44,-111.06711,39.52302,0.22616203,0.0,A
45,-111.06378,39.53247,0.19645457,0.00015977012,A
46,-111.07406,39.50608,0.22276917,0.0,A
47,-111.06684,39.52719,0.11797012,0.19530153,B
48,-111.20461,39.13803,0.081927195,0.279406,B
49,-111.12878,39.35469,0.21352202,0.0,A
50,-111.13573,39.33552,0.23663329,0.0,A
51,-111.14017,39.32636,0.2569456,0.0,A
52,-111.14267,39.31941,0.22357485,0.0,A
53,-111.11211,39.4058,0.21271794,0.0,A
54,-111.11406,39.40136,0.22233015,0.0,A
55,-111.14406,39.31941,0.22507927,0.0,A
56,-111.07572,39.51247,0.18917432,7.3814664e-7,A
57,-111.13406,39.3483,0.22113246,0.0,A
58,-111.07572,39.5133,0.21500938,0.0,A
59,-111.13156,39.35747,0.21465595,0.0,A
60,-111.13878,39.33774,0.19455348,0.0,A
61,-111.07128,39.52858,0.20814691,0.0,A
62,-111.071,39.5308,0.19529259,0.00011872522,A
63,-111.11684,39.4033,0.24914624,0.0,A
64,-111.07128,39.53163,0.20357421,0.0005538126,A
65,-111.14295,39.3308,0.20939769,0.0,A
66,-111.146,39.32302,0.21632792,0.0,A
67,-111.14989,39.31274,0.2217875,0.0,A
68,-111.14295,39.33469,0.23116563,0.0,A
69,-111.14267,39.33663,0.23003587,0.0,A
70,-111.13934,39.34636,0.20965204,0.0,A
71,-111.11878,39.40469,0.24850139,0.0,A
72,-111.07572,39.52802,0.18451697,4.7126787e-6,A
73,-111.10545,39.44552,0.24032791,0.0,A
74,-111.07545,39.53024,0.058082096,0.2723455,B
75,-111.18378,39.23108,0.3195723,0.0,A
76,-111.09378,39.48691,0.18447903,0.0,A
77,-111.0785,39.52997,0.114436015,0.16536453,A
78,-111.15128,39.32691,0.22704946,0.0,A
79,-111.1485,39.33497,0.23553483,0.0,A
80,-111.09739,39.48413,0.2212728,0.0,A
81,-111.08322,39.5258,0.18831028,1.0485688e-6,A
82,-111.14573,39.35024,0.1890867,0.0,A
83,-111.14878,39.34219,0.22725849,0.0,A
84,-111.09906,39.48441,0.21972744,0.0,A
85,-111.0835,39.52913,0.20754918,1.0848242e-6,A
86,-111.09934,39.48524,0.13694829,0.10392022,A
87,-111.11323,39.45163,0.18818471,0.0,A
88,-111.07906,39.55024,0.21751976,2.430728e-5,A
89,-110.84127,40.21218,0.25860226,0.09666443,A
90,-111.16073,39.32302,0.24137636,0.0,A
91,-111.15823,39.33052,0.1897913,0.0,A
92,-111.10906,39.47608,0.18228948,7.82084e-5,A
93,-111.09961,39.50441,0.18154374,0.0,A
94,-111.15878,39.34274,0.2181215,0.0,A
95,-111.14795,39.37608,0.20682494,0.0,A
96,-111.11406,39.47163,0.19739935,0.0,A
97,-111.09684,39.52108,0.09430493,0.16535728,B
98,-111.16739,39.32441,0.23803394,0.0,A
99,-111.13239,39.42358,0.23794608,0.0,A
100,-111.16934,39.32135,0.21282059,0.0,A
101,-111.20156,39.23163,0.22041541,0.07793826,A
102,-111.20267,39.23052,0.30558336,0.0,A
103,-111.15545,39.36441,0.23101434,0.0,A
104,-111.101,39.5183,0.17058568,0.0018378333,A
105,-111.101,39.51913,0.21690245,0.0,A
106,-111.17017,39.32469,0.23528878,0.0,A
107,-111.10934,39.50108,0.22641103,0.0,A
108,-111.161,39.35608,0.22294432,0.0,A
109,-111.0935,39.54774,0.21804953,0.0011132334,A
110,-111.02378,39.74524,0.11324927,0.21961914,B
111,-111.09545,39.54802,0.24545658,0.0,A
112,-111.101,39.53441,0.10400801,0.18018124,B
113,-111.15573,39.3808,0.24386095,0.0,A
114,-111.12489,39.46858,0.24965489,0.0,A
115,-111.15628,39.38135,0.18366323,0.0,A
116,-111.17156,39.33858,0.24850139,0.0,A
117,-111.17184,39.33885,0.25040627,0.0,A
118,-111.10017,39.54358,0.18923983,0.06281615,A
119,-111.15156,39.40024,0.22390448,0.0,A
120,-111.10461,39.53302,0.18532869,0.00026275538,A
121,-111.16295,39.36941,0.18311177,0.0,A
122,-111.12073,39.49219,0.18270135,0.0,A
123,-111.11823,39.5008,0.18273562,1.4027317e-7,A
124,-111.116,39.50969,0.21894556,0.0,A
125,-111.11545,39.51135,0.18057962,3.3311783e-6,A
126,-111.17878,39.3333,0.2353255,0.0,A
127,-111.1085,39.53247,0.19034146,0.0,A
128,-111.17795,39.33691,0.23472394,0.0,A
129,-111.12739,39.48024,0.18938497,1.3346417e-7,A
130,-111.11573,39.51385,0.19974464,7.4921877e-7,A
