Name,X,Y,A,B,C,Signal
1,-110.87099,39.80579,0.60040504,0.0,0.0046723722,A
2,-111.00711,39.47886,0.4969597,0.0,0.000120301025,A
3,-111.03461,39.41025,0.5472741,0.0,0.0,A
4,-111.03961,39.44302,0.63351935,0.0,0.0029798853,A
5,-110.89655,39.88135,0.61320436,0.0,0.0,A
6,-111.05961,39.43413,0.51955307,0.0,8.278171e-5,A
7,-111.066,39.4233,0.5412708,0.0,0.00022618602,A
8,-111.05322,39.4658,0.49669847,0.0,0.000867158,A
9,-111.06961,39.42858,0.4682021,0.0,0.0,A
10,-111.11211,39.32108,0.49863008,0.0,0.0,A
11,-110.9735,39.71691,0.61721367,0.0,0.015756281,A
12,-111.056,39.49469,0.5688526,0.0,8.143999e-5,A
13,-111.05628,39.49469,0.58402884,0.0,0.0,A
14,-111.05656,39.49469,0.53128135,0.0,0.0005630234,A
15,-111.11628,39.32802,0.5488088,0.0,0.0,A
16,-111.11267,39.34552,0.47764942,0.0,0.0,A
17,-111.12184,39.32024,0.49863008,0.0,0.0,A
18,-111.12239,39.31941,0.6145334,0.0,0.010364862,A
19,-111.12378,39.32163,0.6028855,0.0,0.003635429,A
20,-111.12378,39.32191,0.60194165,0.0,0.006402339,A
21,-111.12383,39.32187,0.6693057,0.0,0.004851882,A
22,-111.11989,39.33497,0.61613685,0.0,0.005494755,A
23,-111.12795,39.31969,0.62770396,0.0,0.0141613465,A
24,-111.12795,39.31997,0.6298298,0.0,0.014040038,A
25,-111.12573,39.32802,0.616194,0.0,0.0062994994,A
26,-111.12795,39.3233,0.6166818,0.0,0.008923499,A
27,-111.13017,39.31941,0.6026303,0.0,0.005784875,A
28,-111.12739,39.32858,0.61884916,0.0,0.0064179036,A
29,-111.101,39.40386,0.5651692,0.0,0.00013574223,A
30,-111.10489,39.3933,0.61195344,0.0,0.009278553,A
31,-111.09017,39.43636,0.5063686,0.0,0.00017394849,A
32,-111.09684,39.42302,0.5529851,0.0,0.0,A
33,-111.13184,39.3258,0.6341598,0.0,0.0045222417,A
34,-110.85849,40.08996,0.6871477,0.0,0.0050298134,A
35,-111.06295,39.52219,0.583192,0.0,0.0072450438,A
36,-111.13461,39.32358,0.5689033,0.0,0.0044424734,A
37,-111.08517,39.46386,0.5077426,0.0,7.170542e-5,A
38,-111.06545,39.52385,0.5821621,0.0,0.0070136418,A
39,-111.06628,39.52191,0.6163492,0.0,0.0036592046,A
40,-111.08906,39.45802,0.47017288,0.0,0.0,A
41,-111.13795,39.32024,0.52060026,0.0,0.000669578,A
42,-111.09239,39.45163,0.5285906,0.0,0.0001607556,A
43,-111.06684,39.52358,0.5915408,0.0,0.0026126725,A
44,-111.06711,39.52302,0.60087276,0.0,0.004075935,A
45,-111.06378,39.53247,0.5527033,0.0,3.3594853e-5,A
46,-111.07406,39.50608,0.61584187,0.0,0.002039601,A
47,-111.06684,39.52719,0.55226994,0.0,0.00013670868,A
48,-111.20461,39.13803,0.5591943,0.0,0.0,A
49,-111.12878,39.35469,0.5872915,0.0,0.0032985779,A
50,-111.13573,39.33552,0.6188413,0.0,0.0077147842,A
51,-111.14017,39.32636,0.675395,0.0,0.007941775,A
52,-111.14267,39.31941,0.62712836,0.0,0.0035901181,A
53,-111.11211,39.4058,0.5942313,0.0,0.0021259568,A
54,-111.11406,39.40136,0.59725726,0.0,0.0052426485,A
55,-111.14406,39.31941,0.6140323,0.0,0.004117022,A
56,-111.07572,39.51247,0.5443216,0.0,4.3589065e-5,A
57,-111.13406,39.3483,0.59577096,0.0,0.0049949293,A
58,-111.07572,39.5133,0.5777565,0.0,0.005232368,A
59,-111.13156,39.35747,0.57540894,0.0,0.0052179755,A
60,-111.13878,39.33774,0.54622555,0.0,0.0006632675,A
61,-111.07128,39.52858,0.58517635,0.0,6.622924e-5,A
62,-111.071,39.5308,0.5493405,0.0,3.979954e-5,A
63,-111.11684,39.4033,0.5455883,0.0,0.0,A
64,-111.07128,39.53163,0.57305986,0.0,5.1589403e-5,A
65,-111.14295,39.3308,0.5790751,0.0,0.004345867,A
66,-111.146,39.32302,0.47372177,0.0,0.0,A
67,-111.14989,39.31274,0.48567733,0.0,0.0,A
68,-111.14295,39.33469,0.6411725,0.0,0.004572194,A
69,-111.14267,39.33663,0.6115296,0.0,0.006239294,A
70,-111.13934,39.34636,0.5581327,0.0,0.0047788876,A
71,-111.11878,39.40469,0.5441763,0.0,0.0,A
72,-111.07572,39.52802,0.5189179,0.0,3.5863457e-5,A
73,-111.10545,39.44552,0.5262777,0.0,0.0,A
74,-111.07545,39.53024,0.48903072,0.0,7.853224e-5,A
