Name,X,Y,A,B,C,D,E,Signal
1,-110.87099,39.80579,0.27123755,0.2028645,0.2475094,0.0002149219,0.003242174,B
2,-111.00711,39.47886,0.335284,0.17344777,0.0,0.08389947,0.0,A
3,-111.03461,39.41025,0.08435958,0.11484062,0.00034395573,0.09339922,0.6462586,E
4,-111.03961,39.44302,0.46038985,0.2604041,0.0,0.0643363,0.004556539,A
5,-110.89655,39.88135,0.38652587,0.13402759,0.0,0.18548167,0.0,A
6,-111.05961,39.43413,0.3678882,0.17773329,0.0,0.08156262,0.0,A
7,-111.066,39.4233,0.3811795,0.19448766,0.0,0.078542255,0.0,A
8,-111.05322,39.4658,0.36336845,0.16096734,0.0,0.08106491,0.0022413211,A
9,-111.06961,39.42858,0.23868024,0.07983367,0.004201503,0.10579393,0.20469065,A
10,-111.11211,39.32108,0.3550037,0.12771851,0.0105125755,0.066868,0.17034844,A
11,-110.9735,39.71691,0.24707827,0.2927169,0.22095846,0.0019160728,0.02473845,B
12,-111.056,39.49469,0.42280814,0.1996646,0.0,0.074162714,0.0,A
13,-111.05628,39.49469,0.4180234,0.22014159,0.0,0.0703534,0.0,A
14,-111.05656,39.49469,0.40061963,0.17291892,0.0,0.07920503,0.0014296722,A
15,-111.11628,39.32802,0.4839384,0.14637381,0.010498238,0.06174077,0.083073206,A
16,-111.11267,39.34552,0.31095248,0.118109755,0.017270964,0.08699785,0.10743737,A
17,-111.12184,39.32024,0.39992815,0.049808107,0.013668948,0.086319745,0.104528554,A
18,-111.12239,39.31941,0.4790398,0.27752072,0.05839128,9.196047e-6,0.018208053,A
19,-111.12378,39.32163,0.49812803,0.23022705,0.0006498711,0.0441555,0.007889757,A
20,-111.12378,39.32191,0.48936376,0.23107983,0.07119593,6.0668386e-5,0.012053776,A
21,-111.12383,39.32187,0.5649429,0.23801638,0.0,0.0391662,0.012136632,A
22,-111.11989,39.33497,0.47411737,0.24315505,1.2041736e-6,0.06222438,0.01134464,A
23,-111.12795,39.31969,0.4888846,0.33472216,8.427568e-5,0.016457796,0.023236085,A
24,-111.12795,39.31997,0.48562264,0.34360242,2.346564e-7,0.014247845,0.021569887,A
25,-111.12573,39.32802,0.4670743,0.2692287,0.0,0.048772186,0.0107449945,A
26,-111.12795,39.3233,0.45583192,0.29127595,0.0,0.045182772,0.014689268,A
27,-111.13017,39.31941,0.4723305,0.23731044,0.0,0.05770979,0.012074799,A
28,-111.12739,39.32858,0.4702051,0.25928438,0.0,0.05693375,0.011944818,A
29,-111.101,39.40386,0.4249284,0.19587159,0.0,0.07368592,3.0749045e-5,A
30,-111.10489,39.3933,0.44707146,0.25262773,0.09477106,0.0034753948,0.015892847,A
31,-111.09017,39.43636,0.36691046,0.16630206,0.0,0.08198708,0.0,A
32,-111.09684,39.42302,0.41910335,0.18650132,0.0,0.07425494,0.0,A
33,-111.13184,39.3258,0.4919593,0.24703401,0.0,0.061899297,0.009527176,A
34,-110.85849,40.08996,0.3200243,0.22762872,0.28198138,0.0,0.0014277545,A
35,-111.06295,39.52219,0.3589044,0.29661497,0.0,0.054484617,0.008753736,A
36,-111.13461,39.32358,0.3788752,0.22578505,0.11601603,0.0,0.0044857883,A
37,-111.08517,39.46386,0.37168255,0.16519563,0.0,0.080967955,0.0,A
38,-111.06545,39.52385,0.39398366,0.25757587,0.0,0.05964426,0.0131274555,A
39,-111.06628,39.52191,0.4265061,0.25366494,0.0,0.06709501,0.0049885144,A
40,-111.08906,39.45802,0.3043311,0.063100524,0.07574842,0.06518995,0.08877646,A
41,-111.13795,39.32024,0.3453625,0.18532357,0.08291989,0.022644619,0.00051469187,A
42,-111.09239,39.45163,0.3788661,0.1746553,0.0,0.08674426,0.0,A
43,-111.06684,39.52358,0.41463017,0.2488314,0.0,0.068857625,0.0,A
44,-111.06711,39.52302,0.4052882,0.25629207,0.0,0.064873695,0.005866822,A
45,-111.06378,39.53247,0.44009212,0.15692595,0.0,0.078437135,0.0,A
46,-111.07406,39.50608,0.38386804,0.3087151,0.0,0.047499493,0.0,A
47,-111.06684,39.52719,0.43839732,0.13799143,0.0,0.09489067,0.0014645751,A
48,-111.20461,39.13803,0.43115273,0.11773785,0.0,0.13552581,0.0,A
49,-111.12878,39.35469,0.45090705,0.21825546,1.8697405e-5,0.06665974,0.006803006,A
50,-111.13573,39.33552,0.46650627,0.26430324,0.0,0.05664437,0.015334135,A
51,-111.14017,39.32636,0.52129364,0.25538975,0.09322911,0.008857266,0.015186899,A
52,-111.14267,39.31941,0.491819,0.23314023,2.6231142e-5,0.064977,0.008073488,A
53,-111.11211,39.4058,0.44724768,0.22365756,0.0,0.06906825,0.0028471248,A
54,-111.11406,39.40136,0.45474663,0.23301785,6.916253e-7,0.06523798,0.010730107,A
55,-111.14406,39.31941,0.48293284,0.22647826,0.0,0.06603678,0.009064952,A
56,-111.07572,39.51247,0.406174,0.17911611,0.0,0.08058231,1.15156345e-5,A
57,-111.13406,39.3483,0.4521195,0.23407084,0.0,0.06356206,0.010307191,A
58,-111.07572,39.5133,0.41379344,0.2269878,0.0,0.07497701,0.011172831,A
59,-111.13156,39.35747,0.43460405,0.2145022,0.0,0.07181524,0.011986324,A
60,-111.13878,39.33774,0.39653847,0.17635964,0.07671235,0.03102433,0.0,A
61,-111.07128,39.52858,0.42042992,0.21549731,0.0,0.06483757,0.0,A
62,-111.071,39.5308,0.43040258,0.15750194,0.0,0.080891,0.0,A
63,-111.11684,39.4033,0.40163156,0.11696611,0.02105317,0.08492237,0.12116713,A
64,-111.07128,39.53163,0.46047795,0.16113962,0.0,0.08033346,0.0,A
65,-111.14295,39.3308,0.39219382,0.2287447,0.11014407,0.0,0.0062453113,A
66,-111.146,39.32302,0.3679497,0.06297915,0.020854963,0.099907935,0.012062646,A
67,-111.14989,39.31274,0.36223745,0.099460416,0.013514615,0.08930351,0.06768558,A
68,-111.14295,39.33469,0.4881673,0.26356727,0.0,0.057472594,0.008362783,A
69,-111.14267,39.33663,0.4655893,0.24885727,0.0,0.060606714,0.012425947,A
70,-111.13934,39.34636,0.38828787,0.20632973,0.11954741,0.0,0.005217843,A
71,-111.11878,39.40469,0.31212363,0.11202082,0.014497788,0.090427406,0.25989184,A
72,-111.07572,39.52802,0.388691,0.15541798,0.0,0.08118421,0.0,A
73,-111.10545,39.44552,0.42582136,0.17808262,0.01651778,0.070963696,0.035998713,A
74,-111.07545,39.53024,0.41063333,0.101554796,0.0,0.10231974,0.00010956567,A
75,-111.18378,39.23108,0.43101433,0.2767926,0.0,0.0,0.12388049,A
76,-111.09378,39.48691,0.38407093,0.1798536,0.0,0.07924828,0.0,A
77,-111.0785,39.52997,0.3971287,0.13752303,0.0,0.08452145,0.0,A
78,-111.15128,39.32691,0.48346174,0.22462909,0.0,0.06687347,0.011939858,A
79,-111.1485,39.33497,0.3919102,0.100071974,0.020641606,0.089832574,0.06899342,A
80,-111.09739,39.48413,0.3681454,0.052514974,0.018693646,0.104154356,0.037959497,A
81,-111.08322,39.5258,0.40665624,0.15736549,0.0,0.07786344,0.0,A
82,-111.14573,39.35024,0.3841396,0.18325078,0.031226711,0.059867203,0.0009964488,A
83,-111.14878,39.34219,0.35385394,0.09810725,0.079618774,0.05310765,0.0712591,A
84,-111.09906,39.48441,0.32312402,0.092234425,0.022812873,0.09061867,0.096778646,A
85,-111.0835,39.52913,0.4654486,0.16913274,0.0,0.07922795,0.0,A
86,-111.09934,39.48524,0.3782845,0.17423253,0.0,0.08075093,0.0015502264,A
87,-111.11323,39.45163,0.40127337,0.18046482,0.0,0.078570604,0.0,A
88,-111.07906,39.55024,0.31726903,0.23614514,0.0,0.14962155,0.00012237231,A
89,-110.84127,40.21218,0.3824036,0.22031064,0.29703653,0.0,0.037983637,A
90,-111.16073,39.32302,0.48707673,0.26299956,0.0,0.057045747,0.016084164,A
91,-111.15823,39.33052,0.41495517,0.17857406,0.0,0.07653218,0.00023029382,A
92,-111.10906,39.47608,0.38553205,0.172357,0.0,0.08520392,0.00034894262,A
93,-111.09961,39.50441,0.36723688,0.18138811,0.0,0.079641335,0.0,A
94,-111.15878,39.34274,0.2710019,0.07031558,0.07890801,0.06120828,0.15675941,A
95,-111.14795,39.37608,0.41998735,0.20687412,0.0,0.071320355,0.0067671305,A
96,-111.11406,39.47163,0.41962048,0.19870138,0.0,0.07458308,0.0,A
97,-111.09684,39.52108,0.33662954,0.13474652,0.0,0.09117269,0.0,A
98,-111.16739,39.32441,0.47641987,0.24458458,0.0,0.06307712,0.020535639,A
99,-111.13239,39.42358,0.4279357,0.2774692,0.006294707,0.04945656,0.022679308,A
100,-111.16934,39.32135,0.38884893,0.15975507,0.14420594,0.0,0.024520105,A
101,-111.20156,39.23163,0.49924353,0.14778543,2.1248631e-7,0.0,0.07672888,A
102,-111.20267,39.23052,0.47510207,0.31331986,0.08687405,0.0,0.04601384,A
103,-111.15545,39.36441,0.4764838,0.22743359,0.0,0.06637122,0.014930151,A
104,-111.101,39.5183,0.3533877,0.15148637,0.0,0.08398255,0.0,A
105,-111.101,39.51913,0.3280587,0.0104642855,0.060793012,0.09208774,0.059059624,A
106,-111.17017,39.32469,0.46105886,0.21688242,0.0,0.071377054,0.030438727,A
107,-111.10934,39.50108,0.3303265,0.022285668,0.034625832,0.10426452,0.11376396,A
108,-111.161,39.35608,0.3355807,0.022363717,0.07162458,0.079009145,0.0852852,A
109,-111.0935,39.54774,0.29465845,0.22330056,0.0,0.15946318,0.0013962557,A
110,-111.02378,39.74524,0.30545652,0.16385113,0.05513817,0.13792633,0.00047733838,A
111,-111.09545,39.54802,0.3101772,0.2538328,0.0131906085,0.13969277,0.022949783,A
112,-111.101,39.53441,0.3967396,0.14026462,0.0,0.09255254,0.0,A
113,-111.15573,39.3808,0.36183405,0.14674984,0.012461972,0.08215268,0.1570056,A
114,-111.12489,39.46858,0.2403152,0.16736728,5.6379515e-5,0.08431846,0.37805223,E
115,-111.15628,39.38135,0.37840343,0.17779307,0.0,0.08031421,0.000983902,A
116,-111.17156,39.33858,0.36350158,0.05803258,0.0045801234,0.11155477,0.18584329,A
