Name,X,Y,A,B,C,D,E,F,Signal
1,-110.87099,39.80579,0.34440297,7.0066653e-6,0.13766573,0.00041222683,0.1276307,0.1543326,A
2,-111.00711,39.47886,0.0,0.00032570897,0.06480605,0.0,0.4050879,0.13503064,E
3,-111.03461,39.41025,0.039949834,0.0010394201,0.045228895,0.15401864,0.46351337,0.17427634,E
4,-111.03961,39.44302,0.0,0.053850614,0.0,0.00845255,0.50859076,0.20286447,E
5,-110.89655,39.88135,0.0,0.0,0.16174065,0.0,0.46900466,0.10159092,E
6,-111.05961,39.43413,0.0040990137,0.0,0.065898694,0.0,0.43182153,0.13737668,E
7,-111.066,39.4233,0.033232354,0.0030821995,0.058387525,0.0,0.4195457,0.1508885,E
8,-111.05322,39.4658,0.0,0.0,0.06708293,0.0031260613,0.4280285,0.12315053,E
9,-111.06961,39.42858,0.024903595,0.041542266,0.055618696,0.0054968423,0.4150984,0.07433398,E
10,-111.11211,39.32108,0.051652096,0.077692606,0.015146049,0.18837906,0.3710321,0.05209853,E
11,-110.9735,39.71691,0.24122515,0.13865472,0.0,0.022269284,0.14663997,0.2326544,A
12,-111.056,39.49469,0.0,8.102057e-6,0.054830834,0.0,0.49779972,0.155679,E
13,-111.05628,39.49469,0.0,0.0006986341,0.048771713,0.0,0.49450088,0.17234443,E
14,-111.05656,39.49469,0.0,0.0,0.06238041,0.002106363,0.47033146,0.13381454,E
15,-111.11628,39.32802,0.010661348,0.014458326,0.05538257,0.11535123,0.5512302,0.08088862,E
16,-111.11267,39.34552,0.023161199,0.024478853,0.05606106,0.052905455,0.4074335,0.109091476,E
17,-111.12184,39.32024,0.013608044,0.069937564,0.040009473,0.09677409,0.46244925,0.003989726,E
18,-111.12239,39.31941,0.25237313,0.022631448,0.0,0.01216144,0.34884894,0.21864636,A
19,-111.12378,39.32163,0.18954472,0.034960777,0.0,0.0047802883,0.38638255,0.18010728,A
20,-111.12378,39.32191,0.20129791,0.038457166,0.0,0.008989211,0.38683897,0.18151371,A
21,-111.12383,39.32187,0.23430403,0.02893494,0.0,0.0052979514,0.43154398,0.18832816,A
22,-111.11989,39.33497,0.19317591,0.05365736,0.0,0.0050050863,0.36420032,0.19169103,A
23,-111.12795,39.31969,0.26211333,0.0,0.0,0.014698321,0.34258327,0.2633002,A
24,-111.12795,39.31997,0.23567416,0.0,0.0,0.014927813,0.3559963,0.2691059,A
25,-111.12573,39.32802,0.20785664,0.036964957,5.510435e-7,0.0048882407,0.34633413,0.21245915,A
26,-111.12795,39.3233,0.18721628,0.0324645,0.0,0.009596197,0.3563898,0.22965133,A
27,-111.13017,39.31941,0.21037601,0.049552392,0.0,0.005348392,0.34554535,0.18738768,A
28,-111.12739,39.32858,0.22358532,0.047468606,0.0,0.00416949,0.33625355,0.20491932,A
29,-111.101,39.40386,0.018550098,0.0,0.057560135,0.00014522753,0.47829232,0.15153411,E
30,-111.10489,39.3933,0.22871204,0.05536676,0.0,0.010873842,0.3341806,0.19915071,A
31,-111.09017,39.43636,0.011304703,0.0,0.06532596,0.0,0.42352235,0.12927662,E
32,-111.09684,39.42302,0.009906662,0.0,0.060586076,0.0,0.4770198,0.14381486,E
33,-111.13184,39.3258,0.18084481,0.053276014,0.0,0.006255223,0.38810983,0.1936728,A
34,-110.85849,40.08996,0.19859114,0.18067534,0.0,0.0,0.26024866,0.18156944,A
35,-111.06295,39.52219,0.0,0.037232265,0.0,0.010809728,0.4129851,0.23589106,E
36,-111.13461,39.32358,0.2740155,0.0013990243,0.05020392,0.0008534366,0.25094852,0.17605668,A
37,-111.08517,39.46386,0.0,0.0,0.06635398,0.0,0.4375778,0.1274563,E
38,-111.06545,39.52385,0.0,0.049362987,0.0,0.015799481,0.4388626,0.20530863,E
39,-111.06628,39.52191,0.0,0.057108723,0.0,0.007956991,0.47286198,0.20047903,E
40,-111.08906,39.45802,0.046990007,0.040668383,0.038573757,0.23032835,0.26043406,0.120334625,D
41,-111.13795,39.32024,0.15605824,0.011098859,0.050328158,0.000105147825,0.28706384,0.14435126,A
42,-111.09239,39.45163,0.003606632,0.032907017,0.041824047,0.0,0.43330342,0.13595794,E
43,-111.06684,39.52358,0.0,0.05525356,0.0,0.0031012215,0.46569994,0.19460738,E
44,-111.06711,39.52302,0.0,0.05272176,0.0,0.008266498,0.45511898,0.20274007,E
45,-111.06378,39.53247,0.0,0.0,0.0646778,0.0,0.51318234,0.122723125,E
46,-111.07406,39.50608,0.0,0.032207303,2.2911622e-6,0.0017823017,0.43866867,0.24255155,E
47,-111.06684,39.52719,0.0,0.09395193,0.0,0.0012112681,0.48071098,0.1076289,E
48,-111.20461,39.13803,0.0006185563,0.0,0.118982725,0.0044080247,0.50917125,0.08425648,E
49,-111.12878,39.35469,0.22789438,0.025760794,0.029450903,0.00017806202,0.31344816,0.17142162,A
50,-111.13573,39.33552,0.1681919,0.047133654,0.0,0.0110357,0.37704194,0.20867038,A
51,-111.14017,39.32636,0.15025696,0.060905907,0.0,0.016208302,0.46849447,0.20017254,E
52,-111.14267,39.31941,0.19102064,0.057054073,0.0,0.004767975,0.37578547,0.18284298,A
53,-111.11211,39.4058,0.04714221,0.059085783,0.00033586612,0.0043067997,0.45335132,0.1745443,E
54,-111.11406,39.40136,0.21973675,0.05969842,0.0,0.0025664426,0.31510141,0.18487501,A
55,-111.14406,39.31941,0.21515489,0.060193587,0.0,0.0015932698,0.347704,0.17926443,A
56,-111.07572,39.51247,0.0,0.0,0.06336923,8.0778635e-5,0.47795606,0.1389254,E
57,-111.13406,39.3483,0.22578171,0.05670107,0.0,0.0020945207,0.30873835,0.18579726,A
58,-111.07572,39.5133,0.0,0.06510632,0.0,0.014301174,0.46030867,0.17838593,E
59,-111.13156,39.35747,0.1429538,0.06769525,0.0,0.0078106667,0.35476595,0.16952124,E
60,-111.13878,39.33774,0.17283045,0.0,0.06609267,0.0,0.32570437,0.13558911,A
61,-111.07128,39.52858,0.0,0.00069087086,0.046620347,0.0,0.4929795,0.1701244,E
62,-111.071,39.5308,0.0,0.0,0.0653394,0.0,0.505915,0.12317252,E
63,-111.11684,39.4033,0.0074252323,0.12988883,0.002209198,0.15023865,0.44142693,0.026808169,E
64,-111.07128,39.53163,0.004476022,0.0,0.06494936,0.0,0.5352222,0.12546009,E
65,-111.14295,39.3308,0.26101077,0.0,0.050180253,0.0037606289,0.27043936,0.17746355,A
66,-111.146,39.32302,0.04916647,0.03805514,0.04572671,0.036948387,0.38496506,0.10730948,E
67,-111.14989,39.31274,0.029650537,0.020623144,0.04631422,0.02998738,0.4427952,0.13026139,E
68,-111.14295,39.33469,0.16219392,0.046600744,0.0,0.00613448,0.40358293,0.20610552,E
69,-111.14267,39.33663,0.17793395,0.052441526,0.0,0.0069708303,0.36623296,0.19646342,A
70,-111.13934,39.34636,0.27096686,0.0,0.057551198,0.0,0.26253825,0.16045097,A
71,-111.11878,39.40469,0.04475337,0.014358281,0.04689015,0.21198623,0.40221313,0.15414882,E
72,-111.07572,39.52802,0.0,0.000108668,0.06382527,0.0,0.4623682,0.12201076,E
73,-111.10545,39.44552,0.087359466,0.03728216,0.005818347,0.47740057,0.16562521,0.2123041,D
74,-111.07545,39.53024,0.0,1.3480586e-7,0.086598,0.0004493927,0.4854667,0.07532639,E
75,-111.18378,39.23108,0.26540533,0.0,0.0,0.12679957,0.27110898,0.21643148,A
76,-111.09378,39.48691,0.0,0.0,0.06354034,0.0,0.45305046,0.13888606,E
