Name,S1,S2,S3
Alamos spr,0.025418239974961725,0.018654456639867423,0.026823526138683364
Sacred spr,0.02744362794965287,0.0012729097178930048,1.2371378305003855e-5
Rainbow spr,0.029187220260384197,0.0011206050301594654,2.2049281671049957e-6
Laguna Pbl,0.018138926814393806,0.024041821488237136,0.05542837604299003
Dent well,0.031826372822327274,1.0143287328781726e-147,9.0193937329357e-281
Jerry well,0.027692044163760154,0.008366191841580987,0.006916433369335185
Pueblo well,0.029251340477782783,0.0012886380342224141,1.719008087883153e-19
Ojitos spr,0.0043609750769637405,0.0024326468537125678,0.17315501602904945
Well 1,0.03375137580638053,0.004528353675813417,0.006543093691589731
Ojo Canas,0.005666286652235862,1.1373815908888802e-71,0.14093254716910353
Socorro Can,0.0004690640729334594,3.6144242527725246e-101,0.19179750344667443
Aragon spr,0.03560789308876212,6.407130193999419e-37,0.022274074422549056
Freiborn spr,0.033989030914575016,0.0,5.0e-324
Ojo Caliente,0.03174115972787844,0.0146737341412126,0.0018403094650801862
Victoria well,0.013168249642057398,0.04278771996600742,5.0e-324
Gila spr 1,0.03767051933366607,2.38950422e-315,0.00758988580926291
Gila spr 2,0.03834622777399023,1.3709352486461213e-8,0.005943606338604736
Warm spr,0.026971517279534066,0.02132268738068624,0.03399164567860424
Turkey spr,0.04289649983640526,0.009571220439011211,0.00022475936952891858
T or C spr,0.007748121923367365,0.0345962435854549,0.08504141768525314
Riverside well,0.03413175043040733,0.012994769250183518,0.008244728378482016
Spring,0.03288100840572729,0.02466465581014191,0.002846774689803093
Cliff spr,0.031885208053114705,0.007349025116485281,0.004398997125279581
B.Iorio well,0.009451731014357522,0.02280147173788926,0.08381957828054279
Derry spr,0.020407401698987672,0.029234821104012647,0.022703477304003808
Ash spr,0.04025751754824483,0.00013117076255538503,9.266493014610514e-280
Goat spr,0.02101882809765562,0.029725158906313495,0.004674995414978965
Mangas spr,0.03323706044351955,0.0027904191973142484,0.0034120503765065835
Spring Can,0.03470856656870498,0.005561416839725568,0.004538819169574087
Allen spr,0.04681108027603098,4.715912165120229e-212,8.34078355965212e-122
Mimbres spr,0.037962982015263144,0.012980329199084787,0.00020909023499434204
Garton well,0.03812424027807679,0.004655582724295767,7.280001650136423e-110
Kennecott well,0.025558617031888727,0.02499944002686139,4.3072459664281565e-209
Faywood spr,0.025340668798702726,0.033531196705821505,5.86411212539171e-160
Apache well,0.027519773571530723,0.01629146426916783,1.319179062060002e-116
Radium spr,0.008300229081919634,0.05836833771497555,0.02072521387311505
Well 4,0.0,0.07146642515711717,0.02481250723877712
Carne well,0.006783924458005145,0.05603713563652929,5.0e-324
Los Alturas,0.0029635673212278927,0.06726153812468008,0.0
Well 2,5.142852704027006e-270,0.06543500835979034,0.026918875066847012
Well 3,0.009937632320648445,0.05307654310106294,0.0
Well 5,0.0,0.06726923693511841,0.007814522955710099
Lightning Dock,0.010776675219781602,0.06176754547551475,4.253598165843251e-74
Fed H1 well,0.0005968437741922573,0.08695006534214764,0.02636359892860466
