Name,S1,S2,S3,S4
Boron concentration,6.046437348756231,3.3809928623689887,2.281047792928468,6.577947546069133
Gravity anomaly,11.021057683620175,5.236073931622743,1.5347481586019438,1.43e-322
Magnetic intensity,5.305107475213332,7.7646711301543645,1.660859708600101,5.829552138085364
Volcanic dike density,7.4e-323,6.921248365279759,1.341896006663876,6.0e-323
Drainage density,5.095853276725361e-76,14.742363056833785,4.38376678958238,5.185590870938309
Fault intersection density,0.9636975748592987,0.2650463233492319,4.900238530861958,3.0e-323
Quaternary fault density,5.216096194743425,3.5e-323,4.7109115318540935,0.0
Seismicity,2.5e-323,1.73e-322,4.6789945044990535,0.040525430713988723
State map fault density,0.3386322304602355,7.612271304731521,3.9722102534907413,2.320853426676514
Spring density,2.5e-323,0.9722045002717435,4.532716094182608,3.735538169460602
Volcanic vent density,3.198139091723432,0.42429331906763307,1.7629226469220414,1.3715739510634037
Lithium concentration,6.350430866854718,11.97917626304186,3.8206555799066373,5.777354465751458
Precipitation,1.0e-322,12.555055553737022,5.4e-323,1.4073238339717817
Silica geothermometer,7.478449502421915,8.334140482283985,1.2545954698297634,0.5157364128769507
Hydraulic gradient,0.043360862196504396,7.703119900798912,2.3424234668065025,1.602274067361186
Heat flow,5.386771028313493,3.7084088406577767,1.2256651333733004,3.256677435190652
Crustal thickness,1.0e-322,4.249806463950364,1.0554843507552847,10.46610400906865
Depth to basement,7.692867467194686,1.04e-322,2.0e-323,2.8924301417577407
