Name,S1,S2,S3,S4,S5,S6,S7,S8,Signal
Boron concentration,0.19543230289450159,0.2464984253584222,0.04682535818920014,0.4528445520771535,0.5765544578796747,0.2633171345172427,0.0,0.28606888852888523,D
Gravity anomaly,1.7368855639194626e-5,0.6111591055710032,0.01613783688025542,1.0,0.0,0.13349263278292361,0.030124698781015962,0.0,F
Magnetic intensity,0.10537069390387313,0.6929685866482785,3.415452171907954e-14,0.44701288700938446,0.5933753252335275,0.03239386647660327,0.3745303925813247,0.0,B
Volcanic dike density,0.0,0.7340029449160838,0.0,0.0,0.0,0.0,0.1733550736795761,0.0,C
Drainage density,0.07287957826553099,1.0,0.0,0.0,0.4003003427328143,0.473393647395585,0.0,1.0,A
Fault intersection density,0.5747576164135593,0.13985685256505534,0.0,0.0,0.0,0.2895192305277483,0.0,0.0,A
Quaternary fault density,1.0,0.0,0.0,0.13690517611922554,0.0,0.03672490593322835,0.0,0.0,H
Seismicity,0.0,0.0,0.0,0.013490909279768946,0.0,1.0,0.0,0.0,D
State map fault density,0.22159554968851874,0.0,0.0,0.0,0.0795852958009584,0.6623234567418858,0.30282527107253526,0.8898453535380989,C
Spring density,0.0,1.2601786844552418e-15,0.10358950454848666,0.0,0.26541629678746376,0.9569995070388644,0.03811085679947665,0.0,G
Volcanic vent density,0.4428168251440588,0.0,0.0,0.1135350368457193,0.14321742063296625,0.0,0.07311302997127438,0.11495553757850899,H
Lithium concentration,0.38133310219715644,0.36169773010019407,1.0,1.8829530781196744e-6,4.845434039501699e-6,3.070575242639495e-5,5.4912597192033993e-8,0.05859051356525878,D
Precipitation,0.0,0.1310772174959211,0.004624743480514213,0.0,0.004314602337931399,0.0,0.9623296385344736,0.7550755376399836,H
Silica geothermometer,0.25679472830756156,0.2937197471170228,0.0,0.5728501053265335,0.0,0.0,0.0,0.873450240899989,E
Hydraulic gradient,9.71974724829209e-6,0.0,0.0,0.04224538772648411,0.06034271087855305,0.5112471530211522,1.0,0.23137051556902813,E
Heat flow,0.0,0.1714407275390934,0.0,0.5280133713888535,0.2632842266666996,0.3083930901115115,0.08843443832691618,0.2680478565169982,G
Crustal thickness,0.013537218509949418,0.20883252223222804,0.0,0.0,1.0,0.18120941893589143,0.25404238912442795,0.23305707479312274,B
Depth to basement,0.030403405907513097,0.0,0.0,0.6992810252146895,0.2933136244102285,0.0,0.0,0.04620018706089955,E
