Name,X,Y,A,B,C,D,E,Signal
Alamos spr,35.06007978,-107.132374,0.17612264025728663,0.1501652565519385,0.8725351517067305,0.09646235898454693,0.08337435515890579,C
Sacred spr,34.90582063,-108.9664032,0.0,0.0,0.9357060339204694,0.0,0.08817546023620057,C
Rainbow spr,34.90653255,-108.9445631,9.408649966986479e-10,0.0,0.9428665081690492,0.0,0.14570797105543665,C
Laguna Pbl,34.84456635,-107.0830558,0.12170627406049711,0.21895004325188797,0.8549504568481859,0.244955204898194,0.0,C
Dent well,34.83805433,-108.8320045,0.06546946201523125,0.0,0.9271351215699539,0.0,0.17473113715333558,C
Jerry well,34.48149077,-108.7067822,0.08918534609793433,0.03135111235717038,1.0,0.0,0.035215967091455205,C
Pueblo well,34.53348434,-108.7744213,0.0,0.0,0.9710505738563056,0.0,0.1393540393764183,C
Ojitos spr,34.12501194,-106.9785008,0.49634194200798204,0.0,0.2881994551639589,0.8854841027356973,0.059218852668204855,D
Well 1,34.15003574,-108.3236553,0.17764452906977443,0.048170773234498344,0.7384133535432398,0.0,0.39406003165985937,C
Ojo Canas,34.03785708,-106.7815119,0.4906199625522591,0.0,0.2372813778291269,0.7079811863502325,0.020476425897908164,D
Socorro Can,34.05325124,-106.9551655,0.31722342408638476,0.0,0.23907322511203258,1.0,0.19166642133743642,D
Aragon spr,33.89254513,-108.5081617,0.0,0.06584111577380852,0.7577673139478189,0.07423765332837959,0.6951577813184865,E
Freiborn spr,33.71474239,-109.0185221,0.0,0.005265507701224792,0.35369656947484707,0.0,1.0,E
Ojo Caliente,33.57268338,-107.5905579,0.3658684331994342,0.13710633642435222,0.48966809500546543,0.0,0.3597674918739454,E
Victoria well,33.40490196,-106.8975047,0.484500085695365,0.3799971443040036,0.13054385669958396,0.0,0.0,B
Gila spr 1,33.23272251,-108.2455859,0.30748133457729054,0.01386537547745642,0.34640491513191196,0.02925878963001148,0.7795613927887571,E
Gila spr 2,33.23328042,-108.2241539,0.36971381670962783,0.03125365173449834,0.3734595731866565,0.010115208692794732,0.6959820029229183,E
Warm spr,33.28479029,-107.5605437,0.6493578690838285,0.1505460992340979,0.2913391898682224,0.15908008999610632,0.27610020331123375,A
Turkey spr,33.10029397,-108.4763133,0.6777245192633636,0.10611956096543523,0.11948870865574669,0.0012916414993502947,0.7944171895773185,A
T or C spr,33.12838501,-107.255928,0.8369906088673578,0.22887268999318214,0.0,0.411345728931138,0.0,D
Riverside well,32.93459903,-108.5980719,0.8342854943193628,0.0495229639498974,0.20549104137669486,0.02077927843945214,0.32352772342558545,A
Spring,32.95994845,-107.5725187,0.6769082284454888,0.24516097597434877,0.0,0.02227660546584595,0.5863025639317143,A
Cliff spr,32.9699912,-108.620893,0.6501922471730929,0.03478191399129773,0.16359673225228286,0.010420594773952243,0.4131617646654622,A
B.Iorio well,33.05549771,-107.2968987,0.8689857116858793,0.08980672371002323,0.0,0.409251938564057,0.0,D
Derry spr,32.80351607,-107.2690376,0.5784136667657732,0.26841424566324773,0.1346529290061803,0.1147844618504317,0.17427549168801204,A
Ash spr,32.81392736,-108.4010589,1.0,0.0,0.0,0.0,0.45812770304327116,A
Goat spr,32.83089057,-109.0422131,0.36952990283707443,0.33402976080645175,0.06995434153553078,0.027490775011616238,0.37578610418531827,A
Mangas spr,32.84699667,-108.5091049,0.8833644678563717,0.0,0.0,0.0,0.3663866843484421,A
Spring Can,32.88119541,-108.574546,0.6912348748630862,0.020389450801452613,0.1691058732644831,0.012632205925668168,0.46349297454163835,A
Allen spr,32.88712043,-108.3611214,0.9324760366355352,0.0,0.0287440714081613,0.0,0.7444972239842254,A
Mimbres spr,32.75570562,-107.8440603,0.5649779199470905,0.14693975490376068,0.15810843286382423,0.0,0.6900379818468954,A
Garton well,32.77702868,-107.6953191,0.6171926297239781,0.05317922579762535,0.05096100673850713,0.0,0.7420585605940164,A
Kennecott well,32.55301934,-108.0292645,0.5987788326345579,0.24950702612413891,0.014300955328378575,0.0,0.35735943169542783,A
Faywood spr,32.55403823,-107.9867174,0.6070203994320322,0.3365358623494754,0.04049322374232681,0.0,0.3280784898200439,A
Apache well,32.64048324,-108.1387645,0.7821260861653042,0.11243229970348805,1.6102751873721181e-9,0.0,0.2706226422604375,A
Radium spr,32.50270608,-106.9208891,0.3381876424073126,0.6256057594449898,0.05836965905564365,0.11339090560824248,0.045026106624719606,B
Well 4,32.24927086,-106.9792122,0.0,0.8480781598924511,0.0,0.20770380824206072,0.07873648026896878,B
Carne well,32.25659024,-107.5737009,0.1993409899446808,0.6273569191552499,0.0,0.0,0.11757816264092838,B
Los Alturas,32.27132749,-106.7036745,0.0,0.8153450846731775,0.0,0.0,0.20651080403655225,B
Well 2,32.2846619,-107.0224495,0.0,0.7888886622629673,0.0,0.19148873881864245,0.08110794870628861,B
Well 3,32.07547507,-107.6109744,0.2518800299711077,0.5928296295679403,0.0,0.0,0.1866233813175198,B
Well 5,32.1426885,-106.8708971,2.0986340450330417e-9,0.7779490181626114,0.06872915848974423,0.05683634363763491,0.0,B
Lightning Dock,32.15224481,-108.8424302,0.25985056543053847,0.6879446634472784,0.03477524658448048,0.0,0.15972779891247676,B
Fed H1 well,31.8515527,-107.0340698,0.12854493372052586,1.0,0.010568443415055436,0.15978597485576254,0.022002892706987486,B
