Name,S1,S2,S3
Boron concentration,9.170270208807308,5.993321174203958,2.737555999348044
Lithium concentration,16.938453016678075,6.856568185039886,4.144802919217972
Drainage density,19.60216947278537,0.21757730921894317,4.60162540771996
Spring density,4.2405813447527825,3.5e-323,4.818391534505421
Hydraulic gradient,9.203934885297722,0.2474301430488901,2.408676331526413
Precipitation,14.092622871064039,4.941202473874599e-22,1.33e-322
Gravity anomaly,4.676400754275164,11.726799497459266,1.4354464525804254
Magnetic intensity,12.91311026313067,5.547078607965213,1.9468183437948878
Seismicity,5.68156831361782e-202,3.5e-323,4.674584600882629
Silica geothermometer,8.621829636462094,8.1169052773138,1.136224691155799
Heat flow,6.575684687635343,5.490065987069253,1.4048175958994282
Crustal thickness,13.70241354367966,7.0e-323,1.6753127901802292
Depth to basement,1.9217534643905436,7.938333746017548,8.0e-323
Fault intersection density,1.2000445822054085e-297,1.1457953289307252,4.829443089495722
Quaternary fault density,6.0e-323,5.399452593970378,4.581007943211363
State map fault density,9.726564079351137,0.5451793066813667,4.092743394452328
Volcanic dike density,6.717708080027104,2.9882632454414503e-56,1.3784197757841732
Volcanic vent density,1.5786898411575259,3.2640427315024496,1.8313667047435016
