Name,S1,S2,S3
15-12,0.02828871073144268,0.03420659504934538,3.983219182088454e-15
17-31,0.027138618507079878,1.7981290848733208e-17,0.02427100550134754
18-1,4.141212481464959e-9,0.05221462012847068,0.014649000054680067
18-31,0.011217197977130267,0.03702487301524814,0.01855200795275212
18A-1,0.005912301307481763,0.04636661898396114,0.011120775810801169
18B-31,0.004908358710721071,0.037650162046787054,0.022875931100393338
18D-31,0.00034791012579882545,0.03357374464128406,0.031272200039823776
22-13,0.005859738734389367,0.015523396359909734,0.01935389097599873
26-12,0.03195216740215647,1.7981290848733208e-17,0.01952303835338313
27-1,0.02464968002328463,0.027154088777817748,1.4733168981107773e-17
27A-1,0.024649663248729647,0.02715409355060719,1.4733168981107773e-17
46-1,0.03256934004129,0.00838332374214959,0.01460149497847028
46A-1,0.03904275057888904,1.7981290848733208e-17,0.013964648315763186
47A-1,0.04775594193494637,5.216169670788948e-16,0.002620301321235359
47C-1,0.05198608342683086,1.7981290848733208e-17,1.4733168981107773e-17
48A-1,0.055251190747902426,1.7981290848733208e-17,1.4733168981107773e-17
55-1,0.02272239352047588,0.01829477912393058,0.026992221854449737
56-1,0.02836915791875333,0.00961021735647571,0.02482546106159605
56A-1,0.04438291625574576,0.018287377400378998,1.4733168981107773e-17
56B-1,0.06730314761988619,1.7981290848733208e-17,2.907655830997948e-6
57-1,0.03304776846910072,0.005539569715930421,0.025514876328082307
64-1,1.5371475243892166e-17,0.02626144448396102,0.03339477220462328
68A-1,0.015401393313824046,1.7981290848733208e-17,0.047459105310372535
68B-1,0.018906718757812205,0.007254792657055693,0.043570726963929406
77-1,4.592597304012503e-12,0.01893457829873392,0.051283651201729584
81-1,0.01622916437731265,0.018707484970600492,0.018202928048035062
81-11,0.0401286502902559,1.7981290848733208e-17,1.4733168981107773e-17
81A-1,0.019233448903132874,0.017893162019167175,0.015377467991195604
81B-1,0.002181830396542677,0.038897030205490776,0.02270205762803235
82A-11,1.5371475243892166e-17,0.05829224852808659,1.4733168981107773e-17
82A-11-RD1,1.5371475243892166e-17,0.05829224852808659,1.4733168981107773e-17
82A-11-RD2,1.5371475243892166e-17,0.05829224852808659,1.4733168981107773e-17
82A-11-RD3,1.5371475243892166e-17,0.05829224852808659,1.4733168981107773e-17
88-11,0.013065760013924666,0.029314690129551204,0.013793113062519815
B1,0.033942834418158534,1.7981290848733208e-17,0.019953689810292715
B2,0.030855533169054133,2.2138458850451107e-7,0.025707186454598144
B3,0.005585839733491433,1.7981290848733208e-17,0.04869144341884054
B4,0.0059977231843130144,0.0046339789925613755,0.042985857925472666
B5,1.5371475243892166e-17,0.03333796327081985,0.03301206565524897
B5A,0.004648418726906046,0.012004564722180476,0.040962135681808
B6,9.937107840319243e-7,0.024718609151219567,0.039746991868277036
B7,1.3867003621374936e-8,0.021108968711586656,0.05073910810492456
B8,0.043751033168623596,1.7981290848733208e-17,0.005550655708797064
BCH-1,0.02230829454642244,0.018816451747424027,0.008765428224408702
BCH-2,0.04936003536718744,0.0012422999768519861,4.785926855653826e-7
BCH-3,0.03022275847373883,0.03261764150701989,0.0001848167878349001
EE-1,0.04421217968605999,1.7981290848733208e-17,0.004274609944765378
MG-1(SP-1),1.5371475243892166e-17,0.01919535386596477,0.0482208801416057
MG-2(SP-2),1.5371475243892166e-17,0.02195710859535785,0.039743691292766045
MGI-1,0.016612314842678597,0.01352308947589206,0.03153052537749803
MGI-2,1.9624933235658523e-8,0.035428111829329374,0.044006851295126215
