Name,S1,S2
Normal stress,9253.712595386938,10806.903566949602
Coulomb shear stress,8880.391798709921,11078.573863493591
Dilation,11400.154257990584,10620.399587874233
Faulting,9949.788866352532,6094.031190656091
Fault dilation tendency,7353.0531789371,4037.0901646200996
Fault slip tendency,8770.42366573244,5457.774998051551
Fault curvature,2072.402677272096,1521.4793949088942
Temperature,16746.419297539982,10123.57790803767
Fault density,12095.251689371451,8561.647685671407
Fault intersection density,7852.274468835625,2945.0498138693874
Distance from contacts,4084.1475536379667,4669.53337704993
Distance from faults,1774.9284315789653,5191.492594459914
Unit thickness,8972.149033749905,8784.43913506793
Lithology,13000.740972945394,12430.633139357204
