Name,S1,S2,Cluster
Normal stress,0.5525785799920997,0.8693767602820941,A
Coulomb shear stress,0.5302860056785055,0.891231664493195,A
Dilation,0.6807517508931146,0.8543731818654107,A
Faulting,0.5941442579199088,0.49024302481918614,B
Fault dilation tendency,0.43908211351290183,0.3247694722675132,B
Fault slip tendency,0.5237193402305889,0.4390584885633409,B
Fault curvature,0.12375198783996337,0.12239757845412297,B
Temperature,1.0,0.8144056537220893,B
Fault density,0.7222589781415674,0.6887539507994953,B
Fault intersection density,0.4688927423421859,0.2369187297905952,B
Distance from contacts,0.24388184011598948,0.3756472678986482,A
Distance from faults,0.10598853402886545,0.4176370210800356,A
Unit thickness,0.5357652208712997,0.7066767264858868,A
Lithology,0.7763295987014477,1.0,A
