Name,X,Y,S1,S2,S3,Cluster
15-12,327137.93,4.40603467e6,0.4203177968913323,0.5868120704395856,7.767035085743109e-14,C
17-31,328813.04,4.40882204e6,0.4032295585988489,3.0846795762337753e-16,0.47326984199847655,B
18-1,327026.54,4.40703217e6,6.153074006068249e-8,0.8957386521693778,0.2856465893400745,C
18-31,328801.97,4.40871725e6,0.16666676632246988,0.635159458592658,0.3617528689557587,C
18A-1,327056.33,4.40703775e6,0.08784583658513534,0.79541654602019,0.21684836298134152,C
18B-31,328791.32,4.40871144e6,0.07292911081131648,0.6458862541328512,0.4460667398740484,C
18D-31,328751.91,4.40862911e6,0.005169299477102432,0.5759555599422012,0.6097888763187184,A
22-13,327161.72,4.4051245e6,0.0870648541949913,0.2663029262360705,0.377389100083147,A
26-12,327300.66,4.40579963e6,0.4747499713180651,3.0846795762337753e-16,0.38068737104125494,B
27-1,327256.49,4.40720478e6,0.3662485469847675,0.46582675164321824,2.872878322012081e-16,C
27A-1,327256.49,4.40720478e6,0.3662482977459789,0.4658268335201326,2.872878322012081e-16,C
46-1,327805.01,4.40748476e6,0.483920012556243,0.1438154120630688,0.28472026925371946,B
46A-1,327774.78,4.40740108e6,0.5801028920578003,3.0846795762337753e-16,0.27230214675690284,B
47A-1,327661.35,4.40729129e6,0.7095647621811351,8.948307540882856e-15,0.05109428170252798,B
47C-1,327746.25,4.4073085e6,0.7724168224707284,3.0846795762337753e-16,2.872878322012081e-16,B
48A-1,327704.9,4.40718065e6,0.8209302640635674,3.0846795762337753e-16,2.872878322012081e-16,B
55-1,328014.47,4.40772054e6,0.33761264255881623,0.3138458300354587,0.5263319054307,A
56-1,327963.43,4.40755491e6,0.42151309295333816,0.16486269785673613,0.48408138812001733,B
56A-1,327859.51,4.40755578e6,0.6594478538568656,0.31371885391533155,2.872878322012081e-16,B
56B-1,327891.35,4.40745289e6,1.0,3.0846795762337753e-16,5.669751983064507e-5,B
57-1,327931.46,4.40741438e6,0.4910285720327296,0.09503098363517963,0.49752456641039233,B
64-1,328156.6,4.40795433e6,2.2839162487179615e-16,0.4505134927383635,0.6511777422645175,A
68A-1,328229.72,4.40707921e6,0.22883615192572904,3.0846795762337753e-16,0.925423681782859,A
68B-1,328065.7,4.40706164e6,0.28091878948356647,0.12445552951281612,0.8496026695240441,A
77-1,328214.13,4.40718169e6,6.823748169922918e-11,0.32482154620628145,1.0,A
81-1,328567.28,4.40851194e6,0.2411352953203839,0.3209257738889036,0.354946023176703,A
81-11,326859.34,4.4069495e6,0.5962373486139749,3.0846795762337753e-16,2.872878322012081e-16,B
81A-1,328598.76,4.40855648e6,0.2857733937164319,0.3069561128791562,0.29985127093831,C
81B-1,328528.63,4.40843124e6,0.03241795478667935,0.6672762020279465,0.4426763129390191,C
82A-11,326907.12,4.40670723e6,2.2839162487179615e-16,1.0,2.872878322012081e-16,C
82A-11-RD1,326907.12,4.40670723e6,2.2839162487179615e-16,1.0,2.872878322012081e-16,C
82A-11-RD2,326907.12,4.40670723e6,2.2839162487179615e-16,1.0,2.872878322012081e-16,C
82A-11-RD3,326907.12,4.40670723e6,2.2839162487179615e-16,1.0,2.872878322012081e-16,C
88-11,326889.0,4.40544507e6,0.1941329711311169,0.5028917372337539,0.26895731367221043,C
B1,327745.53,4.40596877e6,0.5043275926686285,3.0846795762337753e-16,0.38908481246397214,B
B2,327721.65,4.40609786e6,0.45845601966968313,3.7978392341109076e-6,0.5012744968854937,B
B3,327738.97,4.40619405e6,0.08299522282433301,3.0846795762337753e-16,0.9494535252045077,A
B4,327778.14,4.40639034e6,0.08911504731081635,0.07949562951459342,0.8381980790794968,A
B5,327713.81,4.40629808e6,2.2839162487179615e-16,0.571910744783791,0.6437151973714308,A
B5A,327754.04,4.40637455e6,0.06906688455582081,0.20593758218807412,0.7987367264604304,A
B6,327848.36,4.40636567e6,1.4764700005476574e-5,0.4240462458625104,0.7750421613298965,A
B7,327784.51,4.40629935e6,2.0603796570842142e-7,0.3621230823068328,0.9893817408853554,A
B8,327603.56,4.40643766e6,0.6500592426333474,3.0846795762337753e-16,0.10823440957748857,B
BCH-1,328398.2,4.40887416e6,0.33145989950447674,0.32279509235876896,0.1709205179235187,C
BCH-2,327732.14,4.40800628e6,0.7333986167476502,0.021311581011554503,9.332266216435886e-6,B
BCH-3,327126.74,4.40600409e6,0.44905416080137167,0.5595536684659528,0.003603814929399313,C
EE-1,327575.0,4.40640489e6,0.656911024960689,3.0846795762337753e-16,0.08335229346192131,B
MG-1(SP-1),328194.09,4.4071925e6,2.2839162487179615e-16,0.3292951352994385,0.940277827565823,A
MG-2(SP-2),328128.08,4.4076273e6,2.2839162487179615e-16,0.37667287074675787,0.7749778021153387,A
MGI-1,327853.91,4.40678619e6,0.24682820091121746,0.23198778255013294,0.6148260632510236,A
MGI-2,327994.35,4.40709171e6,2.9159012512306193e-7,0.6077671169651188,0.8581068286659365,A
