Name,X,Y,S1,S2,S3,S4,Cluster
15-12,327137.93,4.40603467e6,0.38868369650228946,0.25592644771962936,3.633416190714637e-16,0.43224309417573814,D
17-31,328813.04,4.40882204e6,2.9212522157589353e-16,3.298019018515963e-16,0.7555163135255856,0.2496334478107741,C
18-1,327026.54,4.40703217e6,0.6645536939194907,0.286803856040219,3.633416190714637e-16,0.20018009290843014,D
18-31,328801.97,4.40871725e6,0.40591554773354227,7.093486801438206e-13,0.9168894263857548,0.0023559352573102425,C
18A-1,327056.33,4.40703775e6,0.6441673508775733,0.2146887859874364,3.633416190714637e-16,0.23442486802078757,D
18B-31,328791.32,4.40871144e6,0.43568067401397453,3.298019018515963e-16,0.8547824407155393,0.0008994680369679292,C
18D-31,328751.91,4.40862911e6,0.4177723313217136,0.3878875730158995,0.531585693320029,0.005086520482805448,A
22-13,327161.72,4.4051245e6,0.30675780190986385,0.5530881596223304,0.04097286984688717,7.44487007343801e-11,A
26-12,327300.66,4.40579963e6,2.9212522157589353e-16,1.2188044717638326e-6,0.5063193434435794,0.5075478786294144,B
27-1,327256.49,4.40720478e6,0.4725407479303151,3.298019018515963e-16,3.633416190714637e-16,0.3974242784191283,D
27A-1,327256.49,4.40720478e6,0.47254074764987986,3.298019018515963e-16,3.633416190714637e-16,0.3974240584650014,D
46-1,327805.01,4.40748476e6,0.004994849219601786,3.298019018515963e-16,0.4054322912630373,0.6012514266510255,B
46A-1,327774.78,4.40740108e6,2.9212522157589353e-16,3.298019018515963e-16,0.3380460425334776,0.6666134692032936,B
47A-1,327661.35,4.40729129e6,1.6172805448070319e-12,3.298019018515963e-16,0.3166597225923529,0.606330755994569,B
47C-1,327746.25,4.4073085e6,2.9212522157589353e-16,3.298019018515963e-16,3.633416190714637e-16,0.8830161733941797,B
48A-1,327704.9,4.40718065e6,2.9212522157589353e-16,3.298019018515963e-16,3.633416190714637e-16,1.0,B
55-1,328014.47,4.40772054e6,0.21170269849646503,0.17679641382211808,0.5687156105116702,0.36687429387363096,C
56-1,327963.43,4.40755491e6,0.010916992331835478,3.298019018515963e-16,0.7505311566343345,0.44477264474826417,C
56A-1,327859.51,4.40755578e6,0.2984309145298114,3.298019018515963e-16,3.633416190714637e-16,0.7545892586163249,B
56B-1,327891.35,4.40745289e6,2.9212522157589353e-16,3.298019018515963e-16,0.3060838552453484,0.8439097675634644,B
57-1,327931.46,4.40741438e6,1.0090383808495035e-14,3.298019018515963e-16,0.7221272354356711,0.511400439645225,B
64-1,328156.6,4.40795433e6,0.2807648289232385,3.298019018515963e-16,0.935919108580569,2.667077477480246e-16,C
68A-1,328229.72,4.40707921e6,2.9212522157589353e-16,1.0,0.5499228576528093,3.125594312799605e-14,A
68B-1,328065.7,4.40706164e6,0.008575747538725536,0.7994179867061036,0.543091216173377,0.19568602720137557,A
77-1,328214.13,4.40718169e6,0.1632394468630379,0.8311272406679096,0.2909616845987878,0.1909033393413483,A
81-1,328567.28,4.40851194e6,0.005354398784472897,3.298019018515963e-16,0.9566406449323073,0.04843677451699915,C
81-11,326859.34,4.4069495e6,2.9212522157589353e-16,3.298019018515963e-16,3.633416190714637e-16,0.7128521124286759,B
81A-1,328598.76,4.40855648e6,0.0010853951598246605,3.298019018515963e-16,0.9358702791714836,0.057671909128908315,C
81B-1,328528.63,4.40843124e6,0.4549934000422729,0.17270229462420175,0.6446478556512731,0.0005401813532253614,C
82A-11,326907.12,4.40670723e6,1.0,3.298019018515963e-16,3.633416190714637e-16,2.667077477480246e-16,D
82A-11-RD1,326907.12,4.40670723e6,1.0,3.298019018515963e-16,3.633416190714637e-16,2.667077477480246e-16,D
82A-11-RD2,326907.12,4.40670723e6,1.0,3.298019018515963e-16,3.633416190714637e-16,2.667077477480246e-16,D
82A-11-RD3,326907.12,4.40670723e6,1.0,3.298019018515963e-16,3.633416190714637e-16,2.667077477480246e-16,D
88-11,326889.0,4.40544507e6,0.4079552066433903,0.42410062056635695,7.70433857993783e-7,0.22656699557622126,A
B1,327745.53,4.40596877e6,2.9212522157589353e-16,0.5738305661734875,4.468315734672828e-16,0.5379229743631502,A
B2,327721.65,4.40609786e6,6.952727279547234e-5,0.2760557075364333,0.315181997290129,0.5975797583927602,B
B3,327738.97,4.40619405e6,2.9212522157589353e-16,0.8280361832545261,7.861528467959891e-7,0.3854029613097014,A
B4,327778.14,4.40639034e6,1.4096420350428005e-6,0.5713590290675585,0.6151308256494229,0.05462687152397295,A
B5,327713.81,4.40629808e6,0.4569617012948727,0.5436181218908446,0.35134993209577753,2.667077477480246e-16,A
B5A,327754.04,4.40637455e6,0.0626841745175795,0.6403240384059803,0.4675240586941969,0.10670368429997287,A
B6,327848.36,4.40636567e6,0.36912333295895233,0.8811830287008839,1.4832480030815008e-8,0.040592688877276586,A
B7,327784.51,4.40629935e6,0.317540614730161,0.8017271996736828,0.2474109916522178,0.0036202251817783835,A
B8,327603.56,4.40643766e6,1.5720624556428872e-13,3.3025551552475895e-5,0.42671685793365954,0.513111635920427,B
BCH-1,328398.2,4.40887416e6,0.28192546912612526,3.298019018515963e-16,0.2659049581089168,0.3509912487487672,B
BCH-2,327732.14,4.40800628e6,0.009271377452221605,3.298019018515963e-16,0.271369089718107,0.6306242614365931,B
BCH-3,327126.74,4.40600409e6,0.3539395326603693,0.28464142042736357,3.633416190714637e-16,0.45379129158293113,D
EE-1,327575.0,4.40640489e6,6.921336379656092e-13,0.0002470394697426939,0.38255418280500125,0.5303457694748785,B
MG-1(SP-1),328194.09,4.4071925e6,0.19878212970143827,0.9767062861941386,0.3410180825074001,1.041183202940401e-14,A
MG-2(SP-2),328128.08,4.4076273e6,0.20005521137919785,0.17807297803986294,0.9252530271184491,2.667077477480246e-16,C
MGI-1,327853.91,4.40678619e6,6.172751951358717e-6,0.2782013215885878,1.0,0.04021280131438127,C
MGI-2,327994.35,4.40709171e6,0.45431161550601895,0.6342591176529666,0.48372828953781016,0.0002734931260933751,A
