Name,X,Y,S1,S2,S3,S4,S5,Cluster
15-12,327137.93,4.40603467e6,2.504641437655762e-16,0.34535092138303275,0.46544926156222177,0.3314483096307533,6.706790109836976e-11,A
17-31,328813.04,4.40882204e6,0.516282795363312,3.554798502101221e-16,2.215705100234054e-6,0.6338448943538308,1.599555959095411e-13,C
18-1,327026.54,4.40703217e6,2.504641437655762e-16,0.7131063988584694,0.053288141937664874,0.27037606606703907,0.18255390072241423,E
18-31,328801.97,4.40871725e6,0.00938446489304025,0.42143113029690676,0.04451367592208602,0.967798597755567,0.00011578920655197363,D
18A-1,327056.33,4.40703775e6,1.5826084503855066e-8,0.7630777960996101,2.65551021458003e-16,0.26885265265357045,0.17288399894008213,E
18B-31,328791.32,4.40871144e6,0.0034203252263902218,0.4502698839695982,0.0240054260259997,0.9358947531106396,4.851496444563321e-7,D
18D-31,328751.91,4.40862911e6,1.5917766706660535e-5,0.3979877369040484,0.06846091338027338,0.600042935862975,0.2946494696222246,D
22-13,327161.72,4.4051245e6,2.504641437655762e-16,0.2260484898340347,6.411632697395862e-5,0.3366106759992144,0.29582511730681427,B
26-12,327300.66,4.40579963e6,0.22076393696454735,3.554798502101221e-16,0.37385512295081885,0.570868561045948,0.00044733627991139024,A
27-1,327256.49,4.40720478e6,0.059466300382881,0.49466006576507204,0.3727783189593015,4.3106905111920257e-16,2.8613497471255153e-16,A
27A-1,327256.49,4.40720478e6,0.05946424379292621,0.4946599970272567,0.3727799498063156,4.3106905111920257e-16,2.8613497471255153e-16,A
46-1,327805.01,4.40748476e6,6.275700673894676e-6,0.00036112442811398734,0.4943566817519602,0.7115646747890313,3.0138663823544663e-14,A
46A-1,327774.78,4.40740108e6,6.519296942631672e-5,3.6357304800348917e-10,0.5746519208415792,0.6085141426051698,1.1016560028182933e-15,A
47A-1,327661.35,4.40729129e6,0.4919190983685798,4.1479484539379476e-8,0.28840778889305907,0.27607047218482933,2.8613497471255153e-16,C
47C-1,327746.25,4.4073085e6,0.014600864865446437,7.037978229520213e-13,0.7540323169239178,0.30169951115394417,2.8613497471255153e-16,A
48A-1,327704.9,4.40718065e6,0.13831263043160197,2.904534753828805e-13,1.0,4.3106905111920257e-16,2.8613497471255153e-16,A
55-1,328014.47,4.40772054e6,0.4857143683629009,0.2082432005340102,2.8929781579377305e-5,0.6172074846082651,0.12131083693080698,C
56-1,327963.43,4.40755491e6,0.6351769253156517,0.00013802444418611843,5.627547932248543e-5,0.7412752719196056,2.8613497471255153e-16,C
56A-1,327859.51,4.40755578e6,0.0020770522773443678,0.25069184018158974,0.5862945984644508,0.4132077386057713,2.8613497471255153e-16,A
56B-1,327891.35,4.40745289e6,0.7904206937523441,5.64901636072391e-15,0.3641301332003523,4.564337887642418e-15,2.8613497471255153e-16,C
57-1,327931.46,4.40741438e6,0.5756490687816074,3.8464699897498644e-15,0.13089514152702036,0.694013986916314,2.8613497471255153e-16,C
64-1,328156.6,4.40795433e6,0.3814611153192583,0.2925352955817382,2.65551021458003e-16,0.37574667375917414,0.11986679468064702,C
68A-1,328229.72,4.40707921e6,0.3043942949668686,3.554798502101221e-16,0.0034576803841492696,4.3106905111920257e-16,1.0,B
68B-1,328065.7,4.40706164e6,1.676039689611267e-6,3.640581253737493e-6,0.33716711326917004,0.29013009991640776,0.7986275612536674,B
77-1,328214.13,4.40718169e6,5.617525649602762e-13,0.19559001200117074,2.65551021458003e-16,0.5619509793781616,0.7300316442022949,B
81-1,328567.28,4.40851194e6,0.03839815593179942,5.444636217993393e-6,0.09171930812849038,1.0,2.8613497471255153e-16,D
81-11,326859.34,4.4069495e6,0.26628348795758533,1.2098779338117103e-10,0.48688503835313457,4.3106905111920257e-16,2.8613497471255153e-16,A
81A-1,328598.76,4.40855648e6,0.08316172462174802,2.0058810768235656e-6,0.05756207372027818,0.9620241691347746,2.8613497471255153e-16,D
81B-1,328528.63,4.40843124e6,7.448953117633422e-6,0.44059321108751887,0.024607606165680345,0.7590228255609063,0.12082689503339362,D
82A-11,326907.12,4.40670723e6,2.504641437655762e-16,1.0,2.65551021458003e-16,4.3106905111920257e-16,2.8613497471255153e-16,E
82A-11-RD1,326907.12,4.40670723e6,2.504641437655762e-16,1.0,2.65551021458003e-16,4.3106905111920257e-16,2.8613497471255153e-16,E
82A-11-RD2,326907.12,4.40670723e6,2.504641437655762e-16,1.0,2.65551021458003e-16,4.3106905111920257e-16,2.8613497471255153e-16,E
82A-11-RD3,326907.12,4.40670723e6,2.504641437655762e-16,1.0,2.65551021458003e-16,4.3106905111920257e-16,2.8613497471255153e-16,E
88-11,326889.0,4.40544507e6,2.504641437655762e-16,0.40872001237027333,0.09533068096920842,0.5820875861924815,0.06998676155010504,D
B1,327745.53,4.40596877e6,0.3718393357597444,3.554798502101221e-16,0.3112348852658029,0.03942522156347043,0.34877361990006717,B
B2,327721.65,4.40609786e6,0.8489101057236761,0.008869219241012697,0.004224655906776932,0.05704697454467706,0.1915230601226103,C
B3,327738.97,4.40619405e6,0.4217584518647311,1.0958984168588041e-12,0.0066126411158947355,1.537171839688879e-11,0.6398462009246416,B
B4,327778.14,4.40639034e6,0.2423382056030852,2.583420527843436e-6,0.005771738484034307,0.4644218171181929,0.4765574025935784,B
B5,327713.81,4.40629808e6,2.504641437655762e-16,0.46562205105203147,2.65551021458003e-16,0.39481228927902523,0.4610726146112417,B
B5A,327754.04,4.40637455e6,0.06290060133780191,0.012714488107630966,0.1301418122589238,0.4224852910484952,0.5995877637173856,B
B6,327848.36,4.40636567e6,0.020834791954034603,0.38065078341556924,0.1740296734414004,1.2927125991022698e-10,0.6403936038885991,B
B7,327784.51,4.40629935e6,0.07675327660108033,0.32469223024507704,0.02079393134751749,0.14592966474079797,0.6283841408300264,B
B8,327603.56,4.40643766e6,1.0,7.08719037462873e-11,2.65551021458003e-16,4.3106905111920257e-16,2.8613497471255153e-16,C
BCH-1,328398.2,4.40887416e6,1.1590741225454968e-13,0.2379214692195052,0.4466986475176281,0.28710498197603335,2.8613497471255153e-16,A
BCH-2,327732.14,4.40800628e6,0.48461746605280276,3.804622796629767e-8,0.47914359986757504,4.3106905111920257e-16,2.8613497471255153e-16,A
BCH-3,327126.74,4.40600409e6,2.504641437655762e-16,0.31177190796777127,0.5141703122009839,0.26096133555548423,0.050140247263739175,A
EE-1,327575.0,4.40640489e6,0.9847063604829296,2.2397379902281768e-10,2.65551021458003e-16,4.3106905111920257e-16,2.8613497471255153e-16,C
MG-1(SP-1),328194.09,4.4071925e6,0.18961387015467954,0.19132003918180593,0.13982267407977092,4.3106905111920257e-16,0.7556970892221242,B
MG-2(SP-2),328128.08,4.4076273e6,0.3827122209703373,0.19788086966136614,2.65551021458003e-16,0.34496830685949603,0.29483059833270064,C
MGI-1,327853.91,4.40678619e6,0.4104954396996189,4.0015102010006564e-5,0.0034217745677670784,0.6675616004598356,0.2479329394342302,C
