Name,X,Y,S1,S2,S3,S4,Cluster
15-12,327137.93,4.40603467e6,0.8102757247183642,0.4825548744410003,0.30974757991089397,0.858427319384099,B
17-31,328813.04,4.40882204e6,0.37107391916941734,0.09735175781682873,0.2286790530021363,0.34279168390100545,A
18-1,327026.54,4.40703217e6,0.6354668183357942,0.5487465163719442,0.4176725515551421,0.7896851874178056,B
18-31,328801.97,4.40871725e6,0.27692548516510157,0.023171824307818546,0.17103015285322587,0.12913265212555286,A
18A-1,327056.33,4.40703775e6,0.5354604788064595,0.5675307115642226,0.4723671478897388,0.7699039996030502,B
18B-31,328791.32,4.40871144e6,0.3665153015705207,0.02364948162325509,0.1652023776144262,0.18539937309085086,A
18D-31,328751.91,4.40862911e6,0.3208388764711677,0.04861142828492868,0.14949051966744997,0.23225352564372725,A
22-13,327161.72,4.4051245e6,0.2870381948800437,0.6526797361669445,0.18247132062914256,0.6810492720448057,D
26-12,327300.66,4.40579963e6,0.46050664234869115,0.2330206610464642,0.3238650925383763,0.6181664869216815,B
27-1,327256.49,4.40720478e6,0.44523178967003474,0.3867859318808998,0.5855098062316741,0.6622254076497103,B
27A-1,327256.49,4.40720478e6,0.44523818436279783,0.3867946466166158,0.5854950854110781,0.6622239556827354,B
46-1,327805.01,4.40748476e6,0.5010994319518158,0.16812771347833164,0.5944434256783196,0.3927207798523401,A
46A-1,327774.78,4.40740108e6,0.44973494859355534,0.19271845594380355,0.6313120030134343,0.36394814910046847,C
47A-1,327661.35,4.40729129e6,0.5059917813317459,0.22428602569979186,0.8515079310924621,0.6273974593559618,C
47C-1,327746.25,4.4073085e6,0.4330306316607131,0.17091929113491713,0.7597063085201263,0.45871305994908196,C
48A-1,327704.9,4.40718065e6,0.11997385490505327,0.12663309849709065,0.6213898958949589,0.15616751080827018,C
55-1,328014.47,4.40772054e6,0.9440747909922307,0.04315368722843302,0.3904172782261153,0.7295205738165798,A
56-1,327963.43,4.40755491e6,1.0,0.19418974598291522,0.6367677659996197,0.7129200774785075,A
