Name,S1,S2,S3,S4,S5,S6
15-12,3.1552857148912425e-17,9.653025402829835e-8,0.033512553475517945,3.009199922211662e-17,3.1677367724992734e-16,0.08329992134004849
17-31,0.031188249480697067,4.5356969915600945e-17,3.107803352286776e-17,0.052069221566094955,0.005463536383099614,0.005112118006732676
18-1,0.008369246643373173,0.04609251073851235,0.04452452418943689,3.009199922211662e-17,0.01948984921830811,3.477906508605562e-17
18-31,0.049189378327205026,4.5356969915600945e-17,0.034934890120819254,0.00805149718753169,0.010562576882951381,0.0018935212216918188
18A-1,3.1552857148912425e-17,0.037160607698992744,0.04669737007445365,3.009199922211662e-17,0.024085234098102454,3.477906508605562e-17
18B-31,0.04615204426702981,4.5356969915600945e-17,0.03953208534876282,0.007472565176596365,0.006802377315857742,0.002768502533824864
18D-31,0.03676384996669697,0.022919875412258657,0.034477486888217244,9.319496808636638e-9,0.021270103071884434,0.007280316467739096
22-13,0.03902580280470906,4.5356969915600945e-17,0.018546847470938984,3.009199922211662e-17,0.009408198819595065,0.0090198558284415
26-12,0.022473747385482554,4.5356969915600945e-17,3.107803352286776e-17,0.020653618898606358,0.01950207610715054,0.0480607521887823
27-1,3.1552857148912425e-17,4.5356969915600945e-17,0.05398231395116379,5.118975993806427e-5,2.8544690672837127e-17,0.042786127826654266
27A-1,3.1552857148912425e-17,4.5356969915600945e-17,0.053981518858773316,5.250717057559766e-5,2.8544690672837127e-17,0.042785432108963004
46-1,0.03305786705925514,4.5356969915600945e-17,3.107803352286776e-17,3.009199922211662e-17,0.06751380850001765,0.016924136107088802
46A-1,0.028346295352922254,4.5356969915600945e-17,3.107803352286776e-17,3.009199922211662e-17,0.07051780595570822,0.022147954912994063
47A-1,7.621405296343272e-6,4.5356969915600945e-17,3.107803352286776e-17,0.03557070452894111,0.05891851564850503,3.431743987823476e-13
47C-1,3.7701560047500727e-6,4.5356969915600945e-17,3.107803352286776e-17,3.009199922211662e-17,0.07324166072593333,0.03806103003212308
48A-1,3.1552857148912425e-17,4.5356969915600945e-17,3.107803352286776e-17,0.005745314042616502,0.0752966584522963,0.05518033825663457
55-1,0.03115108646457446,0.0194002532868372,0.016004735944245344,0.03776255489863956,0.027271160538132708,0.007666366513798563
56-1,0.03395928926587446,4.5356969915600945e-17,1.165701837445242e-6,0.055557703102163514,0.03270054017021391,4.711173231899548e-12
56A-1,3.1552857148912425e-17,4.5356969915600945e-17,0.033565287162623685,3.009199922211662e-17,0.047466334859041184,0.04666165317286111
56B-1,3.1552857148912425e-17,4.5356969915600945e-17,3.107803352286776e-17,0.05479934155288819,0.05541800685468984,0.00522995879724306
57-1,0.03719114014834348,4.5356969915600945e-17,3.107803352286776e-17,0.0451943640148016,0.034333802792694317,0.018495394893698912
64-1,0.04483332189832627,4.5356969915600945e-17,0.02078011250077743,0.040572702039009284,2.8544690672837127e-17,3.477906508605562e-17
68A-1,0.023947094145847145,0.05780091046363953,3.107803352286776e-17,0.0511990360380385,2.8544690672837127e-17,0.0227226807841222
68B-1,0.04342777812221875,0.08245471880965739,6.033502429416177e-7,0.015501546919935896,2.8544690672837127e-17,0.0473906775086761
77-1,0.0274498084706532,0.07857806959679633,0.0193153181180334,3.009199922211662e-17,0.03724240571719205,3.477906508605562e-17
81-1,0.05356725668891254,4.5356969915600945e-17,1.566797576432553e-9,1.4841791576763095e-7,0.025801517953213254,0.021600346265022333
81-11,3.1552857148912425e-17,4.5356969915600945e-17,3.107803352286776e-17,0.019199033345046832,0.0343245891182389,0.03758722100708623
81A-1,0.0541029168693281,4.5356969915600945e-17,4.727654364474323e-13,9.054647087805821e-7,0.026156510529872994,0.015743601183095833
81B-1,0.04488159885130067,0.01307251589821717,0.036782325732537084,3.622802811441943e-10,0.0015850992288583053,0.021017403361505954
82A-11,3.1552857148912425e-17,4.5356969915600945e-17,0.06696278714141729,3.009199922211662e-17,2.8544690672837127e-17,3.477906508605562e-17
82A-11-RD1,3.1552857148912425e-17,4.5356969915600945e-17,0.06696278714141729,3.009199922211662e-17,2.8544690672837127e-17,3.477906508605562e-17
82A-11-RD2,3.1552857148912425e-17,4.5356969915600945e-17,0.06696278714141729,3.009199922211662e-17,2.8544690672837127e-17,3.477906508605562e-17
82A-11-RD3,3.1552857148912425e-17,4.5356969915600945e-17,0.06696278714141729,3.009199922211662e-17,2.8544690672837127e-17,3.477906508605562e-17
88-11,0.014660230884409303,4.5356969915600945e-17,0.03628725706390853,3.009199922211662e-17,0.02349309766827071,0.013025313864574155
B1,3.1552857148912425e-17,4.5356969915600945e-17,3.107803352286776e-17,0.03430364282789174,0.03946366938956871,0.033823884578106235
B2,0.0005171733593403744,4.5356969915600945e-17,3.5997859094581665e-8,0.09570246684254602,0.011214722034013547,0.002073272400002147
B3,3.1552857148912425e-17,0.06584239711230483,3.107803352286776e-17,0.025950462464780825,0.041525408383524365,0.0009033056905746163
B4,0.030542224392885058,0.06132263773038795,3.107803352286776e-17,0.020659762738798097,0.016600171250104927,0.02229155237139539
B5,0.035839489474787115,0.0732036275922156,0.03212245536186128,3.009199922211662e-17,2.8544690672837127e-17,3.477906508605562e-17
