Name,S1,S2,S3,S4,S5
Normal stress,2238.2355358558007,2491.568088870771,5266.933350677251,4910.775610049801,4770.791350264531
Coulomb shear stress,1995.450637065996,2631.296435399578,4989.704849562527,4545.282133302837,5309.64458521207
Dilation,2097.0582495525578,5169.498571471323,2744.6511392156767,6177.7788865249895,5437.128116436519
Faulting,1176.556981399811,7664.2421126171985,2221.004212323896,6823.22682479664,7241.409492318701
Fault dilation tendency,2046.739961383009,4162.16243535358,4481.334481391732,3173.1741730399604,2051.037920805914
Fault slip tendency,1393.1033910217454,3126.216201591432,3006.5117021448527,2296.5117600187705,1438.4636239936458
Fault curvature,1800.2733319554595,3708.581529980277,3967.545389657045,2916.7827322618527,1810.6925267874458
Temperature,431.02020615464653,1072.9959378764077,785.5174407807135,805.2041031404336,506.9052270136695
Fault density,1895.261892636944,9991.427793967716,2680.333322022441,7411.463573651256,4553.309361453886
Fault intersection density,1945.475166283749,5910.271533484762,5736.772154134504,5379.436822495654,1740.0115591422255
Inverse distance from contacts,3260.2663119494905,2311.0629996802836,499.3443902964422,3416.602106359754,1279.5357112801594
Inverse distance from faults,4.697718040183499,7.36514907473459,6.183731852322494,2.3410658616478686,6.707347639182727
Unit thickness,1234.089692699216,2551.9460879737017,1626.200409935695,2110.9514229275433,970.7947638382624
Lithology,2207.6963871650155,3222.2884641256096,2581.9620171114766,2845.4372147256745,5841.327942244167
