Name,S1,S2,S3,S4,S5,S6
Normal stress,1100.5931456135088,1882.1674815870751,4768.415943643374,3673.537082812973,4470.398455182463,3795.2871257527836
Coulomb shear stress,1605.8231820626706,1616.7354498175746,5233.967847372384,3368.3730903134547,4257.817891865617,3638.675108773797
Dilation,2668.8117127170212,1929.3912395319392,5482.01174938895,4339.78344474498,5519.8132000535425,1497.7952991959514
Faulting,5295.134110228889,1077.1254030448213,6995.936229420271,5073.366601726822,5520.385130450601,1208.3276925821124
Fault dilation tendency,3026.351702232486,1595.2087232603822,1883.9274658744512,2319.1913838325213,3763.1570310706484,3772.5731916784434
Fault slip tendency,2222.385678466012,1103.939961235435,1315.8327189053157,1746.2486289767585,2586.114207088747,2573.925275898737
Fault curvature,2670.630145936449,1403.106827351973,1653.9446375854627,2124.048410774329,3407.8387746648186,3355.96398586532
Temperature,821.7972967806802,370.7143203058666,484.23830800915215,548.644202880774,948.8602941706866,534.6442130533401
Fault density,6832.198590994184,1965.1881653981964,4353.076257059894,5600.622880809458,6121.574284149271,1618.7385193884404
Fault intersection density,3047.724631061949,1664.2334073871,1728.1117075167685,4817.321028159615,4952.014523401996,4318.74695466948
Inverse distance from contacts,208.2400130941517,3168.2831407620542,1382.7847658965181,4116.412300266469,1363.0164542541972,318.567794627009
Inverse distance from faults,7.662094599632117,4.233080995381664,6.291230874230416,2.3160318641128086,1.860473578564795,5.2739094369775446
Unit thickness,2273.583057290824,997.0266144701698,806.4434755953772,1267.505358805595,1983.871826090359,1461.6275889097199
Lithology,2957.3194525107183,2198.3723903416594,5575.514125220687,2592.60759635074,1780.3993024568874,2000.238421213895
