Name,S1,S2,S3,S4,Cluster
Normal stress,0.43754148509705565,0.6574446785044289,0.9665472278317631,0.6999021585323966,B
Coulomb shear stress,0.39149881504580203,0.7206750192314691,1.0,0.6419550208011977,B
Dilation,0.6152002848364397,0.7504815759059946,0.505983321141644,0.8578503104130083,C
Faulting,0.6882296084739155,1.0,0.4322645728764086,0.9429173250774942,C
Fault dilation tendency,0.5317479845955644,0.3076304056880544,0.9320265462571615,0.5029770977225837,A
Fault slip tendency,0.3991148867377642,0.21343746612382744,0.632465280786544,0.3523361555181433,A
Fault curvature,0.4762784465245969,0.2675037964674785,0.8249028753800672,0.4590849648496183,A
Temperature,0.12299869653720029,0.07388602496063401,0.18604041070597907,0.11529694043197067,A
Fault density,1.0,0.6506147789416948,0.6233307547173516,1.0,C
Fault intersection density,0.7604539243517665,0.2479649262937178,0.9946043731652008,0.828620515119494,A
Inverse distance from contacts,0.5983396765271541,0.1839191236011196,0.07731183277225125,0.4279764309279416,D
Inverse distance from faults,0.0006971283961509621,0.0008677314889404529,0.001407174932730653,0.0005085356135201477,B
Unit thickness,0.2996254441333943,0.1565779258426694,0.43521687871966247,0.27771655188302047,A
Lithology,0.4573511361800395,0.8195194815290638,0.5561813190663195,0.36900157834786657,B
