Name,X,Y,S1,S2,Cluster
15-12,327137.93,4.40603467e6,0.8351855662093661,2.1303508277663084e-16,B
17-31,328813.04,4.40882204e6,9.490812591779701e-7,0.7318622578135153,A
18-1,327026.54,4.40703217e6,0.5451368818685886,0.27288140820422363,B
18-31,328801.97,4.40871725e6,1.0,0.03241781351588697,B
18A-1,327056.33,4.40703775e6,0.4327640356599012,0.3380665406999463,B
18B-31,328791.32,4.40871144e6,0.76414304849983,0.30236105188178175,B
18D-31,328751.91,4.40862911e6,0.7282762630861248,0.3546262938854867,B
22-13,327161.72,4.4051245e6,0.6074018780701691,1.006783514196456e-5,B
26-12,327300.66,4.40579963e6,0.41628375636277454,0.3751586019716894,A
27-1,327256.49,4.40720478e6,0.757230739345397,1.7440916881681729e-10,B
27A-1,327256.49,4.40720478e6,0.7572308927740412,1.767826143765026e-10,B
46-1,327805.01,4.40748476e6,0.5302851772279681,0.36000628989564104,B
46A-1,327774.78,4.40740108e6,0.4953820648989299,0.3969536883541678,B
47A-1,327661.35,4.40729129e6,0.16511733285129615,0.6407550478121716,A
47C-1,327746.25,4.4073085e6,0.5814774511429293,0.2941632012865264,B
48A-1,327704.9,4.40718065e6,0.38203942292695975,0.3779301626066449,A
55-1,328014.47,4.40772054e6,0.33145282133044646,0.6824720511097944,A
56-1,327963.43,4.40755491e6,0.17062782152289377,0.7799865384337215,A
56A-1,327859.51,4.40755578e6,0.7533414734956689,0.25445457645115277,B
56B-1,327891.35,4.40745289e6,0.003675650901356525,0.7737763776926462,A
57-1,327931.46,4.40741438e6,0.2655488736860678,0.7568644432214707,A
64-1,328156.6,4.40795433e6,0.28857357762213004,0.5111365498303178,A
68A-1,328229.72,4.40707921e6,0.24420481292539595,0.6877263205963061,A
68B-1,328065.7,4.40706164e6,0.45126306543934847,0.6010671362476251,A
77-1,328214.13,4.40718169e6,0.29915778269090665,0.6933797464343388,A
81-1,328567.28,4.40851194e6,0.5224633778373442,0.3256452693602754,B
81-11,326859.34,4.4069495e6,0.49191199120164053,0.15850561826630563,B
81A-1,328598.76,4.40855648e6,0.5505637109731141,0.2691259128010192,B
81B-1,328528.63,4.40843124e6,0.8238914176229788,0.20455381244408166,B
82A-11,326907.12,4.40670723e6,0.5969661240543843,2.1303508277663084e-16,B
82A-11-RD1,326907.12,4.40670723e6,0.5969661240543843,2.1303508277663084e-16,B
82A-11-RD2,326907.12,4.40670723e6,0.5969661240543843,2.1303508277663084e-16,B
82A-11-RD3,326907.12,4.40670723e6,0.5969661240543843,2.1303508277663084e-16,B
88-11,326889.0,4.40544507e6,0.6063762996738004,0.12504810008503925,B
B1,327745.53,4.40596877e6,0.3892246975132752,0.41346108685530664,A
B2,327721.65,4.40609786e6,0.7930812808124216,0.17045184662436208,B
B3,327738.97,4.40619405e6,4.7102586631634467e-7,0.9047263340878825,A
B4,327778.14,4.40639034e6,0.06760331213518127,0.9104229129521495,A
B5,327713.81,4.40629808e6,0.3779727492495465,0.46719784982798673,A
B5A,327754.04,4.40637455e6,0.17225767501880263,0.7823273209192326,A
B6,327848.36,4.40636567e6,0.39465536770505344,0.6569869185887235,A
B7,327784.51,4.40629935e6,0.1802927754690003,1.0,A
B8,327603.56,4.40643766e6,6.329957811240033e-6,0.7560428362838654,A
BCH-1,328398.2,4.40887416e6,0.5851137368349503,0.14674734360744202,B
BCH-2,327732.14,4.40800628e6,0.3782946681926296,0.41540059225703635,A
BCH-3,327126.74,4.40600409e6,0.8590575368346982,1.4189725889729548e-15,B
EE-1,327575.0,4.40640489e6,6.339982493482434e-5,0.7468246557437771,A
MG-1(SP-1),328194.09,4.4071925e6,0.33943700094202994,0.5969715675429146,A
MG-2(SP-2),328128.08,4.4076273e6,0.28588601869721386,0.5536296109010483,A
MGI-1,327853.91,4.40678619e6,0.28119446710138224,0.7181306535242947,A
MGI-2,327994.35,4.40709171e6,0.5790186992441572,0.7675920343186569,A
