Name,S1,S2,S3,S4,S5
15-12,1319.7206511986892,408.60747382499915,1129.8364494547316,251.54730340807583,794.1694138329607
17-31,503.66775755831327,374.2035024525583,385.16596746168574,330.2668480474514,352.3006221071016
18-1,1258.1010723064805,466.74825174457953,754.1660333490966,646.4077169878215,897.1952210730935
18-31,415.75000757686485,288.951010073106,260.72325806772875,217.29627106611656,161.13366054592376
18A-1,1291.920099551973,345.2061788035964,664.6619727836015,683.8237366331064,863.9704030367955
18B-31,441.798411619726,391.9936403440828,345.4415147354538,238.4862738153077,218.26717938107834
18D-31,521.4002069398426,319.4050317312471,317.35568853418505,118.82168653358211,246.6989076483975
22-13,538.4144395037808,259.26478184999627,339.70715769734943,305.1731132234934,1396.6541619100449
26-12,666.4375736511108,319.4100324301277,554.3751903729287,568.0656363435118,577.5604068449524
27-1,1587.5927329344722,273.25919174113596,542.7377516044785,545.127326736713,590.7825252729704
27A-1,1587.5941258430687,273.2591914574154,542.7382161533127,545.1256561606505,590.7830558547737
46-1,1055.0463915357786,280.5434972754201,658.3186835934466,890.0539890133243,305.1278927159447
46A-1,1037.4821490239115,329.1445056421559,542.0836615463079,967.8967213618942,291.00019470762084
47A-1,1254.8420390490355,359.3205364678797,638.8056699503757,1338.591501579462,414.9414549624595
47C-1,1108.7290656451673,217.04878026643286,591.4709501348403,1144.071750689357,333.47548089712836
48A-1,771.3301464427043,51.7631889071033,167.37487740982195,826.1486623083779,187.54440890109436
55-1,589.808085819815,783.3146463697152,1105.2519981457033,1122.963813760121,453.7534319802838
56-1,1058.7212423773371,512.8604951430267,1350.8227808038673,1318.3703714490205,637.6425930349321
56A-1,986.4006113009559,671.4302563686699,845.319493616759,1101.1260580948704,356.52127158034455
56B-1,824.6076808242758,150.64383483146003,354.3709540690761,729.1945650423233,167.76434720455603
57-1,1413.9131879882923,632.9862684299127,1204.7454231307133,1408.8516527309318,670.4328524434592
64-1,504.71908140519804,427.3134061759847,615.1701699151442,1945.9929293277542,617.577894751869
68A-1,1054.89348187601,460.54113410605237,849.5619671843293,1503.2671479413948,989.313075722931
68B-1,917.2994104872163,449.1779320863084,1001.0414944984698,1541.8354388176904,527.9581085997129
77-1,1071.4747270440555,796.8864431710538,897.1714367305381,1452.3442465131122,927.112900194795
81-1,372.27915581676575,272.3724106717326,227.592418899449,223.90437008873812,176.31016045402265
81-11,938.1893037345387,0.042603107364000505,579.0863509870114,202.609640523064,345.8871850657361
81A-1,353.8984285136976,248.15430102502484,195.13340204794372,234.2172965054818,132.41457948522884
81B-1,386.905436292438,290.7132334763144,363.5460016443266,157.40061916226733,185.2682675294368
82A-11,1180.476430671839,67.5197092105768,309.79491662097956,214.03860728643488,1018.5500766832923
82A-11-RD1,1180.5194461102978,67.51986911839288,309.810921427503,213.96791691973715,1018.5615868971917
82A-11-RD2,1180.499820830454,67.51897169076953,309.8096720618929,213.9928824613662,1018.55839342864
82A-11-RD3,1180.5175614726722,67.51949186583204,309.80677837453186,213.97601558329532,1018.5598931767911
88-11,928.5463372865552,386.3223098070273,695.4098986788487,345.3960402255724,1154.3825842986164
B1,432.8387738016886,419.06646329395153,535.2693601192354,804.0199417299707,787.5719112295124
B2,121.69289028206447,1.6107620150423048e-13,2.690745713065682e-13,153.67817576499073,85.6315716422745
B3,265.0202683918589,147.98071145790053,137.02839011855622,379.2213779227103,218.07104632884426
B4,339.55043741137376,243.2848654015927,332.4460702393942,486.0495799248117,145.63132791810017
B5,778.4591796100904,359.0357071807612,519.5133541092316,1038.831976172543,534.7278860867744
B5A,493.7233248342234,421.7542613929364,483.86214897352716,678.1226173392149,292.2853045776503
B6,297.60664318640795,304.05620294877417,249.83650934769625,375.03426613944384,218.442210737253
B7,110.6362133276749,186.43054908241552,148.18773024478986,163.31697722571153,34.28548280006119
B8,1139.0673739714164,331.88590364810364,472.4789481045806,1661.4350681509748,480.40552027218064
BCH-1,715.2103348670852,282.07043069524957,833.4415293953973,684.1454202834411,380.3076851914547
BCH-2,945.923838535357,424.80884893050245,865.621264419804,1257.3661181985437,519.1289364936305
BCH-3,1307.6267895612505,410.1105171074275,1239.6542556939648,246.7250839258524,811.3486374097628
EE-1,1200.340793302138,325.50889427537817,452.2305645366008,1579.4200510313729,478.22924978816707
MG-1(SP-1),1111.8615397323433,544.3209668255967,761.522642469927,1509.29333153039,885.329911574658
MG-2(SP-2),767.994978795823,388.71596899046085,799.0688418960401,1518.9604038911275,853.0802479896399
MGI-1,293.6262094762314,166.38522826087703,200.76744561182684,515.7022664607133,82.7918073174399
MGI-2,228.59285441672125,256.50088446177807,328.95756669668106,333.68603714602483,48.82473078093768
