Name,S1,S2,S3,Cluster
Normal stress,0.6700941117327404,0.3898526257377573,0.6602948181275085,A
Coulomb shear stress,0.7351321934737431,0.3597305393544087,0.6443222871016667,A
Dilation,0.7498654986633764,0.6388535661026127,0.5350282551197001,B
Faulting,0.985247289539827,0.7675792227361047,0.5345906423397448,B
Fault dilation tendency,0.3696864767189658,0.4077131764321101,0.5582371374230228,A
Fault slip tendency,0.25496025968670777,0.3028248963559372,0.3867071815893109,A
Fault curvature,0.3241875635850431,0.3673087815731347,0.4984874993478902,A
Temperature,0.08523298516281677,0.10747603144692983,0.11403919059099914,A
Fault density,0.6429270470942129,1.0,0.6210405226130904,C
Fault intersection density,0.23666229674294095,0.6846297388940962,0.7154846814775291,A
Inverse distance from contacts,0.21334038705413003,0.5635205569342896,0.16893413326750367,C
Inverse distance from faults,0.928229360086841,0.8173978717709338,1.0,A
Unit thickness,1.0,0.7585716674684532,0.8833870459018012,A
Lithology,0.8737488121220969,0.44361185149460053,0.30308187682494225,B
