Name,S1,S2,S3,S4,Cluster
Normal stress,0.30966598835444564,0.5554598571708894,0.7704497032408629,0.6928443786751128,C
Coulomb shear stress,0.3001501065214247,0.5252409113007201,0.729261750357388,0.7654308005779646,C
Dilation,0.6140330887006957,0.6766656612776246,0.5405200444594493,0.7282692477295456,B
Faulting,0.8354990354441738,0.6891136905877912,0.49607914761457633,0.9385065240010729,B
Fault dilation tendency,0.5195384766933516,0.4436315295416158,0.49002620537933056,0.36218217794129687,A
Fault slip tendency,0.3798879058776717,0.32371895532912204,0.3329475251140809,0.24882188715422868,A
Fault curvature,0.47014564636101885,0.38339378251099704,0.44029590657423634,0.31975695258008235,A
Temperature,0.13034511794076137,0.08815133277232046,0.0989828120487289,0.08933096886393779,A
Fault density,1.0,0.914630793875994,0.542600030316798,0.5934868819867802,A
Fault intersection density,0.614250297404381,0.7263655976120584,0.7794626764432386,0.22975889481122322,A
Inverse distance from contacts,0.10798939490042098,1.0,0.23501960658694462,0.14495966555398415,D
Inverse distance from faults,0.8617112512408104,0.974711464237799,1.0,0.9105214804942764,A
Unit thickness,0.8484430792153665,0.7016853527587313,0.9418157397476251,1.0,A
Lithology,0.3503747924814713,0.5258181224594107,0.336661812447688,0.8541373313889785,B
