Name,X,Y,S1,S2,S3,Cluster
15-12,327137.93,4.40603467e6,0.38927466797534677,2.343821806726293e-16,0.5608673226824428,B
17-31,328813.04,4.40882204e6,2.567571966080112e-16,0.5689361710576838,0.3573984696008314,C
18-1,327026.54,4.40703217e6,0.9381581672531759,2.343821806726293e-16,0.24116029479048592,B
18-31,328801.97,4.40871725e6,0.46686705258418315,0.12248499408200812,0.6237590395831899,B
18A-1,327056.33,4.40703775e6,0.8962691972929715,2.343821806726293e-16,0.2432524136713223,B
18B-31,328791.32,4.40871144e6,0.5297225880729295,0.3771214003318685,0.2938971397795905,B
18D-31,328751.91,4.40862911e6,0.5745657619065216,0.36451453119630245,0.2879077138782183,B
22-13,327161.72,4.4051245e6,0.5249125672995403,0.14152032810152249,0.2021385412468993,B
26-12,327300.66,4.40579963e6,2.567571966080112e-16,0.3782850054891534,0.5149393910802127,A
27-1,327256.49,4.40720478e6,0.578132811672003,2.343821806726293e-16,0.40137981544985313,B
27A-1,327256.49,4.40720478e6,0.5781331546806237,2.343821806726293e-16,0.4013800116555096,B
46-1,327805.01,4.40748476e6,2.567571966080112e-16,0.2829382018264275,0.6940521094187095,A
46A-1,327774.78,4.40740108e6,2.567571966080112e-16,0.29870303031817363,0.6798987470686039,A
47A-1,327661.35,4.40729129e6,2.567571966080112e-16,0.35332234547088154,0.5756321716446838,A
47C-1,327746.25,4.4073085e6,2.567571966080112e-16,2.343821806726293e-16,0.9041313503024033,A
48A-1,327704.9,4.40718065e6,2.567571966080112e-16,2.343821806726293e-16,1.0,A
55-1,328014.47,4.40772054e6,0.34970028507941703,0.4673480050278429,0.4176413660516033,C
56-1,327963.43,4.40755491e6,0.11636634448039809,0.5304917719847122,0.492299691611176,A
56A-1,327859.51,4.40755578e6,0.3352097269893076,2.343821806726293e-16,0.7632429677934912,A
56B-1,327891.35,4.40745289e6,2.567571966080112e-16,0.330292699630515,0.7511372015098358,A
57-1,327931.46,4.40741438e6,2.567571966080112e-16,0.5701848514162603,0.5735646567339877,A
64-1,328156.6,4.40795433e6,0.4320663528969266,0.7279261756840488,2.1833333506016655e-16,C
68A-1,328229.72,4.40707921e6,0.0010353282636949097,0.9189793304987999,0.2097205929431627,C
68B-1,328065.7,4.40706164e6,0.20659360551442835,0.7281067172894902,0.328432744806576,C
77-1,328214.13,4.40718169e6,0.4403468840479499,0.5449445319734912,0.28303229447810385,C
81-1,328567.28,4.40851194e6,0.09219072850803567,0.23910838500053372,0.7204988152376546,A
81-11,326859.34,4.4069495e6,2.567571966080112e-16,2.343821806726293e-16,0.7661091850296597,A
81A-1,328598.76,4.40855648e6,6.834517005383065e-14,0.17052094936747075,0.8663414559758165,A
81B-1,328528.63,4.40843124e6,0.6114693842017422,0.2500974605410582,0.3354955379182676,B
82A-11,326907.12,4.40670723e6,1.0,2.343821806726293e-16,2.1833333506016655e-16,B
82A-11-RD1,326907.12,4.40670723e6,1.0,2.343821806726293e-16,2.1833333506016655e-16,B
82A-11-RD2,326907.12,4.40670723e6,1.0,2.343821806726293e-16,2.1833333506016655e-16,B
82A-11-RD3,326907.12,4.40670723e6,1.0,2.343821806726293e-16,2.1833333506016655e-16,B
88-11,326889.0,4.40544507e6,0.5448262203322821,2.489822413348871e-15,0.39302753368524396,B
B1,327745.53,4.40596877e6,2.567571966080112e-16,0.21839271660285695,0.6411881674874812,A
B2,327721.65,4.40609786e6,2.567571966080112e-16,0.23941411478735372,0.8341637870661871,A
B3,327738.97,4.40619405e6,0.0615258695861442,1.0,3.223336757347407e-10,C
B4,327778.14,4.40639034e6,0.227279140701908,0.9185516922268909,3.48627360787421e-5,C
B5,327713.81,4.40629808e6,0.655493835927449,0.5376151492962327,2.1833333506016655e-16,C
B5A,327754.04,4.40637455e6,0.3649741843116956,0.7556206725702734,0.0018842286290061358,C
B6,327848.36,4.40636567e6,0.5101810510339104,0.6637748986321272,1.5361362959709812e-10,C
B7,327784.51,4.40629935e6,0.5389042745661292,0.8388677285544907,1.539377082318486e-12,C
B8,327603.56,4.40643766e6,2.567571966080112e-16,0.5322450540657461,0.4131712152801313,A
BCH-1,328398.2,4.40887416e6,0.3220732162207183,0.19822582867403357,0.4081377839477966,B
BCH-2,327732.14,4.40800628e6,2.567571966080112e-16,0.31307575678770605,0.5665926049257487,A
BCH-3,327126.74,4.40600409e6,0.3791556273561995,2.343821806726293e-16,0.5850173080482609,B
EE-1,327575.0,4.40640489e6,2.567571966080112e-16,0.49952676790642664,0.4361044254855891,A
MG-1(SP-1),328194.09,4.4071925e6,0.4501099374648136,0.6452380475366368,0.16285633034247876,C
MG-2(SP-2),328128.08,4.4076273e6,0.4092307892309329,0.7959441730709559,2.1833333506016655e-16,C
MGI-1,327853.91,4.40678619e6,0.15462015360010922,0.6958985020657495,0.3581627775803273,C
MGI-2,327994.35,4.40709171e6,0.6311261534391114,0.8000212732221548,2.7145700365091602e-12,C
