Name,S1,S2,S3
15-12,1024.3692507455191,1752.5464128349522,2184.6369325358273
17-31,372.0967105253245,1007.2020319894426,987.4294716012167
18-1,1085.9328929920598,2225.6239346678253,1658.245314901349
18-31,165.62934822066762,748.6894722787688,691.0898684092739
18A-1,1035.3635718345524,2391.5786566957345,1401.873389352214
18B-31,222.87345277424083,769.7131483222868,927.3356063857202
18D-31,286.69846260507234,692.548773702854,798.6963429480004
22-13,1174.683652946621,1914.3574625164676,812.6788031038616
26-12,674.5789533804394,1492.2072596495661,1189.8735316034845
27-1,676.0135043565401,2857.570081530636,1119.4512480379308
27A-1,676.0135613832467,2857.5725213119786,1119.4512480379267
46-1,335.84552615363157,2343.6305985141125,1318.823441479794
46A-1,320.1084719275068,2425.160939308413,1181.9272355248136
47A-1,449.82929123924225,3271.154239303112,1366.4883338010375
47C-1,365.4495104553904,2803.0582112210514,1156.1902722049344
48A-1,199.14734788359817,2143.7211603691558,317.45668234869794
55-1,505.5400493623605,1730.0192571850969,2540.858989021445
56-1,682.7000198190474,2645.244569658177,2658.157342063466
56A-1,395.8326697311243,2400.429607288683,1999.4598750921127
56B-1,183.14837399292048,1901.397862976815,711.062949614186
57-1,747.8566398404286,3154.447455092353,2519.5838346187174
64-1,613.1387176490182,3168.813741632478,1399.2087517470372
68A-1,1145.8930203862026,2908.148948036125,1803.0645597375328
68B-1,622.9546647327305,2662.7224161639165,2035.2515279354125
77-1,1066.6085932535732,2822.1470506857754,2201.018509069366
81-1,166.37038363324416,798.5514177769671,619.0954400730116
81-11,372.0868129388482,1531.7623388609143,935.1627894642182
81A-1,123.91023677195321,795.4988496770504,545.1260546479758
81B-1,183.6239067394808,626.677925584575,847.4350160335423
82A-11,1111.9223478970196,2009.1657043612543,558.8864217238347
82A-11-RD1,1111.9223478970196,2009.1657043612543,558.8864217238347
82A-11-RD2,1111.9223478970196,2009.1657043612543,558.8864217238347
82A-11-RD3,1111.9223478970196,2009.1657043612543,558.8864217238347
88-11,1338.6902785909506,1659.2902572301086,1479.933522798922
B1,816.9288967255602,1512.347724253205,1281.7910332172078
B2,93.80854329784036,396.1655133724167,5.004736211379035e-13
B3,254.01866848214084,780.0223765155672,358.99506832568704
B4,171.70689609529592,923.8309181820346,763.0508485074395
B5,617.0873437506077,2135.188131946575,1176.6559265541707
B5A,360.7856427613275,1233.4178326115998,1177.2841884664574
B6,263.5182609191019,719.8151266232883,691.7938190113673
B7,41.76470219966028,266.46750228777614,415.3900999926391
B8,524.7891341338268,3625.044831595983,1075.669741630012
BCH-1,383.8254709859059,1883.039171087279,1604.2931563004042
BCH-2,602.2275602359377,2713.401729512002,1793.9617762495793
BCH-3,1050.5438292466586,1666.5161746122387,2359.208838271652
EE-1,527.5952410934076,3643.274431484922,1037.5188642839857
MG-1(SP-1),1001.4483031939701,3118.411790507435,1744.4733708555975
MG-2(SP-2),854.0749289542101,2910.1848809433204,1668.4286927272228
MGI-1,93.90044444524537,972.8448174594797,480.7400496776608
MGI-2,61.188107949398194,532.5686441120929,774.3492936104132
